period,issue_hour,lead_block,channel,n,mae_kw,rmse_kw,bias_actual_minus_forecast_kw
training_january,0,1,load,864,131.4486741008356,162.6641881087106,-15.016433682203658
training_january,0,1,pv_daylight,0,,,
training_january,0,1,net,864,131.44803069805783,162.6644559657017,-15.020093520166622
training_january,0,2,load,864,120.5320294241276,152.958246083193,-15.9484423403184
training_january,0,2,pv_daylight,860,221.35139910852718,328.5812028686104,58.51370189922483
training_january,0,2,net,864,256.14650886986016,354.1499943924939,-74.15777717828138
training_january,0,3,load,864,130.15207253403102,163.694386996449,-38.35094235725058
training_january,0,3,pv_daylight,835,341.2890180838324,464.20590203385035,-36.57936594810378
training_january,0,3,net,864,352.0417957626927,479.48015116061947,-2.953081246139458
training_january,0,4,load,864,128.42358523593697,159.57653040940463,-26.332859033009896
training_january,0,4,pv_daylight,0,,,
training_january,0,4,net,864,128.42125317575176,159.57656790337637,-26.336676972824712
training_january,6,1,load,864,124.07654347358772,156.18100690987157,-18.66061605466653
training_january,6,1,pv_daylight,860,150.21572529069766,234.1337287380258,57.36350870155037
training_january,6,1,net,864,210.38108830423496,286.4289744261357,-75.72296460790726
training_january,6,2,load,864,130.41198940516642,163.9457536235292,-39.348695307644846
training_january,6,2,pv_daylight,836,209.26886923843696,286.8789484484743,50.24196652711324
training_january,6,2,net,864,251.22112877795894,328.01903262826227,-87.92596284236707
training_january,6,3,load,864,128.66963218523327,159.7034564996892,-26.699911830828107
training_january,6,3,pv_daylight,0,,,
training_january,6,3,net,864,128.6673001250481,159.70347611987142,-26.70372977064292
training_january,6,4,load,864,132.10313481856153,163.45317108567554,-26.34178946283053
training_january,6,4,pv_daylight,0,,,
training_january,6,4,net,864,132.10285310559857,163.4538272678867,-26.34577904616387
training_january,12,1,load,864,132.89795320633985,166.28023403852623,-0.34746541636603573
training_january,12,1,pv_daylight,836,103.53469535486444,135.8143128069553,2.0845290470494495
training_january,12,1,net,864,162.0449479885274,207.3278494570158,-2.3274449302549347
training_january,12,2,load,864,128.30996650426198,159.3159496613286,-12.352161173425506
training_january,12,2,pv_daylight,0,,,
training_january,12,2,net,864,128.3079552774101,159.3155014324422,-12.355979113240316
training_january,12,3,load,864,132.17011287093678,163.1179202778309,-21.06354696891807
training_january,12,3,pv_daylight,0,,,
training_january,12,3,net,864,132.16980939871453,163.1185099631996,-21.067536552251404
training_january,12,4,load,864,125.32706438845779,159.1649922134684,-22.915228563308943
training_january,12,4,pv_daylight,861,446.204873712737,653.2718532199824,23.87684626403407
training_january,12,4,net,864,474.1689048306748,675.5966158200624,-46.67866797303117
training_january,18,1,load,864,129.56468403356254,161.92628483069404,-5.247204392199073
training_january,18,1,pv_daylight,0,,,
training_january,18,1,net,864,129.56423530671069,161.92554389669826,-5.251022332013885
training_january,18,2,load,864,130.98703449104386,162.34203121847497,-18.44977943869324
training_january,18,2,pv_daylight,0,,,
training_january,18,2,net,864,130.98675671326606,162.3425806643768,-18.453769022026574
training_january,18,3,load,864,125.12383121254983,158.81999099681553,-21.953677224937767
training_january,18,3,pv_daylight,862,360.25654856921886,557.8220656881531,40.93950815931938
training_january,18,3,net,864,390.5313984777532,575.7560922632949,-62.77891513003033
training_january,18,4,load,864,132.26707817561822,166.3884827201727,-45.97947151145371
training_january,18,4,pv_daylight,837,452.924025109518,641.8654714297008,13.108162266029465
training_january,18,4,net,864,450.97569595498095,645.9213962911407,-58.65078221747223
evaluation_feb_dec,0,1,load,12024,163.92891693795403,227.80656439510912,-3.701543292247648
evaluation_feb_dec,0,1,pv_daylight,1076,117.30740007744735,145.97842315721286,-108.82722111214373
evaluation_feb_dec,0,1,net,12024,167.42984844634475,231.14620550471665,6.021825470227407
evaluation_feb_dec,0,2,load,12024,151.035133792245,203.06398295753317,-4.825261867722988
evaluation_feb_dec,0,2,pv_daylight,11864,347.10774571954374,487.9263291977276,54.997554878905376
evaluation_feb_dec,0,2,net,12024,387.6842457605199,530.924902832616,-59.09429936356464
evaluation_feb_dec,0,3,load,12024,177.7752395872398,250.16538099041324,-3.8131802376514567
evaluation_feb_dec,0,3,pv_daylight,11710,437.67850143894105,597.676430893114,86.0772603600911
evaluation_feb_dec,0,3,net,12024,480.0275678470505,648.6153053750455,-87.64472129719903
evaluation_feb_dec,0,4,load,12024,192.0437337248194,272.36283301788654,-2.5128694721537244
evaluation_feb_dec,0,4,pv_daylight,893,142.22970752146327,169.67380521973433,-130.46723962299365
evaluation_feb_dec,0,4,net,12024,196.11916905907387,276.745204601092,7.159449061612071
evaluation_feb_dec,6,1,load,12024,126.60373110996834,161.77451878583165,-1.2076461287920401
evaluation_feb_dec,6,1,pv_daylight,11864,187.15474992133062,271.44004827081983,18.922327792762424
evaluation_feb_dec,6,1,net,12024,233.4615145006281,312.1882719138262,-19.88072202699564
evaluation_feb_dec,6,2,load,12024,167.22035292341235,233.3246140886803,-2.4823337812405146
evaluation_feb_dec,6,2,pv_daylight,11711,288.2195847194945,387.56025130389935,32.1583945364757
evaluation_feb_dec,6,2,net,12024,339.73734544328306,449.56357765522426,-33.80604863070827
evaluation_feb_dec,6,3,load,12024,189.24686275527824,267.2377889900127,-2.023278421484274
evaluation_feb_dec,6,3,pv_daylight,894,135.34527656599545,161.30920343851955,-131.50982813199107
evaluation_feb_dec,6,3,net,12024,193.20468201166054,271.7321517175345,7.737993883904948
evaluation_feb_dec,6,4,load,11988,162.0656640820952,225.0164622552677,-2.8782455797085342
evaluation_feb_dec,6,4,pv_daylight,1073,150.59223418763594,185.11273824070628,-106.61315170860517
evaluation_feb_dec,6,4,net,11988,168.0675058961871,231.65461266913633,6.35486996083201
evaluation_feb_dec,12,1,load,12024,156.26579208000882,210.29176825708473,0.5046176005418913
evaluation_feb_dec,12,1,pv_daylight,11711,144.10692533088547,195.3369386878393,6.717415567984517
evaluation_feb_dec,12,1,net,12024,218.9398368501666,285.23051300637724,-6.040656068786119
evaluation_feb_dec,12,2,load,12024,184.40369531692792,256.3118363287883,-0.9244404163479037
evaluation_feb_dec,12,2,pv_daylight,894,135.40579537658465,159.1935158969065,-134.27967669649516
evaluation_feb_dec,12,2,net,12024,188.69426061459015,261.26765716833785,9.04270584113713
evaluation_feb_dec,12,3,load,11988,158.94390255038735,219.4378908436336,-2.4986723886796987
evaluation_feb_dec,12,3,pv_daylight,1073,135.149911556384,164.21297709080488,-113.71882196334265
evaluation_feb_dec,12,3,net,11988,163.26997011743833,223.93908193254123,7.664412675551204
evaluation_feb_dec,12,4,load,11988,148.98578008308345,199.89940565764778,-3.9417968703336532
evaluation_feb_dec,12,4,pv_daylight,11827,697.4612318846706,1035.9264486886027,145.7048907584341
evaluation_feb_dec,12,4,net,11988,711.2072411360583,1048.3384658762782,-147.6927449183817
evaluation_feb_dec,18,1,load,12024,146.46240212670548,191.1131852573024,-2.3951889511705957
evaluation_feb_dec,18,1,pv_daylight,894,133.8985765659955,157.4072323301328,-133.77087097315436
evaluation_feb_dec,18,1,net,12024,150.43031161464165,196.74894037342312,7.53462023878283
evaluation_feb_dec,18,2,load,11988,150.7828848493253,201.7428132809976,-2.9944097416343474
evaluation_feb_dec,18,2,pv_daylight,1077,124.06238933766627,153.20756490459397,-106.364438362736
evaluation_feb_dec,18,2,net,11988,154.59345015879487,206.08896123263915,6.545801828268892
evaluation_feb_dec,18,3,load,11988,147.77404402062416,198.10767651188604,-4.124168450706415
evaluation_feb_dec,18,3,pv_daylight,11827,490.9690117569966,689.7108730353416,103.80759888531894
evaluation_feb_dec,18,3,net,11988,520.5971566795251,718.1405576157039,-106.5417646802693
evaluation_feb_dec,18,4,load,11988,175.08792279014716,245.67356703904113,-3.092888849221959
evaluation_feb_dec,18,4,pv_daylight,11674,592.7280583204843,813.8367700485144,144.2557469447776
evaluation_feb_dec,18,4,net,11988,627.2681904293196,851.4385991235573,-143.5753891536931
