参数,取值,取值单位,购电成本_元,购电量_kWh,相对无储能节省率
单向效率,0.85,-,36603.40648002707,61728.97512460496,0.23825499480391377
单向效率,0.9,-,35126.948589289634,59482.69899835391,0.26898121762870153
单向效率,0.95,-,33767.03262075283,57472.64310064635,0.2972821135325995
单向效率,1.0,-,32377.08824058166,55541.97243333332,0.3262079237484735
最大功率,3000.0,kW,35788.44007000732,59215.28815245473,0.25521507180040526
最大功率,4000.0,kW,35247.87089961686,59482.32668827161,0.2664647314661692
最大功率,5000.0,kW,35126.948589289634,59482.69899835391,0.26898121762870153
最大功率,6000.0,kW,35083.29348008142,59482.69899835391,0.2698897139843288
最大功率,7000.0,kW,35044.58715974133,59557.19687012141,0.27069522224227394
额定容量,8000.0,kWh,37970.29057898845,58265.56411584362,0.20980908675341758
额定容量,10000.0,kWh,36402.3753017379,58941.11967139917,0.24243860804313566
额定容量,12000.0,kWh,35126.948589289634,59482.69899835391,0.26898121762870153
额定容量,14000.0,kWh,34077.605562722405,59820.47677613169,0.29081885204835833
额定容量,16000.0,kWh,33043.69447244685,60158.254553909464,0.31233533601997976
