date,strategy,strategy_name,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slot_count,emergency_event_count,emergency_day_count,optimization_objective_yuan,soc_min_kwh,soc_max_kwh,terminal_soc_kwh
2025-02-01,static,静态典型日,35126.9485892896,1328.0267945083,36454.9753837980,59482.6989983539,342.6648166667,21506.4613166667,20740.6661316872,16799.9395666667,8,2,1,35126.9485892896,1200.0000000000,10800.0000000000,6000.0000000000
2025-02-01,point,点预测,22633.5574029985,1100.5764645105,23734.1338675090,43729.3588273839,248.8270007143,5654.6631211905,20764.9830188125,16819.6362452381,16,8,1,22633.5574029985,1200.0000000000,10800.0000000000,6000.0000000000
2025-02-01,q80,加权Q80,24113.8794667486,329.9389835740,24443.8184503226,46358.7953981188,77.1689741534,8124.7544906085,20700.1786754233,16767.1447270929,6,4,1,24113.8794667486,1200.0000000000,10800.0000000000,6000.0000000000
2025-02-01,saa,两阶段SAA（主方案）,24452.6015580966,293.5551548472,24746.1567129438,46999.4115949497,70.0842056349,8766.6051086243,20656.3934664576,16731.6787078307,6,4,1,25791.2961645954,1200.0000000000,10800.0000000000,6000.0000000000
2025-02-01,oracle,完美信息Oracle,19758.9709074728,0.0000000000,19758.9709074728,38118.7501532922,0.0000000000,0.0000000000,19687.2327366255,15946.6585166667,0,0,0,19758.9709074728,1200.0000000000,10800.0000000000,6000.0000000000
2025-02-02,static,静态典型日,35126.9485892896,95594.3374821667,130721.2860714563,59482.6989983539,23187.9560666667,373.6505500000,20740.6661316872,16799.9395666667,121,7,1,35126.9485892896,1200.0000000000,10800.0000000000,6000.0000000000
2025-02-02,point,点预测,56557.9699973300,411.7867825667,56969.7567798967,89875.1892393416,89.6614650000,6917.4138452381,24690.3100479130,19999.1511388095,8,6,1,56557.9699973300,1200.0000000000,10800.0000000000,6000.0000000000
2025-02-02,q80,加权Q80,58263.3028865737,99.7203036481,58363.0231902218,92344.7721248596,19.3320370370,9304.2414037566,24755.7095165262,20052.1247083862,2,2,1,58263.3028865737,1200.0000000000,10800.0000000000,6000.0000000000
2025-02-02,saa,两阶段SAA（主方案）,58280.1945510921,99.7203036481,58379.9148547403,92361.4587957149,19.3320370370,9320.2195589154,24759.4385465086,20055.1452226720,2,2,1,60061.5052599398,1200.0000000000,10800.0000000000,6000.0000000000
2025-02-02,oracle,完美信息Oracle,51624.0016616149,0.0000000000,51624.0016616149,82850.7575602881,0.0000000000,0.0000000000,23655.1558436214,19160.6762333333,0,0,0,51624.0016616149,1200.0000000000,10800.0000000000,6000.0000000000
