method,daily_cost_improvement_mean,daily_cost_improvement_ci_low,daily_cost_improvement_ci_high,daily_MAE_improvement_mean,daily_MAE_improvement_ci_low,daily_MAE_improvement_ci_high
A0 原人工权重+PV-MA7,0.0,0.0,0.0,0.0,0.0,0.0
A1 负荷Lag7,-784.6133673958196,-1203.83652567801,-461.0021946323097,2.1625568607660406,-9.496036505925375,17.66832678118395
A2 负荷四周等权,99.29681241293405,-84.84045474671882,309.2402766702221,-16.661038002879156,-26.501477433867482,-9.506553810588008
A3 负荷学习权重,-89.62881961560325,-237.54553223044502,43.93035452626217,8.243526435560316,2.200006930555205,16.81546110772464
A4 光伏Lag1,-913.0423274896659,-1285.225945981241,-569.184252129546,-39.2278308511258,-50.72332933890026,-25.879501529473497
A5 光伏Lag7,-1544.3588029183866,-1880.143516231428,-1236.7323576414433,-63.82602688901827,-77.79042979624415,-51.23225101644991
A6 光伏SeasonalEWMA,-834.0572110700532,-1197.5647458564401,-530.530946082529,-44.774898105463706,-62.128533474337665,-28.95478804839854
A7 学习负荷+EWMA光伏,-900.1794530029252,-1308.1024377627969,-546.1253397350212,-38.670261943551694,-56.30532701269205,-20.117613829336953
Attachment1Static,-6615.541813611574,-7153.423277641735,-6080.573086919002,-560.8795427736801,-607.343587473632,-508.9360257915792
ETS,-127.5558731625978,-767.7438054393095,657.7034089770424,-169.23596202417926,-220.2105516424093,-128.60150877906054
EqualWeekly,-597.9415803460461,-912.7042468705064,-210.40186673278524,-68.12666829734408,-95.90574186446878,-43.29552178990283
ExpandingMean,-6698.588302877844,-7274.858872743025,-6144.489269371853,-583.0288392432324,-627.8308501457226,-525.993486376994
KalmanLocalLevel,-8645.741910766355,-9997.44990402093,-7245.338954492564,-599.6015700774464,-689.9868070157013,-525.2690839596843
LSTM,-396.3607825572224,-928.5303674062208,386.2831318147662,-71.86277094083556,-107.35330516276575,-37.6487336097968
LightGBM,188.27808953594206,-146.97511337535397,668.0398954905269,-49.767116570439704,-70.11966954610021,-27.882827869284352
MLP,697.5782733477137,142.98100208995865,1363.2830564267742,-21.992162515535885,-54.36859520632605,13.021490421954407
Ridge,731.8997324125393,383.2124435542485,1198.766720286999,-2.4145277629098008,-28.19004267183453,27.695285906340068
SeasonalEWMA,-947.071876208861,-1372.4025948362766,-582.0047510808058,-38.24588630472042,-55.08261857361067,-20.308639983124014
SeasonalNaive7,-2268.7479716217426,-2858.324880857285,-1774.7137248530564,-63.47603139460406,-79.40457043040318,-45.08638451275399
SimplexWeekly,-984.8536056201912,-1394.4612155720267,-636.2731607850125,-41.02524799275019,-58.51319704820528,-22.370591244358067
StructuralStateSpace,-736.1006799347616,-2181.1456108357584,761.8398638279115,-40.21574581097391,-163.69287475226147,53.491508529069776
WeeklyTrend,-484.9763255322381,-832.6352519018773,-152.29073854521909,5.70603000820876,-12.221906328282381,29.247727332667033
XGBoost,463.5009896056462,194.21684763891804,883.7960205249427,-28.42229506330961,-47.28469148526777,-7.2832125218077834
