method,seed,period,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,emergency_slot_frequency,emergency_day_frequency,emergency_event_count,oracle_cost_yuan,regret_vs_oracle,saving_vs_manual
A0 原人工权重+PV-MA7,0,full_334,13547154.319914218,1068972.012623909,14616126.332538128,22220309.83569002,282725.58978864655,3233214.646283269,0.19072272122421824,0.9820359281437125,3736,12245046.91527763,0.1936357968789979,0.0
A0 原人工权重+PV-MA7,0,cost_common_245,10249728.030855492,804644.7060423903,11054372.736897878,16677331.608752891,212089.69433912286,2433109.616420322,0.19095804988662132,0.9755102040816327,2616,9252397.243984384,0.1947576876992696,0.0
A0 原人工权重+PV-MA7,0,development_184,7324816.265598633,661498.2387319154,7986314.504330549,11944809.350472622,173216.7580817419,2084653.9173386286,0.18863224637681159,0.967391304347826,1864,6524805.094516614,0.22399280723989357,0.0
A0 原人工权重+PV-MA7,0,holdout_61,2924911.7652568566,143146.46731047492,3068058.232567332,4732522.258280267,38872.936257380956,348455.6990816932,0.1979735883424408,1.0,752,2727592.149467768,0.12482294435625163,0.0
A1 负荷Lag7,0,full_334,13669461.380852675,1151529.389553817,14820990.770406488,22394770.788317084,304712.3203884753,3427377.254795291,0.1906187624750499,0.9880239520958084,3902,12245046.91527763,0.21036618911724725,-0.014016329170082109
A1 负荷Lag7,0,cost_common_245,10364922.38626541,878919.7031225369,11243842.089387946,16840204.03675641,231681.87322418956,2613503.3050580462,0.18979591836734694,0.9836734693877551,2754,9252397.243984384,0.21523555386668414,-0.017139765140870233
A1 负荷Lag7,0,development_184,7406891.369198682,723791.9947326976,8130683.36393138,12061432.825412914,189696.84787716577,2216001.803479428,0.18810386473429952,0.9782608695652174,1977,6524805.094516614,0.24611896388511756,-0.018077031592300452
A1 负荷Lag7,0,holdout_61,2958031.017066728,155127.70838983933,3113158.725456567,4778771.211343494,41985.02534702383,397501.5015786179,0.19489981785063754,1.0,777,2727592.149467768,0.14135785515588695,-0.014700012017534236
A2 负荷四周等权,0,full_334,13524053.592569232,1065655.5822153385,14589709.174784571,22186917.82838375,282803.46080725314,3200239.9197085556,0.19463157019294744,0.9790419161676647,3769,12245046.91527763,0.19147842190637943,0.0018073980172672588
A2 负荷四周等权,0,cost_common_245,10227515.134463303,802292.2334074338,11029807.367870735,16645951.37802874,212396.11275784834,2402241.184222598,0.196343537414966,0.9714285714285714,2657,9252397.243984384,0.1921026602097058,0.0022222309317604383
A2 负荷四周等权,0,development_184,7312488.790109516,655555.1007370525,7968043.890846569,11927722.199654035,172359.82182808642,2066762.3604376412,0.19361413043478262,0.9619565217391305,1880,6524805.094516614,0.22119262957645103,0.0022877402929816215
A2 负荷四周等权,0,holdout_61,2915026.3443537843,146737.1326703813,3061763.477024166,4718229.178374706,40036.29092976191,335478.8237849572,0.20457650273224043,1.0,777,2727592.149467768,0.12251513761747845,0.00205170667112764
A3 负荷学习权重,0,full_334,13574271.024307568,1078610.2678875052,14652881.292195072,22260648.947056174,285085.7854957818,3275284.5256748972,0.18839404524284764,0.9850299401197605,3750,12245046.91527763,0.19663741540371626,-0.0025146854112174655
A3 负荷学习权重,0,cost_common_245,10274505.27409847,812427.0927086275,11086932.366807098,16713797.18051318,213871.04717167944,2470847.3589451537,0.1875,0.9795918367346939,2627,9252397.243984384,0.1982767356876587,-0.002945407277659351
