method,period,total_cost_yuan_mean,total_cost_yuan_std,planned_cost_yuan_mean,emergency_cost_yuan_mean,emergency_kwh_mean,spill_kwh_mean,regret_vs_oracle_mean,saving_vs_manual_mean
A0 原人工权重+PV-MA7,cost_common_245,11054372.736897878,0.0,10249728.030855492,804644.7060423903,212089.69433912286,2433109.616420322,0.1947576876992696,0.0
A0 原人工权重+PV-MA7,development_184,7986314.504330549,0.0,7324816.265598633,661498.2387319154,173216.7580817419,2084653.9173386286,0.22399280723989357,0.0
A0 原人工权重+PV-MA7,full_334,14616126.332538128,0.0,13547154.319914218,1068972.012623909,282725.58978864655,3233214.646283269,0.1936357968789979,0.0
A0 原人工权重+PV-MA7,holdout_61,3068058.232567332,0.0,2924911.7652568566,143146.46731047492,38872.936257380956,348455.6990816932,0.12482294435625163,0.0
A1 负荷Lag7,cost_common_245,11243842.089387946,0.0,10364922.38626541,878919.7031225369,231681.87322418956,2613503.3050580462,0.21523555386668414,-0.017139765140870233
A1 负荷Lag7,development_184,8130683.36393138,0.0,7406891.369198682,723791.9947326976,189696.84787716577,2216001.803479428,0.24611896388511756,-0.018077031592300452
A1 负荷Lag7,full_334,14820990.770406488,0.0,13669461.380852675,1151529.389553817,304712.3203884753,3427377.254795291,0.21036618911724725,-0.014016329170082109
A1 负荷Lag7,holdout_61,3113158.725456567,0.0,2958031.017066728,155127.70838983933,41985.02534702383,397501.5015786179,0.14135785515588695,-0.014700012017534236
A2 负荷四周等权,cost_common_245,11029807.367870735,0.0,10227515.134463303,802292.2334074338,212396.11275784834,2402241.184222598,0.1921026602097058,0.0022222309317604383
A2 负荷四周等权,development_184,7968043.890846569,0.0,7312488.790109516,655555.1007370525,172359.82182808642,2066762.3604376412,0.22119262957645103,0.0022877402929816215
A2 负荷四周等权,full_334,14589709.174784571,0.0,13524053.592569232,1065655.5822153385,282803.46080725314,3200239.9197085556,0.19147842190637943,0.0018073980172672588
A2 负荷四周等权,holdout_61,3061763.477024166,0.0,2915026.3443537843,146737.1326703813,40036.29092976191,335478.8237849572,0.12251513761747845,0.00205170667112764
A3 负荷学习权重,cost_common_245,11086932.366807098,0.0,10274505.27409847,812427.0927086275,213871.04717167944,2470847.3589451537,0.1982767356876587,-0.002945407277659351
