method,seed,date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slot_count,emergency_day_count,emergency_event_count
Attachment1Static,0,2025-02-01,24544.034819859255,671.3442091666677,25215.379029025924,47063.598150205755,123.00100000000012,8789.791233333332,21150.694650205758,17132.062666666665,8,1,4
Attachment1Static,0,2025-02-02,60527.76452976376,239.30474028333327,60767.06927004709,95683.95358765431,71.6536666666666,12632.515066666669,25088.495987654318,20321.68175,5,1,4
Attachment1Static,0,2025-02-03,57648.24070024666,1603.226994800004,59251.46769504666,91758.25843333334,348.110633333334,7171.119233333336,24833.333333333332,20115.0,18,1,8
Attachment1Static,0,2025-02-04,59747.4008702158,1142.6321131083325,60890.032983324134,94459.96234135801,357.35773333333304,8863.970466666666,25044.661358024692,20286.1757,12,1,7
Attachment1Static,0,2025-02-05,55254.53875467241,4730.048697966666,59984.587452639076,88584.36079485595,1069.036583333333,4329.785516666667,24079.920411522635,19504.735533333333,33,1,10
Attachment1Static,0,2025-02-06,57511.45191592352,1545.9612419666632,59057.41315789019,90897.07045658435,455.7514666666656,6408.88435,24594.107139917694,19921.22678333333,18,1,10
Attachment1Static,0,2025-02-07,23722.739077794256,890.2314143000019,24612.970492094257,45991.039757613165,162.21245000000027,10406.046533333334,20744.873724279834,16803.347716666667,11,1,7
Attachment1Static,0,2025-02-08,21458.815767386666,1405.452416849998,22864.268184236666,41420.698566666666,353.2375999999996,6368.2373499999985,20150.190000000002,16321.6539,21,1,13
Attachment1Static,0,2025-02-09,53160.3286747037,7281.724788483335,60442.05346318703,85026.24495946501,2030.1817666666668,2940.206949999999,24004.230576131686,19443.426766666664,51,1,17
Attachment1Static,0,2025-02-10,54847.24291186277,1534.999985766664,56382.24289762943,87541.42547469135,450.74796666666623,9036.457933333333,24363.568024691358,19734.490099999995,25,1,11
Attachment1Static,0,2025-02-11,55659.93592048499,988.2132694000024,56648.14918988499,88462.52534999998,197.22503333333395,8720.819916666664,24833.333333333332,20115.000000000004,18,1,10
Attachment1Static,0,2025-02-12,54864.30255322259,1521.1214484999991,56385.42400172259,87692.20834958849,374.1903999999996,8167.333283333333,24380.680699588476,19748.351366666666,19,1,13
Attachment1Static,0,2025-02-13,54447.4791872061,1603.6899515999999,56051.1691388061,87080.30620061728,438.58946666666657,11505.934266666667,24649.907283950615,19966.424899999998,28,1,16
Attachment1Static,0,2025-02-14,20115.63902896142,2391.1391660416657,22506.778195003088,38637.32846995885,783.6917499999997,5783.6388,20187.261069958848,16351.681466666667,35,1,14
Attachment1Static,0,2025-02-15,19848.71851160611,2710.4019250833326,22559.12043668944,38236.732238888886,820.077233333333,6145.892366666666,19109.610555555555,15478.78455,42,1,18
Attachment1Static,0,2025-02-16,53701.6573689374,2128.5095231999976,55830.16689213739,86230.39454855966,559.2925166666666,6768.3670833333335,24441.794115226334,19797.853233333335,34,1,18
Attachment1Static,0,2025-02-17,49885.58438823587,1811.9763906333321,51697.5607788692,80689.77664067078,500.74194999999975,5554.567166666667,23432.043459670782,18979.95520233333,27,1,15
Attachment1Static,0,2025-02-18,50670.13945905361,1650.5977834416626,52320.73724249527,81508.6688605,484.65481666666597,5484.114550000001,23251.691283333334,18833.8699395,26,1,17
Attachment1Static,0,2025-02-19,50701.07848225727,2830.0052764083316,53531.0837586656,81375.70188513375,856.8959166666662,4877.190833333334,23558.31360596708,19082.234020833333,37,1,15
Attachment1Static,0,2025-02-20,47659.151813135,6662.434934533336,54321.586747668334,77524.245554,1703.6669500000005,3818.4257499999994,23243.963266666666,18827.610246,46,1,22
Attachment1Static,0,2025-02-21,19155.59953976969,1066.1547495416648,20221.754289311353,36705.995061934154,341.39551666666614,7947.29275,18630.714711934153,15090.878916666665,26,1,17
Attachment1Static,0,2025-02-22,19127.977143773518,1703.3915514750033,20831.368695248522,36552.14891995885,453.0103000000009,5712.589820987652,18146.350082304525,14698.543566666664,25,1,14
Attachment1Static,0,2025-02-23,50537.05942607079,1715.592337350001,52252.651763420785,81689.55297866666,554.1605,6310.093733333332,23167.1898,18765.423737999998,28,1,14
Attachment1Static,0,2025-02-24,47519.47670469144,1861.944860624998,49381.42156531644,77630.88418168724,422.93718333333277,5467.858666666667,23068.047798353913,18685.118716666664,26,1,15
Attachment1Static,0,2025-02-25,48240.89871594505,1506.2173585499988,49747.11607449505,78549.45041716666,408.4847999999996,8715.372983333333,23269.67895,18848.439949499996,22,1,12
Attachment1Static,0,2025-02-26,49035.29989866077,1708.091001483333,50743.390900144106,79225.53629783333,498.5369999999997,6491.718066666666,23250.03788333333,18832.5306855,22,1,13
Attachment1Static,0,2025-02-27,47317.34671559419,4444.087845874998,51761.434561469185,77117.34259567902,1001.2950166666664,6862.345366666668,22630.04234567901,18330.3343,29,1,10
Attachment1Static,0,2025-02-28,18370.561865714626,1367.9282442499964,19738.490109964623,35650.35795452675,341.86166666666577,9261.057591999997,18097.72883786008,14659.160358666666,20,1,13
Attachment1Static,0,2025-03-01,18599.12463999012,1581.8306419583341,20180.955281948456,35750.75541872428,357.8742666666669,9075.23090432099,17761.22551440329,14386.592666666662,16,1,11
Attachment1Static,0,2025-03-02,47650.1644553895,14683.687547341664,62333.85200273117,77837.31220246913,3497.4940499999993,4612.026766666668,22970.9074691358,18606.43505,46,1,12
Attachment1Static,0,2025-03-03,45914.3299297628,18097.15689526667,64011.48682502947,74996.9833117284,4340.600816666669,3006.789583333334,22703.410061728388,18389.762149999995,69,1,16
Attachment1Static,0,2025-03-04,44920.982501733575,12462.491468950007,57383.47397068358,73359.36674279833,3474.813116666669,3440.469916666666,22075.010576131688,17880.758566666667,55,1,13
Attachment1Static,0,2025-03-05,47599.032651803325,1301.8403077666658,48900.87295956999,77736.23585233334,304.9816999999998,7472.323983333334,23360.113433333332,18921.691881,14,1,9
Attachment1Static,0,2025-03-06,46848.494241290115,2216.153852833336,49064.64809412345,75724.8475993827,737.8244666666676,6062.256983333331,23472.42604938271,19012.6651,36,1,16
Attachment1Static,0,2025-03-07,17949.589518059507,902.8383623333327,18852.42788039284,34587.58839176955,268.06373333333306,10638.652599588473,17340.599958847735,14045.885966666667,16,1,11
Attachment1Static,0,2025-03-08,17541.54044223533,1119.419766808332,18660.960209043664,33399.5466510288,388.4278333333331,11533.117766666664,16798.51158436214,13606.79438333333,24,1,10
Attachment1Static,0,2025-03-09,50149.122941942405,1304.4116069666684,51453.534548909076,81250.62410596706,364.48875000000015,13603.591499999999,24621.03318930041,19943.036883333334,24,1,11
Attachment1Static,0,2025-03-10,49821.342149522156,2385.0845180749957,52206.42666759715,80466.55325061729,758.494299999999,8664.693966666666,23780.432283950613,19262.150149999994,29,1,12
Attachment1Static,0,2025-03-11,47319.94925614954,1156.7676912333309,48476.716947382876,77577.24941216665,319.05364999999955,9513.155166666667,23390.679449999996,18946.450354499997,27,1,16
Attachment1Static,0,2025-03-12,45331.74110818526,1880.3369650416666,47212.07807322693,74392.24182757201,546.1594999999998,8155.867133333333,22878.944794238683,18531.945283333334,29,1,14
Attachment1Static,0,2025-03-13,45175.917999882586,10112.55558834167,55288.47358822425,74149.60325378805,2494.0133,4793.229433333332,22656.679493621396,18351.910389833334,50,1,13
Attachment1Static,0,2025-03-14,16825.855303166667,1162.1903624083327,17988.045665575,32085.090699999997,351.56253333333336,13364.77442916667,16012.909583333327,12970.456762499996,24,1,13
Attachment1Static,0,2025-03-15,16917.52552190166,1308.8600981,18226.38562000166,32449.94998333333,356.0922166666669,8839.343655166665,16013.544183333332,12970.970788499999,23,1,12
Attachment1Static,0,2025-03-16,44197.06035250893,5015.399499783336,49212.45985229227,72620.15323930042,1434.5562833333342,6364.364083333334,22838.413189300412,18499.114683333333,46,1,19
Attachment1Static,0,2025-03-17,46922.624801403326,960.8415112500015,47883.46631265333,77421.65656666666,233.5609500000004,15395.419416666666,23166.666666666664,18765.0,15,1,10
Attachment1Static,0,2025-03-18,44178.633133532654,4715.988143108336,48894.62127664099,72988.74137333332,1057.4151666666671,8654.69513333333,22450.015999999996,18184.51296,28,1,11
Attachment1Static,0,2025-03-19,43464.83375657477,1716.7523799500007,45181.58613652477,71793.07731502058,373.2162000000001,8492.889683333335,22147.017798353914,17939.084416666665,19,1,11
Attachment1Static,0,2025-03-20,46793.21890849667,1749.4019140249995,48542.62082252167,76804.41171666667,479.63101666666665,10673.414249999998,23166.666666666664,18764.999999999996,28,1,12
Attachment1Static,0,2025-03-21,16395.641917178335,1112.2315266500007,17507.873443828335,31505.38233333333,391.7066999999999,16819.801255349797,16020.122427983535,12976.299166666666,24,1,13
Attachment1Static,0,2025-03-22,16763.55990926833,504.1558266666669,17267.715735934995,32230.434099999995,178.6316833333334,13487.86605,15999.999999999998,12960.000000000004,15,1,10
Attachment1Static,0,2025-03-23,43673.069792111004,2888.8023142333313,46561.87210634434,72172.14395499999,774.0601166666665,9923.074700000001,22386.364499999996,18132.955244999997,25,1,13
Attachment1Static,0,2025-03-24,40082.598305639316,5009.825198141671,45092.423503780985,66662.6626026749,1226.571600000001,5811.266033333334,21470.900452674894,17391.429366666667,49,1,22
