method,seed,target,period,MAE_kW,RMSE_kW,WAPE,MASE,R2,bias_actual_minus_forecast_kW,underestimate_frequency,peak_MAE_kW,price_weighted_MAE_kW,daily_energy_MAE_kWh,ramp_MAE_kW
Attachment1Static,0,load,full_334,688.208077270459,935.350086579031,0.14906679902161546,3.8926738311725844,0.5585193216201247,17.770766645874915,0.6182010978043913,1066.085365197505,743.3641639473819,15749.701263073854,123.77082346007286
Attachment1Static,0,load,forecast_common_275,805.0294735479797,1027.3440391255954,0.1728875385551624,4.377636376866059,0.46571202865708117,30.34284002272725,0.6594696969696969,1221.8884875252525,872.3558030479554,18881.69792757576,123.25421778003816
Attachment1Static,0,load,development_184,848.7914172063707,1051.1706360435533,0.17886614495028472,4.171859761019971,0.4331531913218519,119.36640161911225,0.6850090579710145,1335.3536748301885,922.2364028829716,19987.425285778983,129.65296313089084
Attachment1Static,0,load,holdout_61,742.4337041325136,986.0517396394758,0.16435024507135979,4.833486722875154,0.5188320872274987,-108.64640554417123,0.6185109289617486,1037.83482741752,797.536178740136,17335.732621584695,112.63067174137339
Attachment1Static,0,pv,full_334,418.9542608304225,692.4868334629003,0.1761160379981983,1.9514542466512719,0.946598482567718,113.84991873544581,0.38211077844311375,970.8623795218296,456.4074132479809,8812.914623502993,63.39922678279806
Attachment1Static,0,pv,forecast_common_275,468.0206439217172,743.5965564005124,0.1926600366806141,2.128041091044605,0.9398886621025564,117.471667709596,0.3793939393939394,1031.9067375757577,511.64553700098816,9999.942190121212,64.3830528722187
Attachment1Static,0,pv,development_184,422.2448943161232,672.8793131114836,0.16037879993207857,1.680786786766046,0.954309792217606,321.01262320350247,0.48063858695652173,1132.9066203773584,460.8326700305746,8403.522350362317,68.99978677409547
Attachment1Static,0,pv,holdout_61,633.5981253870673,955.6470505214621,0.3768466997530632,4.942402071361774,0.8403882617194522,-630.4695105874317,0.007285974499089253,822.3064683731513,695.8054303809275,15131.268254098359,49.33208604837786
Attachment1Static,0,net,full_334,789.7189962387725,1153.5415530016896,0.2631574907727377,2.4093633985134266,0.7821953643829652,-96.07915208957087,0.5034930139720559,1114.277511933472,845.7508808061392,16229.243764520957,150.97586325321387
Attachment1Static,0,net,forecast_common_275,900.0951090050505,1256.9750906467632,0.29747361608031037,2.6548498996876098,0.7513043777094324,-87.1288276868687,0.535050505050505,1249.7522569444445,967.6265675094327,18908.232162181816,150.91943095740623
Attachment1Static,0,net,development_184,876.2818975505736,1212.9208800786357,0.288915715027737,2.312831582728313,0.7898587636913829,-201.64622158439008,0.5263435990338164,1122.4185990188678,941.6196628833661,17713.44206875,159.88694048723016
Attachment1Static,0,net,holdout_61,1043.5175490778688,1384.7325000784979,0.33432319566141083,4.288322371283181,0.4875504716657486,521.8231050432605,0.6567622950819673,1884.6955384527873,1125.66817833256,23973.400396994537,132.18651216324656
ExpandingMean,0,load,full_334,701.5682855935647,944.8179135505816,0.1519606381885229,3.9682424492054262,0.549536551433297,39.26503368669155,0.6182426813040586,1081.9169758044695,758.5651470572067,16011.349782042704,124.24919634506344
ExpandingMean,0,load,forecast_common_275,821.256053838588,1037.8130979411176,0.1763723470221704,4.46587422465471,0.4547673169018417,56.448604355937285,0.659520202020202,1240.527329872881,890.8180879886153,19199.481946977925,123.83522339308124
ExpandingMean,0,load,development_184,865.3036916060328,1066.5631684859384,0.18234578294656614,4.253018561326409,0.4164307103085686,140.94943362039047,0.6738753019323671,1357.2553703427343,939.920176027484,20241.8216234168,130.19980585683157
ExpandingMean,0,load,holdout_61,747.9571733573945,992.2185169041406,0.16557295831255614,4.8694463176700395,0.5127948097757176,-111.75034225818041,0.6020036429872495,1058.7722059984806,802.4902874962032,17332.284445422152,113.02958967552874
ExpandingMean,0,pv,full_334,448.56664020126993,740.7137936676601,0.18856421055086786,2.0893862570863653,0.9389013771356476,103.88998285028933,0.3720683632734531,1028.0042329138823,489.52761517317623,9552.937618398772,64.1459529819706
ExpandingMean,0,pv,forecast_common_275,503.9862246848554,798.0500586935257,0.20746521717650865,2.2915728384605227,0.9307624132749045,105.37487285271503,0.3671969696969697,1095.8429214525804,551.8715277028617,10898.733754830992,65.28998578321371
ExpandingMean,0,pv,development_184,413.1399810556812,661.873980371259,0.15692053416770413,1.6445437957700562,0.9557921497301386,282.34716684906937,0.453125,1117.363709470274,451.1887067365765,8135.7215912781385,68.96205355006535
ExpandingMean,0,pv,holdout_61,701.5763007999313,1037.2318736901489,0.4172782446600543,5.472667963109299,0.8119724497239516,-700.6659623500396,0.002959927140255009,985.6056508410541,770.6905702583929,16815.983096400952,51.34778518579349
ExpandingMean,0,net,full_334,827.9486878463546,1190.2975910084178,0.27589674329722064,2.5259988348324924,0.7680941301361364,-64.62494916359779,0.5065909846972722,1198.1375419894434,888.455059571246,16821.017275980685,152.01672743739817
ExpandingMean,0,net,forecast_common_275,946.5268071757139,1297.9290279929385,0.3128188890602341,2.7918011929425757,0.7348347013240237,-48.92626849677776,0.5388131313131314,1342.240119567595,1019.4927337186899,19626.96799064563,152.18360782110642
ExpandingMean,0,net,development_184,898.4311940201258,1215.954730232129,0.2962184789496548,2.3712917569635525,0.7888062064131457,-141.39773322867893,0.5339673913043478,1216.7028286154161,966.4952224252852,18101.140715581667,160.5661843981879
ExpandingMean,0,net,holdout_61,1085.9543338972162,1444.7307514907407,0.3479191352092767,4.462715809962724,0.44218118214127555,588.9156200918593,0.6483378870673953,1976.9046966823632,1170.1744808511637,24690.702554182844,133.90019469335223
SeasonalNaive7,0,load,full_334,176.79572117223884,244.28661499529923,0.03829419198389717,1.0,0.9698864009956577,-1.949469704341318,0.48334580838323354,222.49188912681913,177.8220077707778,1635.333984780439,144.09438319375238
SeasonalNaive7,0,load,forecast_common_275,183.89592105050502,255.60450577844887,0.03949335295841365,1.0,0.9669264664885372,6.391716601010099,0.49568181818181817,234.76450858585855,185.47914790982523,1739.157305939394,147.9381048747616
SeasonalNaive7,0,load,development_184,203.4563637869867,282.5532989364993,0.04287443854693573,1.0,0.9590437647147245,0.06544986035627944,0.4846014492753623,251.21084716981133,206.76772633666442,2145.1338316123188,157.38788921404682
SeasonalNaive7,0,load,holdout_61,153.60209858834244,203.98613947919026,0.034002419887397065,1.0,0.9794079981479681,29.931437955373404,0.5300546448087432,210.00344186575654,151.02232864841923,1198.912486338798,130.4882462111659
SeasonalNaive7,0,pv,full_334,214.68823137890885,419.9479682302922,0.09024861243886008,1.0,0.9803609025122192,-4.713533832335335,0.28164504324683964,656.4563163201664,226.03863175547133,3410.3487051896204,69.56863962983124
SeasonalNaive7,0,pv,forecast_common_275,219.93026633333335,429.77652400613454,0.09053398333865907,1.0,0.9799198463128422,-26.529034681818178,0.25737373737373737,656.2224834343435,231.85218057008558,3438.280311151515,71.8760852027972
SeasonalNaive7,0,pv,development_184,251.21859455389495,474.51561718064215,0.09541888429564517,1.0,0.977277830214668,-27.431368527324885,0.26513435990338163,685.959594528302,265.3016363996752,3947.3634162137673,81.0700171860748
SeasonalNaive7,0,pv,holdout_61,128.1963944330601,270.35703631387383,0.07624768165598292,1.0,0.9872254640184583,-73.81898004326047,0.15289162112932606,420.67544459613197,131.93145308862648,2038.9067275956284,41.57071138369827
SeasonalNaive7,0,net,full_334,327.7708114624917,486.4685254107146,0.10922283078389315,1.0,0.9612644144620841,2.7640641279940077,0.4924110113107119,245.40536896049895,334.58452550822693,4171.193398153692,177.31737125957875
SeasonalNaive7,0,net,forecast_common_275,339.038040949495,501.26417278228496,0.11204912794328348,1.0,0.9604498506391411,32.920751282828284,0.5215909090909091,250.75465103535353,346.79179416578637,4263.181899030303,182.9123897724094
SeasonalNaive7,0,net,development_184,378.87838617149754,549.2752322788681,0.12491861369642832,1.0,0.956905051002304,27.496818387681163,0.5166817632850241,270.14932920754717,389.2442523577799,4874.23471557971,197.67972024171482
SeasonalNaive7,0,net,holdout_61,243.33934315801457,357.3499392515632,0.07796130204674243,1.0,0.9658723210742629,103.75041799863389,0.5901639344262295,192.66786370875997,242.27725727245758,2931.2263860655744,147.8251098131377
