method,seed,month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,spill_kwh,cost_delta_vs_manual_yuan
A0 原人工权重+PV-MA7,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
A0 原人工权重+PV-MA7,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
A0 原人工权重+PV-MA7,0,4,933954.995452921,89016.01984104363,1022971.0152939647,24763.95299952376,306679.5376072723,0.0
A0 原人工权重+PV-MA7,0,5,973874.1337636812,98411.63008846506,1072285.7638521462,24896.411811335718,377078.1803756238,0.0
A0 原人工权重+PV-MA7,0,6,1329566.2196843424,165282.5210333137,1494848.740717656,42797.07863928463,323755.7721747619,0.0
A0 原人工权重+PV-MA7,0,7,1481353.2093784483,136061.43762464816,1617414.6470030965,37172.409119800104,339185.61810130265,0.0
A0 原人工权重+PV-MA7,0,8,1286592.4469780778,88702.7400990227,1375295.1870771006,23177.25326584524,392709.25195655925,0.0
A0 原人工权重+PV-MA7,0,9,1142345.752501555,90761.23116564465,1233106.9836671995,24158.66946428572,379294.5268609524,0.0
A0 原人工权重+PV-MA7,0,10,1111084.5032925291,82278.67872082107,1193363.18201335,21014.935781190477,272630.56786942855,0.0
A0 原人工权重+PV-MA7,0,11,1258564.1122011712,57284.76245375335,1315848.8746549245,15446.587506428577,159520.87499835977,0.0
A0 原人工权重+PV-MA7,0,12,1666347.6530556853,85861.70485672158,1752209.3579124068,23426.348750952387,188934.82408333334,0.0
A1 负荷Lag7,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
A1 负荷Lag7,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
A1 负荷Lag7,0,4,941067.7009814555,97298.39969080477,1038366.1006722604,27158.504714285715,320448.45748157025,15395.085378295742
A1 负荷Lag7,0,5,987895.3212431839,101547.46095325239,1089442.7821964363,26089.45060714286,397145.87211503583,17157.01834429009
A1 负荷Lag7,0,6,1349360.44935895,184419.16894904943,1533779.6183079993,47577.5687392619,355908.31931020046,38930.877590343356
A1 负荷Lag7,0,7,1502199.1960394718,167686.15876949954,1669885.3548089713,44780.956551190175,378141.9107991493,52470.70780587476
A1 负荷Lag7,0,8,1286981.3458043707,110131.00706718808,1397112.3528715589,29050.43384285714,398569.4596179074,21817.16579445824
A1 负荷Lag7,0,9,1146282.1785730976,87416.30337857726,1233698.481951675,23128.093689094658,383543.59843551734,591.4982844754122
A1 负荷Lag7,0,10,1134172.8781796081,72591.89561513095,1206764.7737947393,19070.34444761905,302692.6432016176,13401.591781389201
A1 负荷Lag7,0,11,1271485.7397198642,61946.5553321191,1333432.295051983,16774.777247023823,178990.16856433215,17583.420397058595
A1 负荷Lag7,0,12,1686545.2773468632,93181.15305772024,1779726.4304045835,25210.248099999997,218511.33301428572,27517.072492176667
A2 负荷四周等权,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
A2 负荷四周等权,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
A2 负荷四周等权,0,4,933067.1645001218,88052.06206742945,1021119.2265675513,24535.405599404756,304573.24323028204,-1851.7887264133897
A2 负荷四周等权,0,5,968819.0822294869,99742.7954733479,1068561.8777028348,25180.17354940476,371652.8275244405,-3723.886149311438
A2 负荷四周等权,0,6,1320984.3057132724,160446.91521094614,1481431.2209242184,41729.98708107731,310974.4302327381,-13417.519793437561
A2 负荷四周等权,0,7,1473049.3085513068,128079.84307609934,1601129.151627406,35395.56890518077,324966.9014505116,-16285.495375690516
A2 负荷四周等权,0,8,1300564.525216718,79480.56301076901,1380045.088227487,20951.93948706643,410100.29847358185,4749.901150386315
A2 负荷四周等权,0,9,1147566.0519290974,97045.81864742503,1244611.8705765223,25831.280915476196,387318.25427620835,11504.886909322813
A2 负荷四周等权,0,10,1101505.5164696355,90759.16531846514,1192264.6817881006,23270.871889880946,261749.6484801607,-1098.500225249445
A2 负荷四周等权,0,11,1255768.208413366,59336.000771797335,1315104.2091851635,16003.913811904766,156066.3757179453,-744.6654697610065
A2 负荷四周等权,0,12,1659258.1359404186,87401.13189858395,1746659.2678390024,24032.377117857144,179412.4480670119,-5550.090073404368
A3 负荷学习权重,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
A3 负荷学习权重,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
A3 负荷学习权重,0,4,936294.4566032905,90871.88843840272,1027166.3450416932,25342.79587410241,311011.67447406857,4195.329747728538
A3 负荷学习权重,0,5,977568.1870235554,97824.94126229423,1075393.1282858497,24827.65840178162,381469.4616342893,3107.3644337034784
A3 负荷学习权重,0,6,1333478.0434097697,169564.76139733748,1503042.8048071072,43687.53372613652,330500.78219191334,8194.064089451218
A3 负荷学习权重,0,7,1483567.5022550386,144036.76320815855,1627604.2654631971,38974.123769503356,344837.3594489232,10189.61846010061
A3 负荷学习权重,0,8,1285161.7742930357,94204.28965780769,1379366.0639508434,24621.608002458768,391891.02400703967,4070.876873742789
A3 负荷学习权重,0,9,1140141.5689513113,82384.7727519708,1222526.3417032822,21845.543992473384,374733.0211652026,-10580.641963917296
A3 负荷学习权重,0,10,1115949.888847956,78923.71408158437,1194873.6029295404,20461.14798264679,279355.21843774343,1510.420916190371
A3 负荷学习权重,0,11,1263814.1700917694,58157.73270272844,1321971.9027944978,15696.754661118091,167164.98086967907,6123.028139573289
A3 负荷学习权重,0,12,1674824.1392260336,87330.11764674583,1762154.2568727795,23756.676635560907,200895.5111903633,9944.898960372666
A4 光伏Lag1,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
A4 光伏Lag1,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
A4 光伏Lag1,0,4,955309.0309226739,105578.7258155615,1060887.7567382355,29131.73129971189,345234.732737982,37916.741444270825
A4 光伏Lag1,0,5,993609.3121884872,114442.48553499361,1108051.7977234807,29318.581354855964,412694.5022387461,35766.03387133451
A4 光伏Lag1,0,6,1346154.6848199582,156341.5335697673,1502496.2183897255,41719.28405594999,347105.13597227616,7647.477672069566
A4 光伏Lag1,0,7,1513375.041151269,165868.9559957335,1679243.9971470025,43833.863897349984,394373.11959848664,61829.35014390596
A4 光伏Lag1,0,8,1300037.2100948456,90386.84110347416,1390424.0511983198,24066.858604999994,411726.5890190708,15128.864121219143
A4 光伏Lag1,0,9,1167161.0974342,105217.67182822252,1272378.7692624226,28166.804140000004,421878.9877822,39271.785595223075
A4 光伏Lag1,0,10,1129374.6312963988,72344.82757129752,1201719.4588676963,18865.267803333332,298421.3664396914,8356.276854346273
A4 光伏Lag1,0,11,1269861.942056904,62217.0530856275,1332078.9951425316,16750.313488333333,177916.88746166666,16230.120487607084
A4 光伏Lag1,0,12,1668536.828268974,95348.96810822918,1763885.7963772034,26210.34155166667,195483.83979858027,11676.438464796636
A5 光伏Lag7,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
A5 光伏Lag7,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
A5 光伏Lag7,0,4,951257.5710270003,94887.38617528733,1046144.9572022876,25687.568916666623,334642.0203325083,23173.941908322973
A5 光伏Lag7,0,5,995203.1181542655,123939.03805292292,1119142.1562071883,30662.011705123456,418778.4283927982,46856.392355042044
A5 光伏Lag7,0,6,1384612.7940535806,195031.22556729274,1579644.0196208733,50344.113041604935,410185.24581260147,84795.27890321729
A5 光伏Lag7,0,7,1504055.108096549,152665.9648479478,1656721.072944497,42687.28834362385,375806.682139177,39306.42594140046
A5 光伏Lag7,0,8,1314538.1841370105,99055.00535983672,1413593.189496847,26115.46013329218,435946.1820162457,38298.00241974648
A5 光伏Lag7,0,9,1170875.347791141,97540.38363477499,1268415.731425916,26646.870206666666,422793.58812517405,35308.74775871658
A5 光伏Lag7,0,10,1137047.4453250237,95912.90904718667,1232960.3543722103,24894.81485,312615.26288664615,39597.17235886026
A5 光伏Lag7,0,11,1276888.1088733592,66692.70372954667,1343580.812602906,18486.766810000005,187906.65577666665,27731.937947981525
A5 光伏Lag7,0,12,1688979.5936907297,90908.49827988667,1779888.0919706163,24318.729603333333,221920.5944691,27678.734058209462
A6 光伏SeasonalEWMA,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
A6 光伏SeasonalEWMA,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
A6 光伏SeasonalEWMA,0,4,952807.1761831064,72888.54407479105,1025695.7202578974,20085.12678290799,330152.11014218273,2724.704963932745
A6 光伏SeasonalEWMA,0,5,977839.2292491391,120957.51988199801,1098796.749131137,29599.189235603597,389850.30264287646,26510.98527899082
A6 光伏SeasonalEWMA,0,6,1357197.6132356105,196430.06804280268,1553627.6812784132,50125.30452453251,371038.19391403696,58778.94056075718
A6 光伏SeasonalEWMA,0,7,1492738.765769107,134225.12167851327,1626963.8874476203,36720.67151255382,355808.3182882761,9549.240444523748
A6 光伏SeasonalEWMA,0,8,1298645.3696144242,101167.67289416831,1399813.0425085926,26577.970328982556,414342.2627407524,24517.855431491975
A6 光伏SeasonalEWMA,0,9,1149302.9830415891,94442.80628047105,1243745.78932206,25307.136032770704,391291.36165352137,10638.805654860567
A6 光伏SeasonalEWMA,0,10,1123817.4964221693,93016.3850574463,1216833.8814796156,23717.384902020214,294678.87142551324,23470.699466265505
A6 光伏SeasonalEWMA,0,11,1269143.3115747932,58100.95092054688,1327244.26249534,16480.877633447395,173955.5234922092,11395.387840415584
A6 光伏SeasonalEWMA,0,12,1688136.5856708854,89849.70102815496,1777986.2866990403,24031.87035790277,220289.20009512597,25776.928786633536
A7 学习负荷+EWMA光伏,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
A7 学习负荷+EWMA光伏,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
A7 学习负荷+EWMA光伏,0,4,955062.7354507063,74601.86370419094,1029664.5991548973,20605.761127917045,334304.97170487785,6693.5838609326165
A7 学习负荷+EWMA光伏,0,5,981466.6663532616,120160.38217040598,1101627.0485236675,29479.402149979327,394208.38354395056,29341.28467152128
A7 学习负荷+EWMA光伏,0,6,1360081.4843774708,200191.4851042137,1560272.9694816845,50870.330450270405,376250.21365408285,65424.22876402852
A7 学习负荷+EWMA光伏,0,7,1496548.8445619838,141692.062676891,1638240.9072388748,38381.20468033734,363634.9982066825,20826.26023577829
A7 学习负荷+EWMA光伏,0,8,1297336.2155409956,105705.01681012494,1403041.2323511206,27820.4727799944,413949.6565665605,27746.04527401994
A7 学习负荷+EWMA光伏,0,9,1147062.925806468,84709.7150488689,1231772.6408553368,22732.58959969428,386508.0787208553,-1334.3428118627053
A7 学习负荷+EWMA光伏,0,10,1128388.2706192923,88604.45461311055,1216992.7252324028,22975.35773514926,300862.6182485857,23629.54321905272
A7 学习负荷+EWMA光伏,0,11,1274500.9984048826,59746.89446640206,1334247.8928712846,16944.96102956773,181970.2264815749,18399.018216360128
A7 学习负荷+EWMA光伏,0,12,1696688.2758067981,90039.69686636042,1786727.9726731586,24031.303956606043,232131.63020957267,34518.614760751836
Attachment1Static,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
Attachment1Static,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
Attachment1Static,0,4,1125926.7086999035,73673.86157859169,1199600.5702784953,19924.08811666667,582436.6874471667,176629.55498453067
Attachment1Static,0,5,1141595.4291434924,109630.10712271667,1251225.536266209,27822.098766666666,626223.9541166666,178939.77241406287
Attachment1Static,0,6,1404061.9195084614,301289.9736559,1705351.8931643614,76276.76183333332,479446.8077633333,210503.15244670538
Attachment1Static,0,7,1608258.8236798637,194522.60204868333,1802781.425728547,52843.34298333333,547752.4853333333,185366.7787254504
Attachment1Static,0,8,1524857.833854441,80028.04082861665,1604885.874683058,20230.76488333333,737296.6375408168,229590.68760595727
Attachment1Static,0,9,1310517.2398105266,92182.57862298333,1402699.81843351,22836.676866666665,614013.2048888889,169592.8347663104
Attachment1Static,0,10,1306815.41747061,129814.23228878333,1436629.6497593932,32696.39531666667,553261.9086916667,243266.4677460431
Attachment1Static,0,11,1451378.2743134543,165047.05897404166,1616425.3332874961,42879.81383333333,453887.2036166666,300576.4586325716
Attachment1Static,0,12,1833402.7290587106,193632.40901312497,2027035.1380718355,52064.205649999996,420276.60864999995,274825.7801594287
ETS,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
ETS,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
ETS,0,4,944540.1132079992,72101.65472007268,1016641.7679280719,21020.98600956349,318474.5070565785,-6329.247365892748
ETS,0,5,943097.3240477057,134166.9376257021,1077264.2616734079,31965.324731799145,345421.30538203084,4978.497821261641
ETS,0,6,1234952.4779324916,203263.51467380917,1438215.9926063009,54109.74680933021,202827.6631637027,-56632.74811135512
ETS,0,7,1522782.429950034,77370.13275789625,1600152.5627079303,22997.22393702146,389718.03448801994,-17262.08429516619
ETS,0,8,1358983.5961494038,57582.02959479765,1416565.6257442015,14376.4249955232,491928.01286792074,41270.438667100854
ETS,0,9,1139923.0891756862,102416.14507531765,1242339.2342510037,27128.069863554225,359833.1804399659,9232.250583804213
ETS,0,10,1100930.574389533,134316.53362008996,1235247.108009623,36221.59012948497,279718.8442431561,41883.925996272825
ETS,0,11,1229320.8810981456,119729.9729649682,1349050.854063114,30937.550080683108,133392.32731229515,33201.97940818942
ETS,0,12,1644507.471537857,63266.02164762292,1707773.49318548,19081.35604066672,150705.60447772627,-44435.8647269269
EqualWeekly,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
EqualWeekly,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
EqualWeekly,0,4,960834.8350107737,60100.610234412496,1020935.4452451862,16386.332683333334,336158.02314263117,-2035.5700487784343
EqualWeekly,0,5,959806.4797967391,127134.04295624162,1086940.5227529807,31456.351758333323,362682.6232461414,14654.75890083448
EqualWeekly,0,6,1323768.069123787,205859.73802159162,1529627.8071453788,52183.336587499994,326836.67370110186,34779.066427722806
EqualWeekly,0,7,1503691.9796069528,116137.80450835715,1619829.7841153098,31764.29036037499,368435.88324737654,2415.1371122132987
EqualWeekly,0,8,1300335.6410926783,93616.02352819584,1393951.664620874,24640.02301666667,414850.0471601126,18656.477543773362
EqualWeekly,0,9,1137227.68513688,110263.09004066461,1247490.7751775447,29234.564275000008,376606.8949868313,14383.791510345181
EqualWeekly,0,10,1107697.2714471314,110797.92985500205,1218495.2013021335,28351.772812499992,277458.4221347865,25132.019288783427
EqualWeekly,0,11,1266426.931814149,56661.27730314376,1323088.2091172927,16335.728670833336,168583.79674322478,7239.334462368162
EqualWeekly,0,12,1687471.311510535,91973.1612027396,1779444.4727132746,25060.594250000002,218326.0650375,27235.114800867857
ExpandingMean,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
ExpandingMean,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
ExpandingMean,0,4,1146535.3004889917,79803.42864754095,1226338.7291365326,19779.51305992587,610711.4456398748,203367.713842568
ExpandingMean,0,5,1122771.0153839807,131526.97206755966,1254297.9874515403,33553.58104838665,599067.8342587246,182012.22359939408
ExpandingMean,0,6,1407936.5459220405,305827.6940430973,1713764.2399651378,77375.08509033988,484456.45329854,218915.4992474818
ExpandingMean,0,7,1616003.7186246754,185758.08330132865,1801761.801926004,50643.58412809462,555149.2753105694,184347.15492290747
ExpandingMean,0,8,1528663.7888223294,78035.67509511315,1606699.4639174426,19890.181089988662,739653.9289760495,231404.27684034198
ExpandingMean,0,9,1308385.813824933,98395.24109846396,1406781.054923397,24567.911637245357,610272.2853009225,173674.07125619752
ExpandingMean,0,10,1303966.081400165,131584.12247638573,1435550.2038765508,33368.99789172642,548864.356025796,242187.0218632007
ExpandingMean,0,11,1453902.2390863725,158401.3991199122,1612303.6382062847,41439.360670644906,455401.45309450215,296454.7635513602
ExpandingMean,0,12,1843344.6571351273,179320.81953661377,2022665.476671741,48495.63851201489,429415.4257043156,270456.1187593343
KalmanLocalLevel,0,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
KalmanLocalLevel,0,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
KalmanLocalLevel,0,4,1108526.551587952,343065.5192414837,1451592.070829436,86298.18742165243,615117.1285149053,428621.0555354713
KalmanLocalLevel,0,5,1291600.8898181058,242824.45776248895,1534425.3475805947,55123.97585955366,871669.996626969,462139.5837284485
KalmanLocalLevel,0,6,1576627.4763662473,219928.9709023934,1796556.4472686409,65271.80977507742,669664.7480153473,301707.7065509849
KalmanLocalLevel,0,7,1622279.8091982007,190031.49201897864,1812311.3012171795,49369.87680614861,558428.727605654,194896.65421408298
KalmanLocalLevel,0,8,1569585.156163561,61557.19553243428,1631142.3516959953,17036.96867163243,781335.9455474002,255847.1646188947
KalmanLocalLevel,0,9,1309644.1099279907,88319.28625246628,1397963.396180457,22997.553987316536,617848.9907708053,164856.41251325747
KalmanLocalLevel,0,10,1298527.9113236137,106204.26064507726,1404732.171968691,27607.717953203202,539979.4622322757,211368.98995534098
KalmanLocalLevel,0,11,1516800.217026826,78577.72228498342,1595377.9393118094,20605.524152041802,520551.3618371531,279529.0646568849
KalmanLocalLevel,0,12,1901166.308454191,107801.62065995493,2008967.929114146,27859.094336884744,487666.6591456388,256758.57120173913
LSTM,2026,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
LSTM,2026,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
LSTM,2026,4,1019175.3363443592,29358.42330552554,1048533.7596498847,9736.678436868573,409963.38310861244,25562.744355920004
LSTM,2026,5,936151.2143921405,180879.1322128205,1117030.346604961,43885.931880033095,341658.5295492776,44744.58275281475
LSTM,2026,6,1315152.7610690654,162504.84038695425,1477657.6014560198,41788.31085735856,298991.1611200441,-17191.139261636185
LSTM,2026,7,1432513.4231112371,197779.17519444507,1630292.5983056822,51615.54135130815,293052.0851364705,12877.951302585658
LSTM,2026,8,1338702.9801102171,75843.94969422957,1414546.9298044466,18841.283113071284,467840.8896984447,39251.74272734602
LSTM,2026,9,1094418.1073299656,79406.92127301081,1173825.0286029764,20189.410697469106,311939.24216481677,-59281.95506422315
LSTM,2026,10,1098855.046363495,89412.90885094416,1188267.9552144392,25603.56813599525,254290.9167410054,-5095.2267989108805
LSTM,2026,11,1248304.616789958,70835.72001549084,1319140.3368054489,18298.219435945157,150087.7768849718,3291.4621505243704
LSTM,2026,12,1636662.6326758086,89197.17258031889,1725859.8052561274,24775.70762305764,143000.0097941046,-26349.55265627941
LSTM,2027,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
LSTM,2027,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
LSTM,2027,4,1011716.4808399699,33000.608042262866,1044717.0888822328,10914.777745013818,398667.59678401955,21746.073588268133
LSTM,2027,5,962067.9526043659,149178.2963205836,1111246.2489249494,36120.60465010155,372924.4489500064,38960.48507280322
LSTM,2027,6,1279091.8566228123,229069.53950804548,1508161.396130858,58193.13368371565,266741.8215057584,13312.65541320201
LSTM,2027,7,1450228.305859738,201293.23286170693,1651521.538721445,53132.36714210649,320587.60064510786,34106.89171834849
LSTM,2027,8,1343563.1963064976,72920.90304050819,1416484.0993470056,18090.01884869772,473447.79838612134,41188.91226990498
LSTM,2027,9,1106160.178995336,73144.68818396762,1179304.8671793034,18304.148403616175,323395.78128332086,-53802.11648789607
LSTM,2027,10,1096848.322802693,91855.79085752096,1188704.1136602138,26216.07667519924,252676.6721660757,-4659.068353136303
LSTM,2027,11,1241585.4471814684,79686.81448278797,1321272.2616642565,20585.000612046526,143063.88196670514,5423.3870093319565
LSTM,2027,12,1634604.8985442542,78144.69205859535,1712749.5906028496,21694.00697553846,138729.68782256378,-39459.76730955718
LSTM,2028,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
LSTM,2028,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
LSTM,2028,4,1012511.6370394952,33496.78098267289,1046008.4180221681,10702.489293684628,398302.44912071404,23037.40272820345
LSTM,2028,5,957324.7043009648,171141.85563052708,1128466.559931492,41212.05989230085,371010.9700571805,56180.796079345746
LSTM,2028,6,1288977.1022442395,229056.0716022738,1518033.1738465133,57743.39936913217,280680.8228529523,23184.433128857287
LSTM,2028,7,1477733.5089249955,211606.30504914885,1689339.8139741444,57729.117535390236,359686.32117711235,71925.16697104787
LSTM,2028,8,1352285.0866499755,62939.3026782341,1415224.3893282097,15780.25387800124,490106.60216227535,39929.20225110906
LSTM,2028,9,1110398.2049617788,67031.64148068624,1177429.8464424652,17474.488243431664,325162.2085303248,-55677.137224734295
LSTM,2028,10,1080951.847073156,111246.31041495285,1192198.1574881088,30540.89324521087,235940.89218279975,-1165.0245252412278
LSTM,2028,11,1246269.0910980601,85036.95788419565,1331306.0489822559,21627.84031607591,150083.24380538153,15457.174327331362
LSTM,2028,12,1646075.2205918487,70824.05602080739,1716899.276612656,20182.18616640103,151972.4374800205,-35310.08129975083
LightGBM,2026,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
LightGBM,2026,3,1138190.828860059,114594.86251979168,1252785.6913798507,29709.943566666672,292883.86462602054,0.0
LightGBM,2026,4,930966.2214239326,95451.53987520462,1026417.7612991371,25997.679838367072,308520.8695347039,3446.746005172492
LightGBM,2026,5,952036.7358022825,117811.325226109,1069848.0610283914,29481.1787155073,352560.39790873637,-2437.7028237548657
LightGBM,2026,6,1304584.9878563522,142204.1042066741,1446789.0920630263,38214.75485769367,287170.57028309983,-48059.64865462971
LightGBM,2026,7,1503776.0076259589,103539.60562778583,1607315.6132537446,28842.08995582657,368284.9864327594,-10099.033749351976
LightGBM,2026,8,1312129.7845265414,82877.60601338804,1395007.3905399293,20866.322275040093,425614.78690209216,19712.20346282865
LightGBM,2026,9,1112012.7188906579,106082.53498438552,1218095.2538750435,30363.441173889645,330586.97527559067,-15011.729792156024
LightGBM,2026,10,1113639.080195327,100976.8449004734,1214615.9250958005,24787.98544501691,283907.620518708,21252.74308245047
LightGBM,2026,11,1281785.4644172054,48408.50842167076,1330193.9728388763,13415.53075211728,181738.64571807702,14345.098183951806
LightGBM,2026,12,1650347.3907696276,83037.11640970272,1733384.5071793306,22928.18760060036,167649.70134262016,-18824.850733076222
MLP,2026,2,1225280.4647457493,60716.424220683315,1285996.8889664325,16161.998883333328,200541.6276296543,0.0
