method,seed,date,soc_recursion_error_kwh,terminal_soc_error_kwh,soc_lower_violation_kwh,soc_upper_violation_kwh,power_balance_error_kwh,min_plan_kwh,min_charge_kwh,min_discharge_kwh,min_emergency_kwh
Attachment1Static,0,2025-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-02,0.0,3.637978807091713e-12,3.637978807091713e-12,0.0,0.0,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-03,0.0,2.7284841053187847e-12,2.7284841053187847e-12,0.0,0.0,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-04,0.0,0.0,1.8189894035458565e-12,0.0,1.1368683772161603e-13,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-05,0.0,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-06,0.0,0.0,1.8189894035458565e-12,0.0,1.1368683772161603e-13,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-07,0.0,9.094947017729282e-13,9.094947017729282e-13,0.0,5.684341886080802e-14,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-08,0.0,4.547473508864641e-12,0.0,3.637978807091713e-12,0.0,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-09,0.0,2.7284841053187847e-12,2.7284841053187847e-12,0.0,1.1368683772161603e-13,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-10,0.0,1.8189894035458565e-12,0.0,1.8189894035458565e-12,5.684341886080802e-14,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-11,0.0,2.7284841053187847e-12,2.7284841053187847e-12,0.0,5.684341886080802e-14,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-12,0.0,2.7284841053187847e-12,9.094947017729282e-13,1.8189894035458565e-12,0.0,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-13,0.0,1.8189894035458565e-12,2.7284841053187847e-12,0.0,1.1368683772161603e-13,0.0,0.0,0.0,0.0
Attachment1Static,0,2025-02-14,0.0,2.7284841053187847e-12,0.0,3.637978807091713e-12,1.1368683772161603e-13,0.0,0.0,0.0,0.0
