model,target,parameter,validation_MAE,fit_seconds,best_iteration,epochs,internal_val_loss
SeasonalEWMA,load,lambda=0.4,129.41122194012806,,,,
SeasonalEWMA,load,lambda=0.6,139.54745971163698,,,,
SeasonalEWMA,load,lambda=0.8,177.01682707249006,,,,
SeasonalEWMA,load,lambda=0.9,207.79888258743406,,,,
SeasonalEWMA,pv,lambda=0.4,220.35536938646612,,,,
SeasonalEWMA,pv,lambda=0.6,254.6105927030717,,,,
SeasonalEWMA,pv,lambda=0.8,344.9823808399245,,,,
SeasonalEWMA,pv,lambda=0.9,411.2256314692283,,,,
WeeklyTrend,load,alpha=0,131.63812041218662,,,,
WeeklyTrend,load,alpha=0.25,121.9487580820374,,,,
WeeklyTrend,load,alpha=0.5,116.23174895561321,,,,
WeeklyTrend,load,alpha=0.75,114.9032351045667,,,,
WeeklyTrend,load,alpha=1.0,118.04143309939836,,,,
WeeklyTrend,pv,alpha=0,231.6979085752686,,,,
WeeklyTrend,pv,alpha=0.25,206.38694972486226,,,,
WeeklyTrend,pv,alpha=0.5,186.44787614583328,,,,
WeeklyTrend,pv,alpha=0.75,175.16103159314193,,,,
WeeklyTrend,pv,alpha=1.0,174.01657976734512,,,,
ETS,load,trend=None,172.13876715153705,,,,
ETS,load,trend=add,171.78610818224954,,,,
ets,load,add,,2.971855686000083,,,
ETS,pv,trend=None,242.40761134046627,,,,
ETS,pv,trend=add,319.4289920099529,,,,
ets,pv,None,,3.2151250480000044,,,
kalman,load,None,,9.2090093810001,,,
kalman,pv,None,,9.662157077999836,,,
ucm,load,None,,63.58369202600011,,,
ucm,pv,None,,61.34310477200006,,,
Ridge,load,"{""alpha"": 0.1}",364.0080130824748,0.007302079999931266,,,
Ridge,load,"{""alpha"": 1.0}",338.1205857024138,0.005510487999913494,,,
Ridge,load,"{""alpha"": 10.0}",277.0731858282481,0.005558092000001125,,,
Ridge,load,"{""alpha"": 100.0}",156.46589604861495,0.006574189000048136,,,
Ridge,pv,"{""alpha"": 0.1}",216.8523581418911,0.0070636860000377055,,,
Ridge,pv,"{""alpha"": 1.0}",188.76170132601618,0.006755998000016916,,,
Ridge,pv,"{""alpha"": 10.0}",180.07413031549925,0.006545840000057979,,,
Ridge,pv,"{""alpha"": 100.0}",185.83907263851822,0.0067021059999206045,,,
LightGBM,load,"{""num_leaves"": 15, ""min_child_samples"": 20}",123.07380595928382,0.4048184509999828,165.0,,
LightGBM,load,"{""num_leaves"": 15, ""min_child_samples"": 50}",123.04280318202483,0.3013886129999719,162.0,,
LightGBM,load,"{""num_leaves"": 31, ""min_child_samples"": 20}",123.61617643081357,0.38321885200002725,148.0,,
LightGBM,load,"{""num_leaves"": 31, ""min_child_samples"": 50}",123.30998471819501,0.3545734620000758,143.0,,
LightGBM,pv,"{""num_leaves"": 15, ""min_child_samples"": 20}",167.6874954560577,0.3764014570000427,238.0,,
LightGBM,pv,"{""num_leaves"": 15, ""min_child_samples"": 50}",167.26419872201524,0.31403230900002654,223.0,,
LightGBM,pv,"{""num_leaves"": 31, ""min_child_samples"": 20}",170.26534583889895,0.5129843529999789,243.0,,
LightGBM,pv,"{""num_leaves"": 31, ""min_child_samples"": 50}",169.9191991631438,0.3684956829999919,190.0,,
XGBoost,load,"{""max_depth"": 3, ""min_child_weight"": 5}",119.62292181645874,0.5837249050000537,182.0,,
XGBoost,load,"{""max_depth"": 3, ""min_child_weight"": 10}",119.67195787445397,0.3534716709999657,184.0,,
XGBoost,load,"{""max_depth"": 6, ""min_child_weight"": 5}",125.28397024337059,0.7572603980000849,160.0,,
XGBoost,load,"{""max_depth"": 6, ""min_child_weight"": 10}",125.17111716833627,0.7241050200000245,157.0,,
XGBoost,pv,"{""max_depth"": 3, ""min_child_weight"": 5}",171.12515045721628,0.508951183000022,286.0,,
XGBoost,pv,"{""max_depth"": 3, ""min_child_weight"": 10}",171.9092791881161,0.3972393980000106,220.0,,
XGBoost,pv,"{""max_depth"": 6, ""min_child_weight"": 5}",175.43582708296032,0.7977735249999114,222.0,,
XGBoost,pv,"{""max_depth"": 6, ""min_child_weight"": 10}",175.3007501034294,0.714279710000028,201.0,,
MLP,load,"{""hidden_layer_sizes"": [64], ""alpha"": 0.0001}",766.9839889164787,4.061270002000015,,,
MLP,load,"{""hidden_layer_sizes"": [64], ""alpha"": 0.001}",766.9839881524705,3.709109550999983,,,
MLP,load,"{""hidden_layer_sizes"": [128, 64], ""alpha"": 0.0001}",364.61984689572705,12.009026371000004,,,
MLP,load,"{""hidden_layer_sizes"": [128, 64], ""alpha"": 0.001}",364.83208977043694,11.748832955000012,,,
MLP,pv,"{""hidden_layer_sizes"": [64], ""alpha"": 0.0001}",317.29822116366427,3.61154524199992,,,
MLP,pv,"{""hidden_layer_sizes"": [64], ""alpha"": 0.001}",317.2941444103075,5.248927447999904,,,
MLP,pv,"{""hidden_layer_sizes"": [128, 64], ""alpha"": 0.0001}",239.0182358097717,2.976607858999955,,,
MLP,pv,"{""hidden_layer_sizes"": [128, 64], ""alpha"": 0.001}",238.923932625806,3.0070807429999604,,,
LSTM,load,"{""lookback"": 14, ""hidden"": 32}",245.722066737116,8.014948957000115,,102.0,0.022575849667191505
LSTM,load,"{""lookback"": 14, ""hidden"": 64}",253.42765967920266,1.0507034539998585,,93.0,0.02429206110537052
LSTM,load,"{""lookback"": 28, ""hidden"": 32}",306.6188264941925,0.7009533589998682,,82.0,0.01939760148525238
LSTM,load,"{""lookback"": 28, ""hidden"": 64}",259.8659102196029,0.4927722059999269,,56.0,0.020347237586975098
LSTM,pv,"{""lookback"": 14, ""hidden"": 32}",476.66253856669766,0.3561167850000402,,27.0,0.2826589345932007
LSTM,pv,"{""lookback"": 14, ""hidden"": 64}",412.87687851767583,0.30193696400010595,,24.0,0.2961786985397339
LSTM,pv,"{""lookback"": 28, ""hidden"": 32}",450.2566902753208,0.26912871400008953,,28.0,0.3610461354255676
LSTM,pv,"{""lookback"": 28, ""hidden"": 64}",342.4055691281368,0.23090433799984567,,23.0,0.3763240575790405
