date,slot_index,source_endpoint_label,natural_interval,template_interval_label,price_yuan_per_kwh,actual_load_kw,actual_pv_kw,actual_net_kwh,load_forecast_kw,pv_forecast_kw,baseline_net_kwh,plan_purchase_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,emergency_kwh,spill_kwh
2025-02-01,0,00:10:00,0:00-0:10,0:10-0:20,0.4248000000,2532.1822000000,0.0000000000,422.0303666667,2692.2036500000,0.0000000000,448.7006083333,1286.2788879630,833.3333333333,0.0000000000,6000.0000000000,6750.0000000000,0.0000000000,30.9151879630
2025-02-01,1,00:20:00,0:10-0:20,0:20-0:30,0.4245000000,2492.4439000000,0.0000000000,415.4073166667,2704.6858300000,0.0000000000,450.7809716667,1290.2242050000,833.3333333333,0.0000000000,6750.0000000000,7500.0000000000,0.0000000000,41.4835550000
2025-02-01,2,00:30:00,0:20-0:30,0:30-0:40,0.4269000000,2464.3000000000,0.0000000000,410.7166666667,2723.9120000000,0.0000000000,453.9853333333,1303.0434285714,833.3333333333,0.0000000000,7500.0000000000,8250.0000000000,0.0000000000,58.9934285714
2025-02-01,3,00:40:00,0:30-0:40,0:40-0:50,0.4272000000,2581.7688000000,0.0000000000,430.2948000000,2768.3284300000,0.0000000000,461.3880716667,1307.6553050000,833.3333333333,0.0000000000,8250.0000000000,9000.0000000000,0.0000000000,44.0271716667
2025-02-01,4,00:50:00,0:40-0:50,0:50-1:00,0.4271000000,2546.4635000000,0.0000000000,424.4105833333,2828.9851900000,0.0000000000,471.4975316667,1329.5993575926,833.3333333333,0.0000000000,9000.0000000000,9750.0000000000,0.0000000000,71.8554409259
2025-02-01,5,01:00:00,0:50-1:00,1:00-1:10,0.4285000000,2436.3100000000,0.0000000000,406.0516666667,2884.6860000000,0.0000000000,480.7810000000,506.6850740741,0.0000000000,0.0000000000,9750.0000000000,9750.0000000000,0.0000000000,100.6334074074
2025-02-01,6,01:10:00,1:00-1:10,1:10-1:20,0.4311000000,2620.5011000000,0.0000000000,436.7501833333,2902.2389100000,0.0000000000,483.7064850000,500.3986873810,0.0000000000,0.0000000000,9750.0000000000,9750.0000000000,0.0000000000,63.6485040476
2025-02-01,7,01:20:00,1:10-1:20,1:20-1:30,0.4302000000,2710.7861000000,0.0000000000,451.7976833333,2828.6065000000,0.0000000000,471.4344166667,485.6769833333,0.0000000000,0.0000000000,9750.0000000000,9750.0000000000,0.0000000000,33.8793000000
2025-02-01,8,01:30:00,1:20-1:30,1:30-1:40,0.4279000000,2676.4800000000,0.0000000000,446.0800000000,2764.7170000000,0.0000000000,460.7861666667,814.8978333333,333.3333333333,0.0000000000,9750.0000000000,10050.0000000000,0.0000000000,35.4845000000
2025-02-01,9,01:40:00,1:30-1:40,1:40-1:50,0.4312000000,2830.5980000000,0.0000000000,471.7663333333,2882.5828400000,0.0000000000,480.4304733333,501.8411881481,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,30.0748548148
