month,load_kwh_mean,load_kwh_std,pv_kwh_mean,pv_kwh_std,net_kwh_mean,net_kwh_std
1,113418.56325967741,21018.726712015607,38140.413464516125,2455.5819415661826,75278.14979516128,21438.76858371806
2,108405.5166077381,20954.96089621353,47195.52831964286,4099.312941877381,61209.988288095235,21093.439821671167
3,104536.77588978494,21038.206980699513,55300.7221327957,4935.000401093125,49236.05375698925,21971.172315153915
4,105431.44317722225,20534.846161921865,64840.45654388888,3778.2691888014197,40590.986633333334,21552.451293232854
5,105640.26606451614,21666.402107984624,67356.0575172043,2683.793745894512,38284.20854731183,21267.057382923584
6,115208.94310666667,20630.657886672587,56875.83756722222,3054.685184863522,58333.10553944445,20734.04667770832
7,128094.20774569892,20215.477661391298,65358.1026,2517.1557479354656,62736.105145698915,20173.573603965193
8,121084.24920806453,21628.991367613045,69983.83423172042,3056.6998925047483,51100.41497634408,22240.184156377112
9,108861.85038777775,20583.11145492337,62582.388146111116,3969.0064617671296,46279.46224166666,20978.782648625027
10,104328.46779193549,21049.235361375846,56743.51324247311,4960.534746133925,47584.95454946236,21546.39019600722
11,104104.11232055555,21276.949823120845,44505.03205444444,3259.6162394283942,59599.0802661111,21416.79330448428
12,112591.34150860216,20311.299015964898,36332.085501075264,1082.2574938971406,76259.25600752688,19917.063148115096
