month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,point_total_cost_yuan,saa_vs_point_saving_rate,emergency_slot_frequency,emergency_day_frequency
2,1208632.7893020015,49181.13835213672,1257813.927654138,13140.363914814807,1258255.2456206633,0.00035073803034890716,0.18080357142857142,1.0
3,1112221.7238058615,93330.95559214371,1205552.6793980054,25176.9258752381,1235751.0449761979,0.02443725676054287,0.20542114695340502,1.0
4,930745.6848287724,90755.50915263881,1021501.1939814113,24958.957608121684,1103012.738173403,0.07389900530702442,0.19444444444444445,1.0
5,973874.1337636813,98411.63008846506,1072285.7638521462,24896.411811335718,1279025.9498356392,0.16163877363868973,0.18301971326164876,1.0
6,1329566.2196843424,165282.52103331374,1494848.740717656,42797.07863928463,1821694.8887024103,0.17941871057099257,0.18449074074074073,0.9666666666666667
7,1481353.2093784483,136061.43762464816,1617414.6470030965,37172.409119800104,1955544.1294845592,0.17290813200445987,0.1832437275985663,0.967741935483871
8,1286592.446978078,88702.7400990227,1375295.1870771006,23177.25326584524,1454659.2475268068,0.054558523299968686,0.16084229390681004,1.0
9,1142345.7525015548,90761.23116564465,1233106.9836671995,24158.66946428572,1287257.253690541,0.04206639338647633,0.2048611111111111,0.8666666666666667
10,1111084.503292529,82278.67872082107,1193363.18201335,21014.935781190477,1312245.8547515247,0.09059481674696179,0.2157258064516129,1.0
11,1258564.1122011712,57284.76245375335,1315848.8746549247,15446.587506428577,1459297.3928854745,0.09829971528072723,0.20625,1.0
12,1666347.6530556853,85861.70485672157,1752209.357912407,23426.348750952387,1981378.9448620225,0.1156616645916636,0.18996415770609318,1.0
