quarter,strategy,strategy_name,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh
1,oracle,完美信息Oracle,2140789.0018195403,0.0,2140789.0018195403,0.0
1,point,点预测,2254227.866745118,239778.4238517431,2494006.290596861,62691.12266809492
1,q80,加权Q80,2309279.9207116426,169927.91695725784,2479207.8376689004,44727.93581791006
1,saa,两阶段SAA（主方案）,2320854.513107863,142512.09394428044,2463366.607052143,38317.289790052906
1,static,静态典型日,2072489.9667680883,2316788.4837343413,4389278.45050243,556891.4382666666
2,oracle,完美信息Oracle,2873777.63944081,0.0,2873777.63944081,0.0
2,point,点预测,2760501.0755570335,1443232.5011544195,4203733.576711453,361484.1305678562
2,q80,加权Q80,3197051.3362741517,442740.3977185395,3639791.733992691,111944.05720642857
2,saa,两阶段SAA（主方案）,3234186.038276796,354449.6602744176,3588635.698551214,92652.44805874203
2,static,静态典型日,3196552.3216253566,1922294.6325452335,5118846.95417059,469284.23103333334
3,oracle,完美信息Oracle,3481302.39259072,0.0,3481302.39259072,0.0
3,point,点预测,3520830.6588107604,1176629.9718911466,4697460.630701907,304837.5850204753
3,q80,加权Q80,3876070.26949099,392099.262713686,4268169.5322046755,102359.56464071426
3,saa,两阶段SAA（主方案）,3910291.4088580813,315525.40888931556,4225816.817747396,84508.33184993106
3,static,静态典型日,3231679.270214646,3691823.184291833,6923502.454506479,905683.0907666667
4,oracle,完美信息Oracle,3749177.881426559,0.0,3749177.881426559,0.0
4,point,点预测,3680147.0316993208,1072775.1607997008,4752922.192499022,283299.35879650986
4,q80,加权Q80,4019176.641952827,253496.81371797537,4272673.455670802,65972.49952714286
4,saa,两阶段SAA（主方案）,4035996.268549386,225425.146031296,4261421.414580681,59887.87203857144
4,static,静态典型日,3231679.270214646,5462401.908016366,8694081.178231012,1307821.40655
