date,time_period,planned_purchase_kwh,full_day_purchase_kwh,full_day_planned_cost_yuan
2025-03-20,10:00-10:10,0.0000000000,70597.5616795032,42783.5406637567
2025-03-20,12:00-12:10,629.2058823810,,
2025-03-20,14:00-14:10,0.0000000000,,
2025-03-20,16:00-16:10,490.4916238095,,
2025-03-20,18:00-18:10,705.3088242857,,
2025-03-20,20:00-20:10,0.0000000000,,
2025-06-21,10:00-10:10,0.0000000000,42343.8786881070,24459.6907984270
2025-06-21,12:00-12:10,0.0000000000,,
2025-06-21,14:00-14:10,0.0000000000,,
2025-06-21,16:00-16:10,259.9071661905,,
2025-06-21,18:00-18:10,24.6034095238,,
2025-06-21,20:00-20:10,0.0000000000,,
2025-09-23,10:00-10:10,0.0000000000,67909.0204559406,41796.3562262188
2025-09-23,12:00-12:10,478.1804680952,,
2025-09-23,14:00-14:10,0.0000000000,,
2025-09-23,16:00-16:10,515.3181926190,,
2025-09-23,18:00-18:10,767.8361192857,,
2025-09-23,20:00-20:10,0.0000000000,,
2025-12-21,10:00-10:10,0.0000000000,100803.8663121811,64919.9476733637
2025-12-21,12:00-12:10,999.6172657143,,
2025-12-21,14:00-14:10,0.0000000000,,
2025-12-21,16:00-16:10,860.3660092857,,
2025-12-21,18:00-18:10,732.3383566667,,
2025-12-21,20:00-20:10,0.0000000000,,
