date,time_period,charge_kwh,discharge_kwh,soc_0_kwh,soc_24_kwh
2025-03-20,0:00-4:00,4500.0000000000,0.0000000000,6000.0000000000,6000.0000000000
2025-03-20,4:00-8:00,833.3333333333,5067.8009114286,,
2025-03-20,8:00-12:00,5887.8620900000,3572.1990885714,,
2025-03-20,12:00-16:00,5359.3164925985,470.2146519048,,
2025-03-20,16:00-20:00,0.0000000000,5673.7953500000,,
2025-03-20,20:00-24:00,5333.3333333333,2966.2046500000,,
2025-06-21,0:00-4:00,0.0000000000,0.0000000000,6000.0000000000,6000.0000000000
2025-06-21,4:00-8:00,636.2841542975,2383.8156738095,,
2025-06-21,8:00-12:00,5308.1979950000,0.0000000000,,
2025-06-21,12:00-16:00,2331.8334973810,0.0000000000,,
2025-06-21,16:00-20:00,0.0000000000,5859.0004859524,,
2025-06-21,20:00-24:00,5333.3333333333,2780.9995140476,,
2025-09-23,0:00-4:00,4500.0000000000,0.0000000000,6000.0000000000,6000.0000000000
2025-09-23,4:00-8:00,833.3333333333,5772.3927580952,,
2025-09-23,8:00-12:00,5854.0149628571,2867.6072419048,,
2025-09-23,12:00-16:00,4997.4644380835,149.6983147619,,
2025-09-23,16:00-20:00,0.0000000000,5549.0557859524,,
2025-09-23,20:00-24:00,5333.3333333333,3090.9442140476,,
2025-12-21,0:00-4:00,4500.0000000000,0.0000000000,6000.0000000000,6000.0000000000
2025-12-21,4:00-8:00,1666.6666666667,1508.3333333333,,
2025-12-21,8:00-12:00,5833.3333333333,7806.6666666667,,
2025-12-21,12:00-16:00,8274.8367445620,2787.6177630952,,
2025-12-21,16:00-20:00,0.0000000000,5620.9004850000,,
2025-12-21,20:00-24:00,5333.3333333333,3019.0995150000,,
