date,event_no,start_slot,end_slot,time_period,emergency_kwh,emergency_cost_yuan
2025-03-20,1,2,2,0:20-0:30,17.2646666667,36.8514310000
2025-03-20,2,7,9,1:10-1:40,60.1057333333,128.8823538667
2025-03-20,3,18,23,3:00-4:00,96.4511316667,210.6042227400
2025-03-20,4,29,31,4:50-5:20,42.1021071429,92.1357524933
2025-03-20,5,35,35,5:50-6:00,8.2610000000,37.5834195000
2025-03-20,6,67,67,11:10-11:20,0.3324776190,0.8323577193
2025-03-20,7,91,97,15:10-16:20,208.4549430952,844.6811197809
2025-03-20,8,99,100,16:30-16:50,18.7130961905,85.1617676539
2025-03-20,9,102,103,17:00-17:20,8.7433661905,41.7283389805
2025-03-20,10,112,114,18:40-19:10,66.1010454762,442.2935329794
2025-03-20,11,120,121,20:00-20:20,28.2434800000,190.5202594458
2025-03-20,12,128,129,21:20-21:40,8.6754566667,40.7596330450
2025-03-20,13,141,142,23:30-23:50,38.0507783333,80.9032538900
2025-06-21,1,20,20,3:20-3:30,2.5005000000,5.4460890000
2025-06-21,2,36,36,6:00-6:10,2.9115728571,13.6378072629
2025-09-23,1,3,7,0:30-1:20,138.6701550000,297.3607244092
2025-09-23,2,10,10,1:40-1:50,10.4537183333,22.6479807692
2025-09-23,3,12,14,2:00-2:30,94.1755900000,203.3205788675
2025-09-23,4,22,23,3:40-4:00,27.2410933333,59.4568169667
2025-09-23,5,26,26,4:20-4:30,5.0203333333,10.9543673333
2025-09-23,6,29,31,4:50-5:20,66.4720580952,144.6636667621
2025-09-23,7,34,34,5:40-5:50,6.4526128571,18.4157570943
2025-09-23,8,37,38,6:10-6:30,26.4737652381,115.9335870550
2025-09-23,9,41,42,6:50-7:10,35.7841157143,147.0759575371
2025-09-23,10,57,58,9:30-9:50,21.8018883333,103.5038006333
2025-09-23,11,60,61,10:00-10:20,19.2267552381,93.8022384152
2025-09-23,12,64,65,10:40-11:00,43.6850735714,135.7448400190
2025-09-23,13,85,91,14:10-15:20,529.2954954762,2269.0854002358
2025-09-23,14,95,100,15:50-16:50,317.6813097619,1351.2008693369
2025-09-23,15,102,106,17:00-17:50,112.3664511905,547.7721898617
2025-09-23,16,109,112,18:10-18:50,166.4087397619,1045.2937740002
2025-09-23,17,114,116,19:00-19:30,56.2424652381,378.7190268971
2025-09-23,18,119,122,19:50-20:30,220.4791716667,1485.0099069267
2025-09-23,19,124,131,20:40-22:00,283.2379816667,1258.6023587933
2025-09-23,20,133,134,22:10-22:30,60.7178133333,127.8898784867
2025-09-23,21,139,141,23:10-23:40,61.7812016667,130.8550925333
2025-12-21,1,18,18,3:00-3:10,4.5898050000,10.0379035350
2025-12-21,2,21,22,3:30-3:50,44.9366800000,97.9236396575
2025-12-21,3,63,68,10:30-11:30,187.5625314286,514.7187050598
2025-12-21,4,92,92,15:20-15:30,1.2896666667,4.7124420000
2025-12-21,5,112,113,18:40-19:00,10.5707226190,70.5440277780
2025-12-21,6,118,119,19:40-20:00,46.2701466667,311.8834412700
