period,reference,candidate,block,daily_saving_mean,daily_saving_low95,daily_saving_high95,observed_total_saving,relative_saving
full334,ridge_h1_replan,fused,7,-439.0095325007,-887.1327052982,-26.0482767266,-146629.1838552202,-0.0107283567
full334,ridge_h1_replan,fused,14,-439.0095325007,-938.3516776079,12.6435116006,-146629.1838552202,-0.0107283567
full334,ridge_h1_replan,fused,28,-439.0095325007,-925.3325570050,5.9305033290,-146629.1838552202,-0.0107283567
full334,baseline,fused,7,20.7071276146,-19.7058113678,69.7338650314,6916.1806232777,0.0005004115
full334,baseline,fused,14,20.7071276146,-12.6742500149,63.4938110242,6916.1806232777,0.0005004115
full334,baseline,fused,28,20.7071276146,-7.4231808734,57.9546850826,6916.1806232777,0.0005004115
full334,user,fused,7,71.9815715428,-92.5834673129,252.5987075151,24041.8448952960,0.0017373645
full334,user,fused,14,71.9815715428,-91.8733864694,257.4328910230,24041.8448952960,0.0017373645
full334,user,fused,28,71.9815715428,-82.6478548133,252.2004051210,24041.8448952960,0.0017373645
development153,ridge_h1_replan,fused,7,-872.2370955382,-1704.1452796712,-102.3634204581,-133452.2756173413,-0.0207740904
development153,ridge_h1_replan,fused,14,-872.2370955382,-1782.6868294889,8.7945452927,-133452.2756173413,-0.0207740904
development153,ridge_h1_replan,fused,28,-872.2370955382,-1664.9103995705,-27.0202798740,-133452.2756173413,-0.0207740904
development153,baseline,fused,7,47.0463111475,-39.6052875679,153.1060518723,7198.0856055685,0.0010964957
development153,baseline,fused,14,47.0463111475,-24.3241093699,133.0002499949,7198.0856055685,0.0010964957
development153,baseline,fused,28,47.0463111475,-11.3883866882,120.9766150896,7198.0856055685,0.0010964957
development153,user,fused,7,248.5209758504,-62.1699153491,578.3433793568,38023.7093051176,0.0057651401
development153,user,fused,14,248.5209758504,-33.7066502432,572.8901571627,38023.7093051176,0.0057651401
development153,user,fused,28,248.5209758504,-1.8772570843,536.1883952460,38023.7093051176,0.0057651401
frozen61,ridge_h1_replan,fused,7,-448.0432661370,-1089.4693393158,-1.3061501825,-27330.6392343568,-0.0093228965
frozen61,ridge_h1_replan,fused,14,-448.0432661370,-1077.6195437084,-8.0956989044,-27330.6392343568,-0.0093228965
frozen61,ridge_h1_replan,fused,28,-448.0432661370,-894.4285745570,-19.6197847061,-27330.6392343568,-0.0093228965
frozen61,baseline,fused,7,-4.6213931523,-37.7155481651,26.6531457950,-281.9049822908,-0.0000952829
frozen61,baseline,fused,14,-4.6213931523,-44.7634844656,27.4537871382,-281.9049822908,-0.0000952829
frozen61,baseline,fused,28,-4.6213931523,-39.3059803864,27.7235744556,-281.9049822908,-0.0000952829
frozen61,user,fused,7,-229.2108919643,-612.4631968546,126.4816553670,-13981.8644098217,-0.0047478075
frozen61,user,fused,14,-229.2108919643,-662.7045736707,150.4917427348,-13981.8644098217,-0.0047478075
frozen61,user,fused,28,-229.2108919643,-522.9238347822,44.5463662368,-13981.8644098217,-0.0047478075
