stage,fit_start,fit_end,score,alpha,rho,window,smooth,features,k,blend,near_reference_score,near_delta_daily_mean,near_ci_low90,near_ci_high90,near_indistinguishable,month
coarse,2025-04-05,2025-05-16,1477709.8698243645,0.5000000000,0.5000000000,14,3,none,21,0.0000000000,1357980.8598911795,2850.6907126949,1264.0891199765,4253.6022290454,False,6
coarse,2025-04-05,2025-05-16,1489983.1997383453,0.5000000000,0.5000000000,21,3,none,21,0.0000000000,1357980.8598911795,3142.9128535039,1453.9831303332,4661.7594732350,False,6
coarse,2025-04-05,2025-05-16,1492120.7593295106,0.5000000000,0.5000000000,28,3,none,21,0.0000000000,1357980.8598911795,3193.8071294841,1501.2196276728,4676.6765142519,False,6
coarse,2025-04-05,2025-05-16,1500569.6134648218,0.5000000000,0.5000000000,42,3,none,21,0.0000000000,1357980.8598911795,3394.9703231820,1695.4121110468,4902.6803787765,False,6
coarse,2025-04-05,2025-05-16,1497384.6211599468,0.5000000000,0.5000000000,56,3,none,21,0.0000000000,1357980.8598911795,3319.1371730659,1683.8151759292,4781.7742801950,False,6
coarse,2025-04-05,2025-05-16,1433292.8888280189,0.5500000000,0.5000000000,14,3,none,21,0.0000000000,1357980.8598911795,1793.1435461152,558.9456371548,2964.7704975745,False,6
coarse,2025-04-05,2025-05-16,1440548.3655694940,0.5500000000,0.5000000000,21,3,none,21,0.0000000000,1357980.8598911795,1965.8929923408,636.9726973620,3166.6439051105,False,6
coarse,2025-04-05,2025-05-16,1442629.3461538400,0.5500000000,0.5000000000,28,3,none,21,0.0000000000,1357980.8598911795,2015.4401491110,642.4098404676,3264.7033622912,False,6
coarse,2025-04-05,2025-05-16,1444980.3203139352,0.5500000000,0.5000000000,42,3,none,21,0.0000000000,1357980.8598911795,2071.4157243513,670.8774033420,3343.6599094910,False,6
coarse,2025-04-05,2025-05-16,1443340.6600484012,0.5500000000,0.5000000000,56,3,none,21,0.0000000000,1357980.8598911795,2032.3761942196,674.9761107635,3284.1463850063,False,6
coarse,2025-04-05,2025-05-16,1402647.1782446688,0.6000000000,0.5000000000,14,3,none,21,0.0000000000,1357980.8598911795,1063.4837703212,217.5993391796,1919.2990107554,False,6
coarse,2025-04-05,2025-05-16,1401330.7149819760,0.6000000000,0.5000000000,21,3,none,21,0.0000000000,1357980.8598911795,1032.1394069237,105.5901444479,1930.7026959583,False,6
coarse,2025-04-05,2025-05-16,1403138.1122154330,0.6000000000,0.5000000000,28,3,none,21,0.0000000000,1357980.8598911795,1075.1726743870,128.1699435417,1962.5328360516,False,6
coarse,2025-04-05,2025-05-16,1406529.1249262856,0.6000000000,0.5000000000,42,3,none,21,0.0000000000,1357980.8598911795,1155.9110722644,144.8797983316,2094.2104270706,False,6
coarse,2025-04-05,2025-05-16,1408158.8552336709,0.6000000000,0.5000000000,56,3,none,21,0.0000000000,1357980.8598911795,1194.7141748212,168.7371445833,2152.9902287454,False,6
coarse,2025-04-05,2025-05-16,1382617.0591101346,0.6500000000,0.5000000000,14,3,none,21,0.0000000000,1357980.8598911795,586.5761718799,11.4472074333,1172.8782390680,False,6
coarse,2025-04-05,2025-05-16,1380537.1427879527,0.6500000000,0.5000000000,21,3,none,21,0.0000000000,1357980.8598911795,537.0543546851,-46.1986323672,1104.0855326376,True,6
coarse,2025-04-05,2025-05-16,1377302.4790524498,0.6500000000,0.5000000000,28,3,none,21,0.0000000000,1357980.8598911795,460.0385514588,-149.7947190159,1041.2015532809,True,6
coarse,2025-04-05,2025-05-16,1382025.2895139875,0.6500000000,0.5000000000,42,3,none,21,0.0000000000,1357980.8598911795,572.4864195907,-124.0667743064,1231.6332462813,True,6
coarse,2025-04-05,2025-05-16,1380185.0357242902,0.6500000000,0.5000000000,56,3,none,21,0.0000000000,1357980.8598911795,528.6708531693,-186.4087135821,1200.5783448899,True,6
coarse,2025-04-05,2025-05-16,1371047.9944049760,0.7000000000,0.5000000000,14,3,none,21,0.0000000000,1357980.8598911795,311.1222503285,-56.8313204544,699.8055319492,True,6
coarse,2025-04-05,2025-05-16,1368155.3156554073,0.7000000000,0.5000000000,21,3,none,21,0.0000000000,1357980.8598911795,242.2489467673,-34.5335926340,505.4218199638,True,6
coarse,2025-04-05,2025-05-16,1365723.4692146080,0.7000000000,0.5000000000,28,3,none,21,0.0000000000,1357980.8598911795,184.3478410340,-109.1032124338,470.6420440875,True,6
coarse,2025-04-05,2025-05-16,1370164.0674275565,0.7000000000,0.5000000000,42,3,none,21,0.0000000000,1357980.8598911795,290.0763699137,-107.5698339847,680.5834077244,True,6
coarse,2025-04-05,2025-05-16,1369614.6174175430,0.7000000000,0.5000000000,56,3,none,21,0.0000000000,1357980.8598911795,276.9942268182,-149.3709280511,689.8320365617,True,6
coarse,2025-04-05,2025-05-16,1363279.1126110747,0.7500000000,0.5000000000,14,3,none,21,0.0000000000,1357980.8598911795,126.1488742832,-170.7383549767,395.3002793804,True,6
coarse,2025-04-05,2025-05-16,1359804.0328100540,0.7500000000,0.5000000000,21,3,none,21,0.0000000000,1357980.8598911795,43.4088790208,-54.5688085055,134.9941586119,True,6
coarse,2025-04-05,2025-05-16,1357980.8598911795,0.7500000000,0.5000000000,28,3,none,21,0.0000000000,1357980.8598911795,0.0000000000,0.0000000000,0.0000000000,True,6
coarse,2025-04-05,2025-05-16,1361448.2272386220,0.7500000000,0.5000000000,42,3,none,21,0.0000000000,1357980.8598911795,82.5563654153,-32.6172933360,197.7027541318,True,6
coarse,2025-04-05,2025-05-16,1361901.0751697777,0.7500000000,0.5000000000,56,3,none,21,0.0000000000,1357980.8598911795,93.3384590142,-53.2092350732,241.5728319070,True,6
coarse,2025-04-05,2025-05-16,1365042.9846041116,0.8000000000,0.5000000000,14,3,none,21,0.0000000000,1357980.8598911795,168.1458264984,-272.0051538862,620.9829704035,True,6
coarse,2025-04-05,2025-05-16,1361186.4882597548,0.8000000000,0.5000000000,21,3,none,21,0.0000000000,1357980.8598911795,76.3244849661,-278.7452858187,432.9292505393,True,6
coarse,2025-04-05,2025-05-16,1359190.6232765317,0.8000000000,0.5000000000,28,3,none,21,0.0000000000,1357980.8598911795,28.8038901274,-250.6522448990,304.1551026440,True,6
