strategy,period,inventory_valuation,inventory_value_rate,raw_total_cost,initial_soc,terminal_soc,terminal_delta,adjusted_cost
baseline,full334,zero,0.0000000000,13820986.5765312836,6000.0000000000,6123.3024512321,123.3024512321,13820986.5765312836
baseline,full334,replacement,0.4125555556,13820986.5765312836,6000.0000000000,6123.3024512321,123.3024512321,13820935.7074200138
baseline,full334,avoidance_upper,1.2556800000,13820986.5765312836,6000.0000000000,6123.3024512321,123.3024512321,13820831.7481093202
baseline,development153,zero,0.0000000000,6564627.1959157865,6989.8600690943,6963.1756944763,-26.6843746180,6564627.1959157865
baseline,development153,replacement,0.4125555556,6564627.1959157865,6989.8600690943,6963.1756944763,-26.6843746180,6564638.2047027815
baseline,development153,avoidance_upper,1.2556800000,6564627.1959157865,6989.8600690943,6963.1756944763,-26.6843746180,6564660.7029513065
baseline,frozen61,zero,0.0000000000,2958609.6595924129,6963.1756944763,6123.3024512321,-839.8732432442,2958609.6595924129
baseline,frozen61,replacement,0.4125555556,2958609.6595924129,6963.1756944763,6123.3024512321,-839.8732432442,2958956.1539648757
baseline,frozen61,avoidance_upper,1.2556800000,2958609.6595924129,6963.1756944763,6123.3024512321,-839.8732432442,2959664.2716264897
user,full334,zero,0.0000000000,13838112.2408033013,6000.0000000000,6160.2284596428,160.2284596428,13838112.2408033013
user,full334,replacement,0.4125555556,13838112.2408033013,6000.0000000000,6160.2284596428,160.2284596428,13838046.1376621183
user,full334,avoidance_upper,1.2556800000,13838112.2408033013,6000.0000000000,6160.2284596428,160.2284596428,13837911.0451310966
user,development153,zero,0.0000000000,6595452.8196153361,6989.8600690943,6894.5131517304,-95.3469173639,6595452.8196153361
user,development153,replacement,0.4125555556,6595452.8196153361,6989.8600690943,6894.5131517304,-95.3469173639,6595492.1555157993
user,development153,avoidance_upper,1.2556800000,6595452.8196153361,6989.8600690943,6894.5131517304,-95.3469173639,6595572.5448325314
user,frozen61,zero,0.0000000000,2944909.7001648815,6894.5131517304,6160.2284596428,-734.2846920876,2944909.7001648815
user,frozen61,replacement,0.4125555556,2944909.7001648815,6894.5131517304,6160.2284596428,-734.2846920876,2945212.6333939615
user,frozen61,avoidance_upper,1.2556800000,2944909.7001648815,6894.5131517304,6160.2284596428,-734.2846920876,2945831.7267670422
fused,full334,zero,0.0000000000,13814070.3959080074,6000.0000000000,6146.5156612315,146.5156612315,13814070.3959080074
fused,full334,replacement,0.4125555556,13814070.3959080074,6000.0000000000,6146.5156612315,146.5156612315,13814009.9500579908
fused,full334,avoidance_upper,1.2556800000,13814070.3959080074,6000.0000000000,6146.5156612315,146.5156612315,13813886.4191225115
fused,development153,zero,0.0000000000,6557429.1103102192,6989.8600690943,6980.8079245870,-9.0521445073,6557429.1103102192
fused,development153,replacement,0.4125555556,6557429.1103102192,6989.8600690943,6980.8079245870,-9.0521445073,6557432.8448227253
fused,development153,avoidance_upper,1.2556800000,6557429.1103102192,6989.8600690943,6980.8079245870,-9.0521445073,6557440.4769070344
fused,frozen61,zero,0.0000000000,2958891.5645747040,6980.8079245870,6146.5156612315,-834.2922633555,2958891.5645747040
fused,frozen61,replacement,0.4125555556,2958891.5645747040,6980.8079245870,6146.5156612315,-834.2922633555,2959235.7564829085
fused,frozen61,avoidance_upper,1.2556800000,2958891.5645747040,6980.8079245870,6146.5156612315,-834.2922633555,2959939.1686839540
no_conditional,full334,zero,0.0000000000,13820986.5765312836,6000.0000000000,6123.3024512321,123.3024512321,13820986.5765312836
no_conditional,full334,replacement,0.4125555556,13820986.5765312836,6000.0000000000,6123.3024512321,123.3024512321,13820935.7074200138
no_conditional,full334,avoidance_upper,1.2556800000,13820986.5765312836,6000.0000000000,6123.3024512321,123.3024512321,13820831.7481093202
no_conditional,development153,zero,0.0000000000,6564627.1959157865,6989.8600690943,6963.1756944763,-26.6843746180,6564627.1959157865
no_conditional,development153,replacement,0.4125555556,6564627.1959157865,6989.8600690943,6963.1756944763,-26.6843746180,6564638.2047027815
no_conditional,development153,avoidance_upper,1.2556800000,6564627.1959157865,6989.8600690943,6963.1756944763,-26.6843746180,6564660.7029513065
no_conditional,frozen61,zero,0.0000000000,2958609.6595924129,6963.1756944763,6123.3024512321,-839.8732432442,2958609.6595924129
no_conditional,frozen61,replacement,0.4125555556,2958609.6595924129,6963.1756944763,6123.3024512321,-839.8732432442,2958956.1539648757
no_conditional,frozen61,avoidance_upper,1.2556800000,2958609.6595924129,6963.1756944763,6123.3024512321,-839.8732432442,2959664.2716264897
search_only,full334,zero,0.0000000000,13835230.9184754025,6000.0000000000,6143.6770921394,143.6770921394,13835230.9184754025
search_only,full334,replacement,0.4125555556,13835230.9184754025,6000.0000000000,6143.6770921394,143.6770921394,13835171.6436928343
search_only,full334,avoidance_upper,1.2556800000,13835230.9184754025,6000.0000000000,6143.6770921394,143.6770921394,13835050.5060243458
search_only,development153,zero,0.0000000000,6586630.9388432112,6989.8600690943,6911.1007162062,-78.7593528881,6586630.9388432112
search_only,development153,replacement,0.4125555556,6586630.9388432112,6989.8600690943,6911.1007162062,-78.7593528881,6586663.4314517975
search_only,development153,avoidance_upper,1.2556800000,6586630.9388432112,6989.8600690943,6911.1007162062,-78.7593528881,6586729.8353874460
search_only,frozen61,zero,0.0000000000,2950850.2586091054,6911.1007162062,6143.6770921394,-767.4236240668,2950850.2586091054
search_only,frozen61,replacement,0.4125555556,2950850.2586091054,6911.1007162062,6143.6770921394,-767.4236240668,2951166.8634886788
search_only,frozen61,avoidance_upper,1.2556800000,2950850.2586091054,6911.1007162062,6143.6770921394,-767.4236240668,2951813.8971053734
loose_gate,full334,zero,0.0000000000,13814070.3959080074,6000.0000000000,6146.5156612315,146.5156612315,13814070.3959080074
loose_gate,full334,replacement,0.4125555556,13814070.3959080074,6000.0000000000,6146.5156612315,146.5156612315,13814009.9500579908
loose_gate,full334,avoidance_upper,1.2556800000,13814070.3959080074,6000.0000000000,6146.5156612315,146.5156612315,13813886.4191225115
loose_gate,development153,zero,0.0000000000,6557429.1103102192,6989.8600690943,6980.8079245870,-9.0521445073,6557429.1103102192
loose_gate,development153,replacement,0.4125555556,6557429.1103102192,6989.8600690943,6980.8079245870,-9.0521445073,6557432.8448227253
loose_gate,development153,avoidance_upper,1.2556800000,6557429.1103102192,6989.8600690943,6980.8079245870,-9.0521445073,6557440.4769070344
loose_gate,frozen61,zero,0.0000000000,2958891.5645747040,6980.8079245870,6146.5156612315,-834.2922633555,2958891.5645747040
loose_gate,frozen61,replacement,0.4125555556,2958891.5645747040,6980.8079245870,6146.5156612315,-834.2922633555,2959235.7564829085
loose_gate,frozen61,avoidance_upper,1.2556800000,2958891.5645747040,6980.8079245870,6146.5156612315,-834.2922633555,2959939.1686839540
strict_gate,full334,zero,0.0000000000,13820986.5765312836,6000.0000000000,6123.3024512321,123.3024512321,13820986.5765312836
strict_gate,full334,replacement,0.4125555556,13820986.5765312836,6000.0000000000,6123.3024512321,123.3024512321,13820935.7074200138
strict_gate,full334,avoidance_upper,1.2556800000,13820986.5765312836,6000.0000000000,6123.3024512321,123.3024512321,13820831.7481093202
strict_gate,development153,zero,0.0000000000,6564627.1959157865,6989.8600690943,6963.1756944763,-26.6843746180,6564627.1959157865
strict_gate,development153,replacement,0.4125555556,6564627.1959157865,6989.8600690943,6963.1756944763,-26.6843746180,6564638.2047027815
strict_gate,development153,avoidance_upper,1.2556800000,6564627.1959157865,6989.8600690943,6963.1756944763,-26.6843746180,6564660.7029513065
strict_gate,frozen61,zero,0.0000000000,2958609.6595924129,6963.1756944763,6123.3024512321,-839.8732432442,2958609.6595924129
strict_gate,frozen61,replacement,0.4125555556,2958609.6595924129,6963.1756944763,6123.3024512321,-839.8732432442,2958956.1539648757
strict_gate,frozen61,avoidance_upper,1.2556800000,2958609.6595924129,6963.1756944763,6123.3024512321,-839.8732432442,2959664.2716264897
