strategy,month,planned_cost,emergency_cost,total_cost,emergency_kwh,spill_kwh
baseline,2025-02,1190231.3692777830,9614.1093841856,1199845.4786619684,1763.5696664981,136745.9025245880
baseline,2025-03,1096396.4943310276,48794.3259007273,1145190.8202317550,7711.3121492388,211115.6845064767
baseline,2025-04,916085.9927832331,48340.4883708169,964426.4811540502,7770.9191350107,261278.6529965857
baseline,2025-05,942691.3894085295,45595.5515667825,988286.9409753118,7199.2509676482,301084.1260857343
baseline,2025-06,1277746.9159167472,154361.2712166935,1432108.1871334405,26266.4699296045,233412.2094846580
baseline,2025-07,1448680.9436420326,92209.9409161542,1540890.8845581869,15282.0240354283,270321.4213933213
baseline,2025-08,1236986.9985176784,47362.5846035840,1284349.5831212625,7356.2972203469,293964.9426379467
baseline,2025-09,1088096.7464012604,85858.5423209518,1173955.2887222122,13620.1714040272,285570.3392445994
baseline,2025-10,1117527.7648530167,15795.4875276675,1133323.2523806845,2653.5621360061,258245.3370968190
baseline,2025-11,1250777.2801549442,7602.2434220242,1258379.5235769686,1336.6396877331,134098.2172070625
baseline,2025-12,1651947.4140642723,48282.7219511721,1700230.1360154441,9285.8700091024,157178.3024811815
fused,2025-02,1190231.3692777830,9614.1093841856,1199845.4786619684,1763.5696664981,136745.9025245880
fused,2025-03,1096396.4943310276,48794.3259007273,1145190.8202317550,7711.3121492388,211115.6845064767
fused,2025-04,916085.9927832331,48340.4883708169,964426.4811540502,7770.9191350107,261278.6529965857
fused,2025-05,942691.3894085295,45595.5515667825,988286.9409753118,7199.2509676482,301084.1260857343
fused,2025-06,1277746.9159167472,154361.2712166935,1432108.1871334405,26266.4699296045,233412.2094846580
fused,2025-07,1453125.0659966532,81510.0205099362,1534635.0865065898,13473.3759378554,273755.9017446738
fused,2025-08,1240997.9474890402,42537.7681710858,1283535.7156601259,6590.2814531783,298756.2442145139
fused,2025-09,1085976.0210954878,89471.5443490577,1175447.5654445456,14232.0180024417,282855.2632049410
fused,2025-10,1121222.2266069138,10480.3289586023,1131702.5555655160,1785.9839041942,262450.8342021245
fused,2025-11,1252092.7194175250,7306.6766552688,1259399.3960727940,1276.1856507211,135322.1816083410
fused,2025-12,1652261.3056878801,47230.8628140294,1699492.1685019094,9100.4647640532,156546.3934345384
loose_gate,2025-02,1190231.3692777830,9614.1093841856,1199845.4786619684,1763.5696664981,136745.9025245880
loose_gate,2025-03,1096396.4943310276,48794.3259007273,1145190.8202317550,7711.3121492388,211115.6845064767
loose_gate,2025-04,916085.9927832331,48340.4883708169,964426.4811540502,7770.9191350107,261278.6529965857
loose_gate,2025-05,942691.3894085295,45595.5515667825,988286.9409753118,7199.2509676482,301084.1260857343
loose_gate,2025-06,1277746.9159167472,154361.2712166935,1432108.1871334405,26266.4699296045,233412.2094846580
loose_gate,2025-07,1453125.0659966532,81510.0205099362,1534635.0865065898,13473.3759378554,273755.9017446738
loose_gate,2025-08,1240997.9474890402,42537.7681710858,1283535.7156601259,6590.2814531783,298756.2442145139
loose_gate,2025-09,1085976.0210954878,89471.5443490577,1175447.5654445456,14232.0180024417,282855.2632049410
loose_gate,2025-10,1121222.2266069138,10480.3289586023,1131702.5555655160,1785.9839041942,262450.8342021245
loose_gate,2025-11,1252092.7194175250,7306.6766552688,1259399.3960727940,1276.1856507211,135322.1816083410
loose_gate,2025-12,1652261.3056878801,47230.8628140294,1699492.1685019094,9100.4647640532,156546.3934345384
no_conditional,2025-02,1190231.3692777830,9614.1093841856,1199845.4786619684,1763.5696664981,136745.9025245880
no_conditional,2025-03,1096396.4943310276,48794.3259007273,1145190.8202317550,7711.3121492388,211115.6845064767
no_conditional,2025-04,916085.9927832331,48340.4883708169,964426.4811540502,7770.9191350107,261278.6529965857
no_conditional,2025-05,942691.3894085295,45595.5515667825,988286.9409753118,7199.2509676482,301084.1260857343
no_conditional,2025-06,1277746.9159167472,154361.2712166935,1432108.1871334405,26266.4699296045,233412.2094846580
no_conditional,2025-07,1448680.9436420326,92209.9409161542,1540890.8845581869,15282.0240354283,270321.4213933213
no_conditional,2025-08,1236986.9985176784,47362.5846035840,1284349.5831212625,7356.2972203469,293964.9426379467
no_conditional,2025-09,1088096.7464012604,85858.5423209518,1173955.2887222122,13620.1714040272,285570.3392445994
no_conditional,2025-10,1117527.7648530167,15795.4875276675,1133323.2523806845,2653.5621360061,258245.3370968190
no_conditional,2025-11,1250777.2801549442,7602.2434220242,1258379.5235769686,1336.6396877331,134098.2172070625
no_conditional,2025-12,1651947.4140642723,48282.7219511721,1700230.1360154441,9285.8700091024,157178.3024811815
ridge_h1_replan,2025-02,1202944.4963719931,1861.3235419761,1204805.8199139691,392.6573555333,155892.5458692454
ridge_h1_replan,2025-03,1106035.0585525560,28206.8876050767,1134241.9461576324,4371.7977190976,222897.5923478507
ridge_h1_replan,2025-04,915579.8287748270,63846.6650863841,979426.4938612109,10109.3179084046,263515.4748653832
ridge_h1_replan,2025-05,959892.4365671414,33536.7555196090,993429.1920867508,5278.5688234209,338354.6706495478
ridge_h1_replan,2025-06,1299661.3188919229,100330.5795706406,1399991.8984625633,16303.0035824758,259363.4053012128
ridge_h1_replan,2025-07,1472506.4623440269,22062.1846480269,1494568.6469920536,3471.2275730108,294559.2878712415
ridge_h1_replan,2025-08,1281115.9914552006,14875.9708358647,1295991.9622910656,2407.8248038884,362850.7422181574
ridge_h1_replan,2025-09,1071885.2497892112,40718.6754692929,1112603.9252585040,6306.9397910066,261962.0780205100
ridge_h1_replan,2025-10,1092691.9872584350,28128.4144302549,1120820.4016886903,4555.2815269275,232766.0691593002
ridge_h1_replan,2025-11,1255764.5330110996,1333.8416087628,1257098.3746198623,278.8640362108,141652.5104769896
ridge_h1_replan,2025-12,1652679.5941788252,21782.9565416593,1674462.5507204845,4376.2131515616,150268.3691776094
search_only,2025-02,1190231.3692777830,9614.1093841856,1199845.4786619684,1763.5696664981,136745.9025245880
search_only,2025-03,1096396.4943310276,48794.3259007273,1145190.8202317550,7711.3121492388,211115.6845064767
search_only,2025-04,916085.9927832331,48340.4883708169,964426.4811540502,7770.9191350107,261278.6529965857
search_only,2025-05,942691.3894085295,45595.5515667825,988286.9409753118,7199.2509676482,301084.1260857343
search_only,2025-06,1279166.2311374561,161802.0451398702,1440968.2762773265,27072.2569284440,238059.2879573911
search_only,2025-07,1453341.7037568060,81430.8413477366,1534772.5451045430,13459.8213436245,273755.9017446738
search_only,2025-08,1239329.2414770885,42370.0143929157,1281699.2558700040,6584.7548761231,295675.5460013548
search_only,2025-09,1088889.8607358097,112266.1400827110,1201156.0008185206,18113.8726207999,290087.7118362002
search_only,2025-10,1108727.9295414777,19306.9312313400,1128034.8607728174,3239.5446759488,247086.5205678935
search_only,2025-11,1246959.6392622455,9097.3885768845,1256057.0278391300,1592.1473441603,129344.0521262875
search_only,2025-12,1646462.4653717331,48330.7653982425,1694793.2307699753,9299.0511942985,148481.8625792017
strict_gate,2025-02,1190231.3692777830,9614.1093841856,1199845.4786619684,1763.5696664981,136745.9025245880
strict_gate,2025-03,1096396.4943310276,48794.3259007273,1145190.8202317550,7711.3121492388,211115.6845064767
strict_gate,2025-04,916085.9927832331,48340.4883708169,964426.4811540502,7770.9191350107,261278.6529965857
strict_gate,2025-05,942691.3894085295,45595.5515667825,988286.9409753118,7199.2509676482,301084.1260857343
strict_gate,2025-06,1277746.9159167472,154361.2712166935,1432108.1871334405,26266.4699296045,233412.2094846580
strict_gate,2025-07,1448680.9436420326,92209.9409161542,1540890.8845581869,15282.0240354283,270321.4213933213
strict_gate,2025-08,1236986.9985176784,47362.5846035840,1284349.5831212625,7356.2972203469,293964.9426379467
strict_gate,2025-09,1088096.7464012604,85858.5423209518,1173955.2887222122,13620.1714040272,285570.3392445994
strict_gate,2025-10,1117527.7648530167,15795.4875276675,1133323.2523806845,2653.5621360061,258245.3370968190
strict_gate,2025-11,1250777.2801549442,7602.2434220242,1258379.5235769686,1336.6396877331,134098.2172070625
strict_gate,2025-12,1651947.4140642723,48282.7219511721,1700230.1360154441,9285.8700091024,157178.3024811815
user,2025-02,1190231.3692777830,9614.1093841856,1199845.4786619684,1763.5696664981,136745.9025245880
user,2025-03,1096396.4943310276,48794.3259007273,1145190.8202317550,7711.3121492388,211115.6845064767
