date,balance_max_abs,soc_equation_max_abs,soc_min,soc_max,charge_max,discharge_max,negative_min,simultaneous_max,pass,lp_eq_residual,lp_dual_gap_relative,lp_stationarity
2025-02-01,0.0000000000,0.0000000000,2007.6775621987,10800.0000000000,833.3333333333,552.0416666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-02,0.0000000000,0.0000000000,1663.7745218116,10800.0000000000,833.3333333333,819.4034552381,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-03,0.0000000000,0.0000000000,1599.4599472369,10800.0000000000,833.3333333333,738.1150000000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-04,0.0000000000,0.0000000000,1723.5441268959,10800.0000000000,833.3333333333,780.6157833333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-05,0.0000000000,0.0000000000,1618.1627846267,10800.0000000000,833.3333333333,819.7361534392,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-06,0.0000000000,0.0000000000,1660.0826456202,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-07,0.0000000000,0.0000000000,1566.8418827454,10800.0000000000,833.3333333333,536.0374500000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-08,0.0000000000,0.0000000000,1560.7489934195,10800.0000000000,833.3333333333,519.1618833333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-09,0.0000000000,0.0000000000,1500.9015751255,10800.0000000000,833.3333333333,807.8812940476,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-10,0.0000000000,0.0000000000,1469.1657883010,10800.0000000000,833.3333333333,788.4665819048,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-11,0.0000000000,0.0000000000,1305.6064963895,10800.0000000000,833.3333333333,813.3278123810,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-12,0.0000000000,0.0000000000,1421.8658720062,10800.0000000000,833.3333333333,817.6442918519,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-13,0.0000000000,0.0000000000,1398.3984996179,10800.0000000000,833.3333333333,792.8046666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-14,0.0000000000,0.0000000000,1403.7218139330,10800.0000000000,833.3333333333,559.7672500000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-15,0.0000000000,0.0000000000,1241.8168164430,10800.0000000000,833.3333333333,547.3166666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-16,0.0000000000,0.0000000000,1236.8228919459,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-17,0.0000000000,0.0000000000,1233.6123986772,10800.0000000000,833.3333333333,821.2258333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-18,0.0000000000,0.0000000000,1331.4046624339,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-19,0.0000000000,0.0000000000,1234.8793079365,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-20,0.0000000000,0.0000000000,1473.1969103545,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-21,0.0000000000,0.0000000000,1568.9953476190,10800.0000000000,833.3333333333,535.0380000000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-22,0.0000000000,0.0000000000,1339.8063226270,10800.0000000000,833.3333333333,530.3050000000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-23,0.0000000000,0.0000000000,1280.1949265159,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-24,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-25,0.0000000000,0.0000000000,1363.4964828042,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-26,0.0000000000,0.0000000000,1252.7270814418,10800.0000000000,833.3333333333,827.2818452381,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-27,0.0000000000,0.0000000000,1271.2540116402,10800.0000000000,833.3333333333,827.1176547619,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-02-28,0.0000000000,0.0000000000,1545.7942793651,10800.0000000000,833.3333333333,520.9738000000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-01,0.0000000000,0.0000000000,1509.8851089180,10800.0000000000,833.3333333333,478.9468333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-02,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000,833.3333333333,769.4118197619,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-03,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000,833.3333333333,795.5520833333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-04,0.0000000000,0.0000000000,1398.4022785714,10800.0000000000,833.3333333333,799.4484485714,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-05,0.0000000000,0.0000000000,1310.8680185185,10800.0000000000,833.3333333333,819.6916666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-06,0.0000000000,0.0000000000,1447.8931563492,10800.0000000000,833.3333333333,765.1950000000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-07,0.0000000000,0.0000000000,1705.2797433862,10800.0000000000,833.3333333333,463.2970666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-08,0.0000000000,0.0000000000,1683.7980611111,10800.0000000000,833.3333333333,464.6276666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-09,0.0000000000,0.0000000000,1361.7731920423,10800.0000000000,833.3333333333,774.8166666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-10,0.0000000000,0.0000000000,1310.8575798942,10800.0000000000,833.3333333333,808.7938638095,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-11,0.0000000000,0.0000000000,1461.9268894153,10800.0000000000,833.3333333333,778.8940990476,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-12,0.0000000000,0.0000000000,1318.8581554815,10800.0000000000,833.3333333333,795.5516666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-13,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000,833.3333333333,829.3766666667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-14,0.0000000000,0.0000000000,1472.4260980608,10800.0000000000,833.3333333333,496.7150000000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-15,0.0000000000,0.0000000000,1426.5124915344,10800.0000000000,833.3333333333,508.6490333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-16,0.0000000000,0.0000000000,1692.2545505291,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-17,0.0000000000,0.0000000000,1422.4901193122,10800.0000000000,833.3333333333,792.1298500000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-03-18,0.0000000000,0.0000000000,1351.3356044974,10800.0000000000,833.3333333333,801.5304166667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
