date,day,initial_soc,terminal_soc,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_day,events,adjusted_cost,inventory_value_rate,reference_terminal_target,alpha,rho,window,smooth,features,k,blend,solve_seconds
2025-02-01,31,6000.0000000000,7214.4865603918,24452.6015580966,24452.6015580966,0.0000000000,46999.4115949497,0.0000000000,7813.3905457839,19551.6169025256,14743.7717866931,0,0,0,23951.5583804594,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0535622150
2025-02-02,32,7214.4865603918,7022.7766738592,57703.5032067106,57703.5032067106,0.0000000000,91012.0292841685,0.0000000000,8746.7813286096,21481.6258075694,17572.6558020106,0,0,0,57782.5941854546,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0496391330
2025-02-03,33,7022.7766738592,6872.2912352845,56953.1657309665,56953.1657309665,0.0000000000,90069.3003349866,0.0000000000,5821.2586472418,21929.2741182210,17898.1489304762,0,0,0,57015.2493346807,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0527042640
2025-02-04,34,6872.2912352845,6957.2340939106,56886.1063124682,56886.1063124682,0.0000000000,90102.2815439643,0.0000000000,4325.8637104919,23711.0805826788,19129.5266992063,0,0,0,56851.0626642372,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0523965960
2025-02-05,35,6957.2340939106,6866.2154484124,56686.0788960030,56686.0788960030,0.0000000000,89648.1336580436,0.0000000000,4596.8164637387,23077.9315364214,18775.0413254497,0,0,0,56723.6291438624,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0518052100
2025-02-06,36,6866.2154484124,6788.4495646379,57125.7264495324,57023.4696564897,102.2567930427,90030.1421583003,17.5137554762,5609.1727049932,22302.1857237569,18134.7597316402,2,1,1,57157.8091969163,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0491841220
2025-02-07,37,6788.4495646379,6669.6347185312,22729.4315955641,22729.4315955641,0.0000000000,43885.4233615465,0.0000000000,8641.5705218682,18658.4554447776,15220.2822717659,0,0,0,22778.4493204079,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0522097920
2025-02-08,38,6669.6347185312,6854.6563685623,21818.9415509407,21818.9415509407,0.0000000000,42165.9169922137,0.0000000000,6869.4125097844,18699.0646354452,14979.7228696825,0,0,0,21742.6098413223,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0513143690
2025-02-09,39,6854.6563685623,6481.9365063636,54814.3034737438,54814.3034737438,0.0000000000,86947.2665642060,0.0000000000,3402.4007437893,22762.6196301522,18773.1697764021,0,0,0,54968.0711235598,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0538738630
2025-02-10,40,6481.9365063636,6384.9436700109,55202.9705423024,55202.9705423024,0.0000000000,87727.8811464246,0.0000000000,9678.8785964142,20050.8343126030,16328.4693459259,0,0,0,55242.9854757888,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0524649800
2025-02-11,41,6384.9436700109,6294.8169222413,54252.9462668890,54252.9462668890,0.0000000000,86558.1937877030,0.0000000000,7303.8153886044,21657.3438881991,17623.5626224339,0,0,0,54290.1285573854,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0531403540
2025-02-12,42,6294.8169222413,6356.9086046543,53518.5097764558,53518.5097764558,0.0000000000,85543.2336318342,0.0000000000,6049.9786132553,21950.7177424943,17724.1988572487,0,0,0,53492.8935079225,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0528065680
2025-02-13,43,6356.9086046543,6412.3787288380,53087.8383582052,53087.8383582052,0.0000000000,84765.8376646175,0.0000000000,9632.9274883389,19755.3055149824,15951.8743553704,0,0,0,53064.9538503058,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0523508250
2025-02-14,44,6412.3787288380,6338.8992441141,19393.0624928311,19393.0624928311,0.0000000000,37342.8420171879,0.0000000000,4136.5102812202,18266.6392397508,14862.1093204497,0,0,0,19423.3768624733,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0480612870
2025-02-15,45,6338.8992441141,5991.5054057022,18834.7213520593,18834.7213520593,0.0000000000,36276.2313693912,0.0000000000,3909.8199398618,17889.3409689473,14803.0206394180,0,0,0,18978.0406100618,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0474020550
2025-02-16,46,5991.5054057022,6115.6037423533,50498.6693144209,50432.0225384390,66.6467759819,81368.9524773414,14.5931752381,1473.5907350366,23267.8279713525,18735.2521538095,2,1,1,50447.4718562003,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0516254640
2025-02-17,47,6115.6037423533,6096.6325239550,50152.5221971194,50152.5221971194,0.0000000000,80990.1174150950,0.0000000000,5931.9547778418,20480.9135112894,16606.6140407029,0,0,0,50160.3488786653,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0504865430
2025-02-18,48,6096.6325239550,6328.8145039339,49627.8591256358,49598.7681061358,29.0910195000,80260.4345497209,6.3943333333,3831.6712822771,21762.1370287517,17418.3672113079,1,1,1,49532.0711598957,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0491393230
2025-02-19,49,6328.8145039339,5915.6378897143,49387.1833503554,49146.8002594804,240.3830908750,79511.8548787465,54.8882500000,2673.3279821546,23083.9300845062,19069.8423212476,1,1,1,49557.6416579773,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0481835570
2025-02-20,50,5915.6378897143,6361.4935294841,49415.6740171801,49333.3870575915,82.2869595886,79930.9548823524,17.5676685714,4345.8311550706,22148.8820354056,17539.3243728857,1,1,1,49231.7337960173,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0476889270
2025-02-21,51,6361.4935294841,6345.3202403783,18324.0940116621,18324.0940116621,0.0000000000,35249.3293881481,0.0000000000,6318.4579739771,17816.6596896473,14446.0503088095,0,0,0,18330.7663919344,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0422501560
2025-02-22,52,6345.3202403783,6213.7533947381,17978.8154281632,17978.8154281632,0.0000000000,34629.4285001675,0.0000000000,3524.7388253028,17780.7208031981,14520.7940116667,0,0,0,18033.0940612590,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0417983530
2025-02-23,53,6213.7533947381,6123.4060780899,48173.6393041725,48088.7687817820,84.8705223905,78043.6658148426,18.1192404762,2310.4666447031,22635.6700645561,18416.2053372738,1,1,1,48210.9125915852,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0463235340
2025-02-24,54,6123.4060780899,6182.3702437037,48041.2864828914,47808.4471464860,232.8393364054,77846.0555879865,50.7155736310,5629.8839748530,21109.3990581335,17045.5454880357,3,1,2,48016.9604887888,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0490448130
2025-02-25,55,6182.3702437037,6154.8717654339,47806.8767044511,47556.1438771951,250.7328272560,77350.1054327572,56.1059642857,7762.2809554438,20249.2412563610,16426.6340480952,2,1,2,47818.2213544306,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0482663690
2025-02-26,56,6154.8717654339,6275.4921609418,46956.0401198377,46956.0401198377,0.0000000000,76439.7954768607,0.0000000000,3401.8421194327,21655.5103586185,17432.4050345238,0,0,0,46906.2775055576,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0475243250
2025-02-27,57,6275.4921609418,6362.2785638386,47235.5830348856,46463.3668179496,772.2162169360,75730.4544662375,156.7593945214,4504.9997587948,22881.6954702998,18456.0655683357,3,1,1,47199.7788222238,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0473822900
2025-02-28,58,6362.2785638386,6407.2870459577,17747.6692604252,17747.6692604252,0.0000000000,34246.8932483980,0.0000000000,7644.9022003616,17204.6834954174,13895.2859973810,0,0,0,17729.1007610799,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0419933440
2025-03-01,59,6407.2870459577,6441.3823839180,17629.5250333346,17629.5250333346,0.0000000000,33939.7283897619,0.0000000000,7145.8010901734,16339.3450636361,13204.1836973810,0,0,0,17615.4588122405,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0416607520
2025-03-02,60,6441.3823839180,6000.0398631852,63539.2972011367,45881.3178192328,17657.9793819039,74789.0278361082,2628.5465466452,1505.5507682334,20794.3411395414,17240.6245916881,12,1,2,63721.3755099679,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0485982010
2025-03-03,61,6000.0398631852,6095.2983106481,56208.3519904237,46680.6917938092,9527.6601966146,76248.0016991149,1565.2035218143,1265.0766318577,23396.0492264286,18865.0672706905,12,1,3,56169.0525887093,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0478159400
2025-03-04,62,6095.2983106481,6208.2864419974,47993.4788868583,47993.4788868583,0.0000000000,77944.7861007878,0.0000000000,4516.7726179042,21720.3485859788,17491.7930364286,0,0,0,47946.8650055584,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0480883660
2025-03-05,63,6208.2864419974,6328.4461538333,48628.9766778352,48628.9766778352,0.0000000000,78859.3451380339,0.0000000000,8890.4634354997,19632.9786590270,15794.5689731595,0,0,0,48579.4041211634,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0483233700
2025-03-06,64,6328.4461538333,6343.5403472937,48229.2173992948,48229.2173992948,0.0000000000,78113.1721794312,0.0000000000,8478.3847518842,19371.3080005232,15677.1747063095,0,0,0,48222.9902059262,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0484693370
2025-03-07,65,6343.5403472937,6666.9735800714,17528.9565535598,17528.9565535598,0.0000000000,33744.9143672193,0.0000000000,9553.7478843033,15672.5844214874,12403.7034719048,0,0,0,17395.5223765260,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0462478900
2025-03-08,66,6666.9735800714,6618.0165572593,17138.1096767082,17138.1096767082,0.0000000000,32644.2293031738,0.0000000000,10698.6137700911,15402.8280891946,12520.3520727786,0,0,0,17158.3071684528,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0465992500
2025-03-09,67,6618.0165572593,6375.8235795794,46825.5622254206,46825.5622254206,0.0000000000,76077.9734891453,0.0000000000,9230.1711667842,19643.4260645944,16129.1487922333,0,0,0,46925.4802838789,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0513141620
