date,day,initial_soc,terminal_soc,total_cost,planned_cost,emergency_cost,emergency_kwh,spill_kwh,planned_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_day,events,adjusted_cost,inventory_value_rate,reference_terminal_target,alpha,rho,window,smooth,features,k,blend
2025-02-01,31,6000.0000000000,7426.8898163929,25400.4941212456,25400.4941212456,0.0000000000,0.0000000000,9173.4046728251,48558.5166518182,19593.3432152957,14586.4071696359,0,0,0,24811.8228003271,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-02,32,7426.8898163929,6998.0632331632,57973.1749619499,57973.1749619499,0.0000000000,0.0000000000,9258.5753280676,91206.5945752901,20935.1853796275,17343.4440824050,0,0,0,58150.0897512312,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-03,33,6998.0632331632,6372.0579036635,54793.0721238541,54793.0721238541,0.0000000000,0.0000000000,3298.8119436106,87243.5400151093,22585.3493055177,18857.5377340191,0,0,0,55051.3341003466,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-04,34,6372.0579036635,6754.0056297989,56563.6397285724,56563.6397285724,0.0000000000,0.0000000000,3697.2879784892,89851.1235441857,24290.6245377616,19331.6529220651,0,0,0,56406.0650722235,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-05,35,6754.0056297989,6453.5869065978,55659.6526288776,55505.8459690859,153.8066597917,26.4795833333,3280.9983427743,88203.4675248956,23531.0454368546,19330.5236547333,1,1,1,55783.5920421272,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-06,36,6453.5869065978,6476.0103913844,56179.7097902276,55860.9007325110,318.8090577167,54.7670333333,4029.1325621157,88655.9902915975,23107.2968938970,18696.7293477486,2,1,1,56170.4588570040,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-07,37,6476.0103913844,6476.1084283243,22247.1690481547,22247.1690481547,0.0000000000,0.0000000000,7436.6713096150,42962.6765191534,19580.1963664518,15859.8708235800,0,0,0,22247.1286024705,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-08,38,6476.1084283243,6519.8524121624,20405.2270878406,20405.2270878406,0.0000000000,0.0000000000,4072.9953157733,39273.2643412186,18861.7722280232,15238.6659192445,0,0,0,20387.1802642861,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-09,39,6519.8524121624,6019.7863499632,54988.2226252047,52348.5532935597,2639.6693316450,420.3187597387,537.8424817259,83753.5529089051,23845.6456643714,19765.0324441201,8,1,4,55194.5276573098,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-10,40,6019.7863499632,5909.4198623961,52513.1559522861,51936.0699336600,577.0860186261,127.5841346592,5342.4576870488,83587.4099614113,21816.9929710457,17771.0941453573,7,1,2,52558.6882598790,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-11,41,5909.4198623961,6099.3156963293,52611.7626334793,52255.4068809565,356.3557525228,70.0480447199,4265.5537642033,83927.9392984034,22847.0010265623,18335.1645809757,6,1,3,52533.4200522133,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-12,42,6099.3156963293,6238.7068216684,52111.1186080985,52108.5406294299,2.5779786686,0.5503797328,3827.0146930237,83513.8642056729,22606.3776118081,18185.7138527594,1,1,1,52053.6120249447,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-13,43,6238.7068216684,6350.1311824457,52042.3774728845,52042.3774728845,0.0000000000,0.0000000000,7949.8488147152,83202.5929772113,20120.9643217359,16197.6991759065,0,0,0,51996.4087338216,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-14,44,6350.1311824457,6667.1217197092,19593.3728127220,19593.3728127220,0.0000000000,0.0000000000,3656.9695252260,37256.9154219003,18488.6978761607,14690.5537961531,0,0,0,19462.5966055154,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-15,45,6667.1217197092,6413.0762329356,19097.3598454697,19097.3598454697,0.0000000000,0.0000000000,3864.8036601948,36269.5509470884,17648.9322367887,14524.2760498951,0,0,0,19202.1677224020,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-16,46,6413.0762329356,6237.6070442776,50924.4212352957,49737.7066006183,1186.7146346774,262.0271855936,769.8895504174,80142.0701409105,23235.5312940995,18978.7026180129,5,1,3,50996.8120239054,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-17,47,6237.6070442776,6011.1189682106,49769.9001057222,48649.0803058337,1120.8197998885,170.6796315665,4214.1806004379,79065.7174996346,21274.6980660880,17436.3447019915,2,1,2,49863.3390197707,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-18,48,6011.1189682106,6590.2075742738,50015.6565219542,49928.1399584233,87.5165635309,19.2365234709,3869.1816106091,80697.0079513184,22286.8175546839,17531.1424738371,1,1,1,49776.7503003639,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-19,49,6590.2075742738,6114.7625359091,49764.1049039996,49552.8695536030,211.2353503967,47.9818639082,3191.1667661837,79931.3518579963,22824.9479311356,18916.1083587481,2,1,2,49960.2523959383,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-20,50,6114.7625359091,6587.8230942784,49833.5675847186,49796.7209071125,36.8466776061,7.8664982080,4846.3768151943,80419.5863771633,21906.2517069020,17318.3093800583,1,1,1,49638.4038232492,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-21,51,6587.8230942784,6854.6064068644,19034.9944161082,19034.9944161082,0.0000000000,0.0000000000,7045.4020183156,36184.6737657214,17573.1828039213,13994.1730898488,0,0,0,18924.9314783713,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-22,52,6854.6064068644,6782.0922016356,18583.1018373122,18583.1018373122,0.0000000000,0.0000000000,4323.8193443146,35380.5142388610,17248.3936627318,14036.4616515187,0,0,0,18613.0179755360,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-23,53,6782.0922016356,6307.2794729097,48618.6625304892,48555.7821993559,62.8803311333,13.8213718284,3244.9548430064,78468.7405860317,21753.0783545980,18047.3249230776,1,1,1,48814.5491595735,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-24,54,6307.2794729097,6150.5313170483,48455.0114891479,47346.4077232883,1108.6037658596,177.7010139313,5351.7840081396,77257.9780490926,21168.0777815415,17287.2163433238,5,1,2,48519.6788116716,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-25,55,6150.5313170483,6349.5881692082,48637.8619682015,48415.7911713385,222.0707968630,49.4819168827,8823.5868944495,78598.3250082293,20124.9770020281,16122.0802046989,2,1,2,48555.7399579716,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-26,56,6349.5881692082,6776.0518283258,47261.4836060271,47261.4836060271,0.0000000000,0.0000000000,3466.5473025986,76837.0720144472,21957.1546595232,17401.4779810079,0,0,0,47085.5436542156,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-27,57,6776.0518283258,6475.4082897215,48241.3675147240,46712.2508494648,1529.1166652592,315.0257255913,5309.7703073942,75945.3642089588,22445.3400626302,18451.3046354743,4,1,1,48365.3996768171,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-02-28,58,6475.4082897215,6787.3540595727,18525.8355074007,18525.8355074007,0.0000000000,0.0000000000,8596.8743841186,35413.4599126439,17069.6883455747,13545.6963670495,0,0,0,18397.1405470166,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-03-01,59,6787.3540595727,6820.2774531582,18233.5775071994,18233.5775071994,0.0000000000,0.0000000000,8014.7329828650,34753.6990322485,16055.6266411750,12975.4265251247,0,0,0,18219.9947782679,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-03-02,60,6820.2774531582,6057.4469786410,59402.5873829482,46442.4647144110,12960.1226685372,1918.5392108179,1698.2083578336,75435.5117858734,20968.8578908245,17671.3223186334,10,1,2,59717.2973331574,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
2025-03-03,61,6057.4469786410,6037.6423945083,53653.5886974883,46897.2402195036,6756.3484779847,1095.8799664476,1252.2740061519,76640.7308705412,23605.3385432793,19138.1483457756,12,1,2,53661.7591886977,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,28,3,none,21,0.0000000000
