strategy,scenario,total_cost,daily_cvar90,daily_cvar95,emergency_kwh
baseline,实际,13820986.5765312929,66411.6193005667,70553.9518413988,100246.0863406447
baseline,负荷+10%,25160182.0646677315,121646.7076818100,130257.6383629908,2135666.3926884108
baseline,光伏-30%,31550320.5953753106,141999.3797435790,150467.1081963442,3338466.7577383933
baseline,波动1.5倍,14718045.6228711624,78650.2251294435,91118.2579188437,258532.7070271017
baseline,联合冲击,69642455.2338130176,285798.0580335636,298497.5361360231,11138280.5539958626
fused,实际,13814070.3959080148,66276.1020038213,70311.3488196086,97169.8315604457
fused,负荷+10%,25103252.7652292214,121418.1812627545,129894.6387312944,2124017.4105114033
fused,光伏-30%,31484300.2857258506,141559.9419647507,149980.4899523451,3323162.3067017784
fused,波动1.5倍,14703035.7004360743,78528.1800724350,90820.2921715719,253838.8301722153
fused,联合冲击,69592077.2769724578,285399.2431981766,298070.5412971298,11124650.0687513370
ridge_h1_replan,实际,13667441.2120527849,63156.1185016870,65682.5900694660,57851.6962715370
ridge_h1_replan,负荷+10%,24534307.8844485842,114472.5510519200,119941.1937079013,2001287.4746470107
ridge_h1_replan,光伏-30%,30833942.3095572740,133019.0325111577,138601.6927334282,3174223.7351727565
ridge_h1_replan,波动1.5倍,14453598.2455971129,71997.6653105369,80184.0074774130,193669.0580232374
ridge_h1_replan,联合冲击,69094106.9014561027,277271.5696824327,288033.1667485031,10960378.0833175909
