strategy,period,days,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_slot_frequency,emergency_day_frequency,events,daily_cvar90,daily_cvar95,worst_day,initial_soc,terminal_soc,inventory_value_rate,adjusted_cost
baseline,full334,334,13820986.5765312836,13217169.3093505241,603817.2671807596,21615748.0399877280,100246.0863406443,2543015.1356589729,6493044.8605085555,5259255.3648058195,855,0.0177769461,0.4071856287,240,66411.6193005667,70553.9518413987,99237.2319364772,6000.0000000000,6123.3024512321,0.4125555556,13820935.7074200083
baseline,development153,153,6564627.1959157865,6169039.3693307349,395587.8265850510,9964701.5068488084,65178.5247254130,1341514.2498573442,2873405.5231791269,2327482.4897122486,546,0.0247821351,0.4509803922,134,66543.9195372473,74301.6209929088,99237.2319364772,6989.8600690943,6963.1756944763,0.4125555556,6564638.2047027834
baseline,frozen61,61,2958609.6595924129,2902724.6942192172,55884.9653731963,4685801.9367143158,10622.5096968355,291276.5196882440,1336286.6759219065,1083148.0934156640,84,0.0095628415,0.3442622951,32,68751.8672304557,73045.0526492947,82138.8178769202,6963.1756944763,6123.3024512321,0.4125555556,2958956.1539649130
user,full334,334,13838112.2408033013,13183996.5630373284,654115.6777659762,21573879.6929586157,108680.6542728446,2506697.9233331932,6508045.9121995848,5271372.9832679853,939,0.0195234531,0.4371257485,264,67195.4915037771,72090.0511715479,99041.0079997266,6000.0000000000,6160.2284596428,0.4125555556,13838046.1376621109
user,development153,153,6595452.8196153361,6154448.6481361501,441004.1714791855,9948047.4200779162,72757.3120724813,1331391.5864477898,2879243.2088328209,2332272.8113802117,624,0.0283224401,0.5228758170,158,69231.8748042581,77524.0516815968,99041.0079997266,6989.8600690943,6894.5131517304,0.4125555556,6595492.1555158040
user,frozen61,61,2944909.7001648815,2884142.6691006040,60767.0310642783,4660587.6764560947,11478.2902819675,265081.9707720184,1345450.0419592429,1090475.3902098667,90,0.0102459016,0.3278688525,32,69147.9579481015,73386.8930401121,83229.1068019908,6894.5131517304,6160.2284596428,0.4125555556,2945212.6333939945
fused,full334,334,13814070.3959080074,13228827.4480108209,585242.9478971860,21628043.6070000865,97169.8315604442,2553323.3940071752,6487203.6078504156,5254503.0582637284,835,0.0173611111,0.3982035928,234,66276.1020038211,70311.3488196085,99237.2319364772,6000.0000000000,6146.5156612315,0.4125555556,13814009.9500579834
fused,development153,153,6557429.1103102192,6179068.1771048419,378360.9332053755,9976545.9947477393,62348.1292272741,1351230.4528509113,2869626.6831797892,2324405.7603056859,530,0.0240559187,0.4509803922,131,66392.7881718227,73797.4232405625,99237.2319364772,6989.8600690943,6980.8079245870,0.4125555556,6557432.8448227262
fused,frozen61,61,2958891.5645747040,2904354.0251054056,54537.5394692982,4686253.0158277424,10376.6504147743,291868.5750428794,1334224.2632631052,1081472.5162801349,80,0.0091074681,0.2950819672,29,68743.2787098323,73011.0051175575,82049.0369019645,6980.8079245870,6146.5156612315,0.4125555556,2959235.7564829453
no_conditional,full334,334,13820986.5765312836,13217169.3093505241,603817.2671807596,21615748.0399877280,100246.0863406443,2543015.1356589729,6493044.8605085555,5259255.3648058195,855,0.0177769461,0.4071856287,240,66411.6193005667,70553.9518413987,99237.2319364772,6000.0000000000,6123.3024512321,0.4125555556,13820935.7074200083
