strategy,period,days,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_slot_frequency,emergency_day_frequency,events,daily_cvar90,daily_cvar95,worst_day,initial_soc,terminal_soc,inventory_value_rate,adjusted_cost,sensitivity_target,inventory_valuation
baseline,full334,334,13812704.7734290194,13189554.4174387716,623150.3559902485,21499350.5683516487,109772.6374707690,2475206.8070986932,6309412.4597801929,5114685.5560231367,1086,0.0225798403,0.4071856287,271,66641.3666438697,70942.7776631781,101020.4053158046,6000.0000000000,1487.2626653557,0.0000000000,13812704.7734290194,1200.0000000000,zero
baseline,full334,334,13812704.7734290194,13189554.4174387716,623150.3559902485,21499350.5683516487,109772.6374707690,2475206.8070986932,6309412.4597801929,5114685.5560231367,1086,0.0225798403,0.4071856287,271,66641.3666438697,70942.7776631781,101020.4053158046,6000.0000000000,1487.2626653557,0.4125555556,13814566.5282871891,1200.0000000000,replacement
baseline,full334,334,13812704.7734290194,13189554.4174387716,623150.3559902485,21499350.5683516487,109772.6374707690,2475206.8070986932,6309412.4597801929,5114685.5560231367,1086,0.0225798403,0.4071856287,271,66641.3666438697,70942.7776631781,101020.4053158046,6000.0000000000,1487.2626653557,1.2556800000,13818371.3274453860,1200.0000000000,avoidance_upper
fused,full334,334,13806423.7241184600,13202283.9978477266,604139.7262707332,21514217.6508037224,106369.1660522654,2487606.3506534058,6304401.1363929044,5110610.1651569884,1061,0.0220600466,0.3982035928,265,66510.9118926255,70697.5607227236,101020.4053158046,6000.0000000000,1505.2836902939,0.0000000000,13806423.7241184600,1200.0000000000,zero
fused,full334,334,13806423.7241184600,13202283.9978477266,604139.7262707332,21514217.6508037224,106369.1660522654,2487606.3506534058,6304401.1363929044,5110610.1651569884,1061,0.0220600466,0.3982035928,265,66510.9118926255,70697.5607227236,101020.4053158046,6000.0000000000,1505.2836902939,0.4125555556,13808278.0443026759,1200.0000000000,replacement
fused,full334,334,13806423.7241184600,13202283.9978477266,604139.7262707332,21514217.6508037224,106369.1660522654,2487606.3506534058,6304401.1363929044,5110610.1651569884,1061,0.0220600466,0.3982035928,265,66510.9118926255,70697.5607227236,101020.4053158046,6000.0000000000,1505.2836902939,1.2556800000,13812067.6494942326,1200.0000000000,avoidance_upper
ridge_h1_replan,full334,334,13656716.5788614322,13288616.9026423916,368099.6762190408,21690276.2346237749,62821.3883254814,2618553.7445252212,6312947.7856439026,5117593.4021865316,678,0.0140968064,0.3622754491,232,63246.4755595390,65779.4102549460,84152.2827370162,6000.0000000000,1438.1157611444,0.0000000000,13656716.5788614322,1200.0000000000,zero
ridge_h1_replan,full334,334,13656716.5788614322,13288616.9026423916,368099.6762190408,21690276.2346237749,62821.3883254814,2618553.7445252212,6312947.7856439026,5117593.4021865316,678,0.0140968064,0.3622754491,232,63246.4755595390,65779.4102549460,84152.2827370162,6000.0000000000,1438.1157611444,0.4125555556,13658598.6095479727,1200.0000000000,replacement
ridge_h1_replan,full334,334,13656716.5788614322,13288616.9026423916,368099.6762190408,21690276.2346237749,62821.3883254814,2618553.7445252212,6312947.7856439026,5117593.4021865316,678,0.0140968064,0.3622754491,232,63246.4755595390,65779.4102549460,84152.2827370162,6000.0000000000,1438.1157611444,1.2556800000,13662444.8456624784,1200.0000000000,avoidance_upper
baseline,full334,334,13807516.3771864884,13203953.6400795653,603562.7371069230,21579610.9082824774,100208.9925987380,2521651.8611286664,6420463.3729230054,5201484.8281371240,855,0.0177769461,0.4071856287,240,66390.8764008324,70530.8648474687,99139.2934276590,6000.0000000000,4989.4488116788,0.0000000000,13807516.3771864884,4800.0000000000,zero
baseline,full334,334,13807516.3771864884,13203953.6400795653,603562.7371069230,21579610.9082824774,100208.9925987380,2521651.8611286664,6420463.3729230054,5201484.8281371240,855,0.0177769461,0.4071856287,240,66390.8764008324,70530.8648474687,99139.2934276590,6000.0000000000,4989.4488116788,0.4125555556,13807933.2856934033,4800.0000000000,replacement
baseline,full334,334,13807516.3771864884,13203953.6400795653,603562.7371069230,21579610.9082824774,100208.9925987380,2521651.8611286664,6420463.3729230054,5201484.8281371240,855,0.0177769461,0.4071856287,240,66390.8764008324,70530.8648474687,99139.2934276590,6000.0000000000,4989.4488116788,1.2556800000,13808785.3061026391,4800.0000000000,avoidance_upper
