sample_end,physical_interval,array_index
00:10,00:00-00:10,0
00:20,00:10-00:20,1
00:30,00:20-00:30,2
00:40,00:30-00:40,3
00:50,00:40-00:50,4
01:00,00:50-01:00,5
01:10,01:00-01:10,6
01:20,01:10-01:20,7
01:30,01:20-01:30,8
01:40,01:30-01:40,9
01:50,01:40-01:50,10
02:00,01:50-02:00,11
02:10,02:00-02:10,12
02:20,02:10-02:20,13
02:30,02:20-02:30,14
02:40,02:30-02:40,15
02:50,02:40-02:50,16
03:00,02:50-03:00,17
03:10,03:00-03:10,18
03:20,03:10-03:20,19
03:30,03:20-03:30,20
03:40,03:30-03:40,21
03:50,03:40-03:50,22
04:00,03:50-04:00,23
04:10,04:00-04:10,24
04:20,04:10-04:20,25
04:30,04:20-04:30,26
04:40,04:30-04:40,27
04:50,04:40-04:50,28
05:00,04:50-05:00,29
05:10,05:00-05:10,30
05:20,05:10-05:20,31
05:30,05:20-05:30,32
05:40,05:30-05:40,33
05:50,05:40-05:50,34
06:00,05:50-06:00,35
06:10,06:00-06:10,36
06:20,06:10-06:20,37
06:30,06:20-06:30,38
06:40,06:30-06:40,39
06:50,06:40-06:50,40
07:00,06:50-07:00,41
07:10,07:00-07:10,42
07:20,07:10-07:20,43
07:30,07:20-07:30,44
07:40,07:30-07:40,45
07:50,07:40-07:50,46
08:00,07:50-08:00,47
08:10,08:00-08:10,48
08:20,08:10-08:20,49
08:30,08:20-08:30,50
08:40,08:30-08:40,51
08:50,08:40-08:50,52
09:00,08:50-09:00,53
09:10,09:00-09:10,54
09:20,09:10-09:20,55
09:30,09:20-09:30,56
09:40,09:30-09:40,57
09:50,09:40-09:50,58
10:00,09:50-10:00,59
10:10,10:00-10:10,60
10:20,10:10-10:20,61
10:30,10:20-10:30,62
10:40,10:30-10:40,63
10:50,10:40-10:50,64
11:00,10:50-11:00,65
11:10,11:00-11:10,66
11:20,11:10-11:20,67
11:30,11:20-11:30,68
11:40,11:30-11:40,69
11:50,11:40-11:50,70
12:00,11:50-12:00,71
12:10,12:00-12:10,72
12:20,12:10-12:20,73
12:30,12:20-12:30,74
12:40,12:30-12:40,75
12:50,12:40-12:50,76
13:00,12:50-13:00,77
13:10,13:00-13:10,78
13:20,13:10-13:20,79
13:30,13:20-13:30,80
13:40,13:30-13:40,81
13:50,13:40-13:50,82
14:00,13:50-14:00,83
14:10,14:00-14:10,84
14:20,14:10-14:20,85
14:30,14:20-14:30,86
14:40,14:30-14:40,87
14:50,14:40-14:50,88
15:00,14:50-15:00,89
15:10,15:00-15:10,90
15:20,15:10-15:20,91
15:30,15:20-15:30,92
15:40,15:30-15:40,93
15:50,15:40-15:50,94
16:00,15:50-16:00,95
16:10,16:00-16:10,96
16:20,16:10-16:20,97
16:30,16:20-16:30,98
16:40,16:30-16:40,99
16:50,16:40-16:50,100
17:00,16:50-17:00,101
17:10,17:00-17:10,102
17:20,17:10-17:20,103
17:30,17:20-17:30,104
17:40,17:30-17:40,105
17:50,17:40-17:50,106
18:00,17:50-18:00,107
18:10,18:00-18:10,108
18:20,18:10-18:20,109
18:30,18:20-18:30,110
18:40,18:30-18:40,111
18:50,18:40-18:50,112
19:00,18:50-19:00,113
19:10,19:00-19:10,114
19:20,19:10-19:20,115
19:30,19:20-19:30,116
19:40,19:30-19:40,117
19:50,19:40-19:50,118
20:00,19:50-20:00,119
20:10,20:00-20:10,120
20:20,20:10-20:20,121
20:30,20:20-20:30,122
20:40,20:30-20:40,123
20:50,20:40-20:50,124
21:00,20:50-21:00,125
21:10,21:00-21:10,126
21:20,21:10-21:20,127
21:30,21:20-21:30,128
21:40,21:30-21:40,129
21:50,21:40-21:50,130
22:00,21:50-22:00,131
22:10,22:00-22:10,132
22:20,22:10-22:20,133
22:30,22:20-22:30,134
22:40,22:30-22:40,135
22:50,22:40-22:50,136
23:00,22:50-23:00,137
23:10,23:00-23:10,138
23:20,23:10-23:20,139
23:30,23:20-23:30,140
23:40,23:30-23:40,141
23:50,23:40-23:50,142
24:00,23:50-24:00,143
