stage,fit_start,fit_end,score,alpha,rho,window,smooth,features,k,blend,near_reference_score,near_delta_daily_mean,near_ci_low90,near_ci_high90,near_indistinguishable,month
coarse,2025-04-06,2025-05-31,2012191.8300503348,0.5000000000,0.5000000000,14,3,none,21,0.0000000000,1792766.2059067897,3918.3147168490,2325.1414151125,5470.3928921332,False,6
coarse,2025-04-06,2025-05-31,2006322.9054609048,0.5000000000,0.5000000000,21,3,none,21,0.0000000000,1792766.2059067897,3813.5124920378,2167.8236687638,5329.8852411864,False,6
coarse,2025-04-06,2025-05-31,1997555.0460880648,0.5000000000,0.5000000000,28,3,none,21,0.0000000000,1792766.2059067897,3656.9435746656,2221.0291457841,4925.9674728786,False,6
coarse,2025-04-06,2025-05-31,2010765.1296257577,0.5000000000,0.5000000000,42,3,none,21,0.0000000000,1792766.2059067897,3892.8379235530,2445.8836701421,5178.9508516249,False,6
coarse,2025-04-06,2025-05-31,2008749.8051118301,0.5000000000,0.5000000000,56,3,none,21,0.0000000000,1792766.2059067897,3856.8499858043,2470.4269523211,5097.0324549174,False,6
coarse,2025-04-06,2025-05-31,1944604.7858929071,0.5500000000,0.5000000000,14,3,none,21,0.0000000000,1792766.2059067897,2711.4032140378,1380.1132848457,4060.8314573033,False,6
coarse,2025-04-06,2025-05-31,1932274.6953381626,0.5500000000,0.5000000000,21,3,none,21,0.0000000000,1792766.2059067897,2491.2230255602,1154.4667675857,3789.3577069790,False,6
coarse,2025-04-06,2025-05-31,1923795.3383090259,0.5500000000,0.5000000000,28,3,none,21,0.0000000000,1792766.2059067897,2339.8059357542,1161.9685862009,3410.8802716205,False,6
coarse,2025-04-06,2025-05-31,1932267.3619245798,0.5500000000,0.5000000000,42,3,none,21,0.0000000000,1792766.2059067897,2491.0920717463,1282.4692229910,3587.5438784882,False,6
coarse,2025-04-06,2025-05-31,1931629.3545155125,0.5500000000,0.5000000000,56,3,none,21,0.0000000000,1792766.2059067897,2479.6990822986,1271.3279058817,3567.6248608987,False,6
coarse,2025-04-06,2025-05-31,1890681.9348728538,0.6000000000,0.5000000000,14,3,none,21,0.0000000000,1792766.2059067897,1748.4951601083,695.3553291243,2852.9419023655,False,6
coarse,2025-04-06,2025-05-31,1874707.8159059449,0.6000000000,0.5000000000,21,3,none,21,0.0000000000,1792766.2059067897,1463.2430356992,475.0115530580,2450.2914278931,False,6
coarse,2025-04-06,2025-05-31,1862818.7585352012,0.6000000000,0.5000000000,28,3,none,21,0.0000000000,1792766.2059067897,1250.9384397931,395.9233948530,2039.3740299482,False,6
coarse,2025-04-06,2025-05-31,1872463.0210202411,0.6000000000,0.5000000000,42,3,none,21,0.0000000000,1792766.2059067897,1423.1574127402,503.2202296416,2279.8013946835,False,6
coarse,2025-04-06,2025-05-31,1875564.0668683150,0.6000000000,0.5000000000,56,3,none,21,0.0000000000,1792766.2059067897,1478.5332314558,544.2722366133,2344.7776892135,False,6
coarse,2025-04-06,2025-05-31,1851451.6591513373,0.6500000000,0.5000000000,14,3,none,21,0.0000000000,1792766.2059067897,1047.9545222241,321.3409112204,1830.8505432751,False,6
coarse,2025-04-06,2025-05-31,1837831.8648002101,0.6500000000,0.5000000000,21,3,none,21,0.0000000000,1792766.2059067897,804.7439088111,164.5875842579,1462.1605206005,False,6
coarse,2025-04-06,2025-05-31,1821564.5125686424,0.6500000000,0.5000000000,28,3,none,21,0.0000000000,1792766.2059067897,514.2554761045,-56.9353708581,1052.2204222219,True,6
coarse,2025-04-06,2025-05-31,1831855.9886672865,0.6500000000,0.5000000000,42,3,none,21,0.0000000000,1792766.2059067897,698.0318350089,72.2253109289,1303.4692788022,False,6
coarse,2025-04-06,2025-05-31,1831632.4136007128,0.6500000000,0.5000000000,56,3,none,21,0.0000000000,1792766.2059067897,694.0394231058,62.0984879696,1297.1432987640,False,6
coarse,2025-04-06,2025-05-31,1823914.8370010396,0.7000000000,0.5000000000,14,3,none,21,0.0000000000,1792766.2059067897,556.2255552545,93.8474308188,1065.9610696166,False,6
coarse,2025-04-06,2025-05-31,1814187.8960269005,0.7000000000,0.5000000000,21,3,none,21,0.0000000000,1792766.2059067897,382.5301807163,31.4009355664,775.2437149279,False,6
coarse,2025-04-06,2025-05-31,1802653.5896494170,0.7000000000,0.5000000000,28,3,none,21,0.0000000000,1792766.2059067897,176.5604239755,-115.3933073871,461.4282071807,True,6
coarse,2025-04-06,2025-05-31,1808718.1756316605,0.7000000000,0.5000000000,42,3,none,21,0.0000000000,1792766.2059067897,284.8566022298,-104.3667346092,654.9204091894,True,6
coarse,2025-04-06,2025-05-31,1809074.5040101390,0.7000000000,0.5000000000,56,3,none,21,0.0000000000,1792766.2059067897,291.2196089884,-97.4301631319,672.6404364757,True,6
coarse,2025-04-06,2025-05-31,1804775.0318241115,0.7500000000,0.5000000000,14,3,none,21,0.0000000000,1792766.2059067897,214.4433199522,-98.4487764200,540.9793954802,True,6
coarse,2025-04-06,2025-05-31,1802028.1551596329,0.7500000000,0.5000000000,21,3,none,21,0.0000000000,1792766.2059067897,165.3919509436,16.8644855470,335.8681073942,False,6
coarse,2025-04-06,2025-05-31,1792766.2059067897,0.7500000000,0.5000000000,28,3,none,21,0.0000000000,1792766.2059067897,0.0000000000,0.0000000000,0.0000000000,True,6
coarse,2025-04-06,2025-05-31,1797160.7687439139,0.7500000000,0.5000000000,42,3,none,21,0.0000000000,1792766.2059067897,78.4743363772,-40.1036140737,192.5923897278,True,6
