beta,risk_reduction_fraction,days,planned_cost,emergency_cost,total_cost,adjusted_cost,emergency_kwh,emergency_day_frequency,mean_daily_cost,realized_cvar90,realized_cvar95,worst_day,scenario_expected,scenario_cvar,mean_risk_multiplier,risk_protection_cost
0.9,0.0,214,9185484.71270727,348365.4087209391,9533850.121428207,9530091.338220503,58156.67491081835,0.3878504672897196,44550.701502000964,67760.9553441805,71855.45541040249,93429.40895820058,9783622.402130812,11950945.737962306,0.0,0.0
0.9,0.25,214,9310781.015770627,277320.9525105304,9588101.968281157,9574322.904086534,46472.18108825896,0.3691588785046729,44804.214805052135,67528.45210055087,71206.33272592767,92783.97786407135,9799134.586380076,11595629.189916085,0.08960829124902948,54251.84685295075
0.9,0.5,214,9467614.301541995,214642.69453580133,9682256.996077795,9655613.460186772,36165.648013183636,0.29439252336448596,45244.191570456984,67552.78639870408,70698.94718920517,90182.32980299297,9851575.76639146,11240312.63972986,0.21832426016588155,148406.87464958802
0.9,0.75,214,9669234.595170803,160558.7960184146,9829793.391189218,9785342.105180979,27152.81235308417,0.2383177570093458,45933.61397751971,67533.79012891967,69942.23499621787,88272.83450432181,9955861.9329233,10884996.089543637,0.4679389551384868,295943.269761011
0.9,1.0,214,10214441.847108148,94866.65668568612,10309308.503793834,10225946.355136946,15668.251489548042,0.1308411214953271,48174.338802774924,69055.68793837658,70867.23225056993,81148.73937052005,10333880.187859764,10529679.539357422,972.33679008034,775458.3823656272
0.95,0.0,214,9185484.71270727,348365.4087209391,9533850.121428207,9530091.338220503,58156.67491081835,0.3878504672897196,44550.701502000964,67760.9553441805,71855.45541040249,93429.40895820058,9783622.402130812,12728714.915540468,0.0,0.0
0.95,0.25,214,9332454.164033901,261842.7341915582,9594296.898225458,9578054.156752184,43920.13406138214,0.35046728971962615,44833.163075819895,67437.67360765456,70804.45239649713,92304.95962656685,9806058.09997918,12189631.138183912,0.08134503550113323,60446.776797251776
0.95,0.5,214,9500789.739115857,197892.58424976195,9698682.323365618,9667176.358562302,33374.13635457,0.27102803738317754,45320.94543628793,67450.17767407175,70334.14225801159,90905.92267325486,9872701.015395273,11650547.35868736,0.17717275016498335,164832.20193741098
0.95,0.75,214,9721351.208460204,151171.44736863667,9872522.655828841,9821637.05144709,25406.19764670964,0.24766355140186916,46133.28343845253,67556.45649233578,70112.64553434758,88528.42914133545,9996340.299679346,11111463.579190806,0.3565302173453257,338672.53440063447
0.95,1.0,214,10325951.056917634,92889.91044500467,10418840.967362639,10329114.581622427,15315.130550225917,0.12149532710280374,48686.172744685224,69435.29123465391,71134.80080208428,81148.73937052005,10432156.4646108,10572379.799694248,494.8896898788423,884990.845934432
