method,policy,period,saving_vs_H3_daily_mean,ci_low,ci_high
ManualWeekly,H0_fixed_SAA,development153,-1688.2238609772062,-2410.4049500519573,-1221.1521654313512
ManualWeekly,H0_fixed_SAA,later61,-1611.3680952657335,-1999.1964027000681,-1144.6084109614937
ManualWeekly,H1_fixedQ_causal,development153,-57.128995180854055,-796.1270105428165,533.8982952693381
ManualWeekly,H1_fixedQ_causal,later61,-325.02702170662184,-669.3400940589793,148.54822009080667
ManualWeekly,H1_replan_SAA,development153,472.1704711563826,-161.60135524721818,1003.3780499681523
ManualWeekly,H1_replan_SAA,later61,-145.31195371894816,-435.25121807586874,250.02057988535992
ManualWeekly,H2_point,development153,-4391.398958184673,-6726.7319090986075,-1619.3928639312335
ManualWeekly,H2_point,later61,-8528.798935804973,-14919.550819331345,-4512.403942885134
Ridge,H0_fixed_SAA,development153,-2243.4961268353823,-2814.7160935221527,-1796.429668464674
Ridge,H0_fixed_SAA,later61,-1879.2031267051582,-2199.436202291238,-1601.5355666218115
Ridge,H1_fixedQ_causal,development153,-209.22665896790443,-829.2824577999129,375.163388650733
Ridge,H1_fixedQ_causal,later61,-299.4908946549784,-462.2226672948445,-125.5316217241615
Ridge,H1_replan_SAA,development153,157.09076243235072,-396.91733478346896,708.9807289128272
Ridge,H1_replan_SAA,later61,-93.66944187749239,-240.5660791080298,47.828362357207894
Ridge,H2_point,development153,-7268.339946932451,-9943.796080816577,-3767.5478903000385
Ridge,H2_point,later61,-15344.405972835912,-18965.470289837653,-13315.175381478877
Ridge,H4_conditional,development153,81.49719827592287,-83.68742766728572,299.93971182381415
Ridge,H4_conditional,later61,149.86911997527187,-3.230862792064532,252.46233578671908
TeamA,H0_fixed_SAA,development153,-2123.8330387796173,-2849.1752097044514,-1697.730339172789
TeamA,H0_fixed_SAA,later61,-1636.6294083387822,-1893.7756748285701,-1350.1523940731556
TeamA,H1_fixedQ_causal,development153,-371.29913565160126,-1060.6758257988604,204.9418342751148
TeamA,H1_fixedQ_causal,later61,-134.69779857542767,-387.7200401420948,112.79228874073218
TeamA,H1_replan_SAA,development153,72.18316715879232,-541.1285949313133,559.8144449030895
TeamA,H1_replan_SAA,later61,103.48027998981551,-143.53314679206065,339.9833920060731
TeamA,H2_point,development153,-4594.46855021622,-6093.244160809733,-2707.821551261886
TeamA,H2_point,later61,-2679.5857123706137,-4402.92636578617,-872.0737813435131
