method,policy,balance_residual,soc_recursion_residual,simultaneous_max,negative_min,soc_min,soc_max,charge_max,discharge_max
ManualWeekly,H0_fixed_SAA,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
ManualWeekly,H1_fixedQ_causal,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
ManualWeekly,H1_replan_SAA,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
ManualWeekly,H2_point,1.7053025658242404e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
ManualWeekly,H3_quantile,1.7053025658242404e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
Ridge,H0_fixed_SAA,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
Ridge,H1_fixedQ_causal,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
Ridge,H1_replan_SAA,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
Ridge,H2_point,1.7053025658242404e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
Ridge,H3_quantile,1.7053025658242404e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
Ridge,H4_conditional,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
TeamA,H0_fixed_SAA,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
TeamA,H1_fixedQ_causal,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
TeamA,H1_replan_SAA,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
TeamA,H2_point,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
TeamA,H3_quantile,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333333,833.3333333333333
