method,policy,terminal_soc,actual_cost,oracle_cost,oracle_gap,oracle_regret_rate,oracle_dual_gap_relative
ManualWeekly,H0_fixed_SAA,6000.0,14539240.537931435,12230383.646207813,2308856.8917236216,0.18878041429546752,4.568896246001537e-16
ManualWeekly,H1_fixedQ_causal,6161.393329629632,13984696.994070774,12230459.68039866,1754237.3136721142,0.14343183817396254,3.045911894757241e-16
ManualWeekly,H1_replan_SAA,6161.393329629632,13863620.163452283,12230459.68039866,1633160.4830536228,0.13353222411345939,3.045911894757241e-16
ManualWeekly,H2_point,5873.245108018521,15307218.277816312,12230323.930569813,3076894.3472464997,0.2515791376184054,4.568918554041748e-16
ManualWeekly,H3_quantile,6130.955242839815,13933492.410694178,12230445.340677772,1703047.0700164065,0.1392465296706873,4.568873198955561e-16
Ridge,H0_fixed_SAA,6000.0,14387114.186347254,12230383.646207813,2156730.5401394404,0.176342018576675,4.568896246001537e-16
Ridge,H1_fixedQ_causal,6069.933520933333,13760607.00307786,12230416.592666563,1530190.4104112983,0.12511351504811458,4.568883938247943e-16
Ridge,H1_replan_SAA,6069.933520933333,13667441.212052785,12230416.592666563,1437024.6193862222,0.1174959665926565,4.568883938247943e-16
Ridge,H2_point,5743.79652984074,16204077.627926031,12230262.945906315,3973814.682019716,0.3249165369212133,3.0459608909187494e-16
Ridge,H3_quantile,6097.805150247626,13710407.429386921,12230429.723300818,1479977.7060861029,0.12100782552770992,6.091838710769741e-16
Ridge,H4_conditional,6037.745342112591,13677259.52503427,12230401.428457875,1446858.0965763945,0.11830013144211475,4.568889603107831e-16
TeamA,H0_fixed_SAA,6000.0,14527956.232869834,12230383.646207813,2297572.5866620205,0.18785776907124352,4.568896246001537e-16
TeamA,H1_fixedQ_causal,6192.48230853144,13951352.942268997,12230474.326762054,1720878.6155069433,0.14070415991482937,3.045908247185454e-16
TeamA,H1_replan_SAA,6192.48230853144,13836746.917429186,12230474.326762054,1606272.5906671323,0.1313336300581879,3.045908247185454e-16
TeamA,H2_point,5985.24203918421,14965018.744681278,12230376.693568494,2734642.051112784,0.22359426202717303,3.045932562197249e-16
TeamA,H3_quantile,6182.341529498447,13839045.38664038,12230469.549328376,1608575.8373120036,0.1315220017370745,3.0459094369700966e-16
