method,policy,month,planned_cost,emergency_cost,total_cost,emergency_kwh,spill_kwh
ManualWeekly,H0_fixed_SAA,2,1208632.7893020012,49181.13835213668,1257813.927654138,13140.3639148148,173358.88049290422
ManualWeekly,H0_fixed_SAA,3,1112221.7238058615,93330.95559214367,1205552.6793980054,25176.925875238092,250124.83762023065
ManualWeekly,H0_fixed_SAA,4,930745.6848287724,90755.5091526388,1021501.1939814113,24958.95760812168,302401.28243190475
ManualWeekly,H0_fixed_SAA,5,973874.1337636813,98411.63008846504,1072285.7638521462,24896.411811335714,377078.18037562387
ManualWeekly,H0_fixed_SAA,6,1329566.2196843424,165282.52103331368,1494848.740717656,42797.07863928462,323755.7721747619
ManualWeekly,H0_fixed_SAA,7,1481353.2093784483,136061.43762464816,1617414.6470030965,37172.4091198001,339185.6181013027
ManualWeekly,H0_fixed_SAA,8,1286592.446978078,88702.74009902267,1375295.1870771006,23177.253265845236,392709.25195655925
ManualWeekly,H0_fixed_SAA,9,1142345.752501555,90761.23116564461,1233106.9836671995,24158.66946428571,379294.5268609524
ManualWeekly,H0_fixed_SAA,10,1111084.5032925291,82278.67872082104,1193363.18201335,21014.93578119047,272630.5678694286
ManualWeekly,H0_fixed_SAA,11,1258564.1122011712,57284.76245375331,1315848.8746549245,15446.587506428568,159520.8749983598
ManualWeekly,H0_fixed_SAA,12,1666347.6530556853,85861.70485672154,1752209.357912407,23426.34875095238,188934.8240833334
ManualWeekly,H1_fixedQ_causal,2,1208632.7893020012,1861.323541975998,1210494.1128439773,392.65735553333525,169213.76268021826
ManualWeekly,H1_fixedQ_causal,3,1112221.7238058615,28206.88760507678,1140428.6114109384,4371.797719097606,237918.355871264
ManualWeekly,H1_fixedQ_causal,4,930745.6848287724,35076.89381861754,965822.57864739,5567.89827021427,290625.671716505
ManualWeekly,H1_fixedQ_causal,5,973874.1337636813,40014.90431300032,1013889.0380766816,6412.167552562841,367334.63522532175
ManualWeekly,H1_fixedQ_causal,6,1329566.2196843424,140241.19157916194,1469807.4112635043,23340.44214008739,322552.26452817465
ManualWeekly,H1_fixedQ_causal,7,1481353.2093784483,94468.93065439687,1575822.140032845,15827.839743719023,332341.90715531405
ManualWeekly,H1_fixedQ_causal,8,1286592.446978078,18184.6712683851,1304777.1182464631,2887.1723572095116,384010.63152002066
ManualWeekly,H1_fixedQ_causal,9,1142345.752501555,29094.948223043753,1171440.7007245987,4669.451047126167,372145.84795226343
ManualWeekly,H1_fixedQ_causal,10,1111084.5032925291,31539.352451620707,1142623.8557441498,5139.600149092838,264807.63336107513
ManualWeekly,H1_fixedQ_causal,11,1258564.1122011712,5768.010560533017,1264332.1227617043,985.9275369047558,153254.17035235948
ManualWeekly,H1_fixedQ_causal,12,1666347.6530556853,58911.651262836014,1725259.3043185214,11604.879994278583,187716.50959170787
ManualWeekly,H1_replan_SAA,2,1202944.496371993,1861.323541975998,1204805.8199139691,392.65735553333525,155892.54586924528
ManualWeekly,H1_replan_SAA,3,1106035.0585525557,28206.88760507678,1134241.9461576326,4371.797719097606,222897.59234785129
ManualWeekly,H1_replan_SAA,4,924901.3666350576,35795.04187908228,960696.4085141399,5670.843806404743,276303.0723834362
ManualWeekly,H1_replan_SAA,5,962793.688583136,38965.084688462055,1001758.7732715979,6157.368415684268,339370.247269143
ManualWeekly,H1_replan_SAA,6,1314239.7026396196,135529.45282268975,1449769.1554623095,22614.566591823106,284697.9581888889
ManualWeekly,H1_replan_SAA,7,1463850.7021696419,89401.51531118191,1553252.2174808239,14459.350442823777,288049.75747017004
ManualWeekly,H1_replan_SAA,8,1275819.0326569856,18184.6712683851,1294003.7039253707,2887.1723572095116,357347.6656671986
ManualWeekly,H1_replan_SAA,9,1123359.6977279112,29094.948223043753,1152454.645950955,4669.451047126167,325725.6212416718
ManualWeekly,H1_replan_SAA,10,1102469.332390884,31539.352451620707,1134008.6848425048,5139.600149092838,243674.55120126618
ManualWeekly,H1_replan_SAA,11,1252447.8889818348,5768.010560533017,1258215.8995423678,985.9275369047558,138925.07979113076
ManualWeekly,H1_replan_SAA,12,1659361.562419519,61051.34597109081,1720412.9083906098,12004.018131740491,171851.45580753678
ManualWeekly,H2_point,2,1185325.0202109776,8723.642634624082,1194048.6628456018,1499.9773325356582,133146.3759554678
ManualWeekly,H2_point,3,1066467.7360513473,77706.17205420397,1144173.9081055513,12106.95733201177,176946.3748223666
ManualWeekly,H2_point,4,861428.1241911004,145074.36190663557,1006502.4860977359,23054.955085455058,182720.07176249137
ManualWeekly,H2_point,5,832942.8885130932,311914.2880629583,1144857.1765760516,49473.417244633056,193335.115320195
ManualWeekly,H2_point,6,1073026.6388919444,671223.6210017187,1744250.259893663,142831.8281050073,80931.4848083334
ManualWeekly,H2_point,7,1232896.9850130368,616818.5999878452,1849715.585000882,145505.4454871162,96491.3786556262
ManualWeekly,H2_point,8,1186294.8989875433,151924.99819243027,1338219.8971799735,29952.143287517833,236807.49083686416
ManualWeekly,H2_point,9,1077368.1020857363,93535.49178097807,1170903.5938667143,19165.691270645897,248504.38142966226
ManualWeekly,H2_point,10,1035135.9198753978,189389.27453451464,1224525.1944099125,33073.64848704792,152357.10344038045
ManualWeekly,H2_point,11,1152876.153506157,273931.05402464524,1426807.2075308023,46274.07042960264,42133.15004416897
ManualWeekly,H2_point,12,1483984.3181581728,579229.9881512499,2063214.3063094227,106277.01712792498,11851.592641469804
ManualWeekly,H3_quantile,2,1204750.1891510761,2986.710152421626,1207736.8993034977,580.261378365233,159267.95363436703
ManualWeekly,H3_quantile,3,1090203.7163265026,40302.550929560195,1130506.267256063,6343.782239812788,200491.16110546573
ManualWeekly,H3_quantile,4,906100.3419373713,64140.28710069092,970240.6290380622,10064.913149640308,246034.60868642805
ManualWeekly,H3_quantile,5,934338.3292817159,65175.01730982923,999513.3465915452,10292.989630691334,295820.6873155403
ManualWeekly,H3_quantile,6,1285928.7158268567,170242.42802942035,1456171.143856277,28527.761746436627,245741.4135753222
ManualWeekly,H3_quantile,7,1437903.416802793,128709.60641100252,1566613.0232137956,23849.51821853391,261980.44151506884
ManualWeekly,H3_quantile,8,1320658.899851548,4388.091592635376,1325046.9914441835,831.5013252483282,406070.82435636834
ManualWeekly,H3_quantile,9,1076072.6968903635,91385.1031260937,1167457.8000164572,14506.322441558455,264274.4225883595
ManualWeekly,H3_quantile,10,1094135.4447774992,46306.086440677565,1140441.5312181767,7514.393600850155,232315.36250525113
ManualWeekly,H3_quantile,11,1243767.9594420271,7457.703676802914,1251225.6631188302,1392.738197501177,124996.96383900216
ManualWeekly,H3_quantile,12,1646873.9465547567,71665.169082535,1718539.1156372917,14007.094408473364,155305.22355164343
Ridge,H0_fixed_SAA,2,1208632.7893020012,49181.13835213668,1257813.927654138,13140.3639148148,173358.88049290422
Ridge,H0_fixed_SAA,3,1112221.7238058615,93330.95559214367,1205552.6793980054,25176.925875238092,250124.83762023065
Ridge,H0_fixed_SAA,4,921556.0506994644,110068.09488368803,1031624.1455831524,30648.060136071475,291544.25534793676
Ridge,H0_fixed_SAA,5,969701.7301656345,90676.59468065064,1060378.3248462852,22587.839519666664,372151.3139923911
Ridge,H0_fixed_SAA,6,1312684.4717292672,143632.09944576913,1456316.5711750363,37103.31481848166,295543.87445985596
Ridge,H0_fixed_SAA,7,1485499.6374068994,85790.38173353337,1571290.0191404326,24096.58048118666,332685.39072078
Ridge,H0_fixed_SAA,8,1293596.9861977424,85065.72827295327,1378662.7144706957,22622.918679144987,401758.86077348026
Ridge,H0_fixed_SAA,9,1080822.5849343895,115930.91069850614,1196753.4956328955,30264.44129283333,300211.8122943457
Ridge,H0_fixed_SAA,10,1098493.5334786074,89750.29485317228,1188243.8283317797,23581.73271733332,259361.47418170603
Ridge,H0_fixed_SAA,11,1263580.2259483712,55262.0170920388,1318842.24304041,14702.219358499993,166413.95813048971
Ridge,H0_fixed_SAA,12,1661020.0611689803,60616.17590544405,1721636.2370744245,16744.08268199999,172891.5969996667
Ridge,H1_fixedQ_causal,2,1208632.7893020012,1861.323541975998,1210494.1128439773,392.65735553333525,169213.76268021826
Ridge,H1_fixedQ_causal,3,1112221.7238058615,28206.88760507678,1140428.6114109384,4371.797719097606,237918.355871264
Ridge,H1_fixedQ_causal,4,921556.0506994644,60750.308311346715,982306.3590108112,9626.183802163358,277635.11082138814
Ridge,H1_fixedQ_causal,5,969701.7301656345,33536.75551960914,1003238.4856852437,5278.568823420829,362771.5531175762
Ridge,H1_fixedQ_causal,6,1312684.4717292672,103312.9803320414,1415997.4520613085,16825.30810912249,291511.14010797226
Ridge,H1_fixedQ_causal,7,1485499.6374068994,22062.184648026752,1507561.822054926,3471.227573010822,326166.16944889614
Ridge,H1_fixedQ_causal,8,1293596.9861977424,14875.970835864759,1308472.9570336072,2407.824803888324,393633.35495437536
Ridge,H1_fixedQ_causal,9,1080822.5849343895,40546.63617402216,1121369.2211084117,6257.066100538333,283658.97744984366
Ridge,H1_fixedQ_causal,10,1098493.5334786074,28128.414430255056,1126621.9479088625,4555.281526927542,246880.0566733659
Ridge,H1_fixedQ_causal,11,1263580.2259483712,1333.8416087627465,1264914.067557134,278.86403621082945,159962.60171467494
Ridge,H1_fixedQ_causal,12,1661020.0611689803,18181.90523365914,1679201.9664026396,3665.5289206433313,168918.7991747021
Ridge,H1_replan_SAA,2,1202944.496371993,1861.323541975998,1204805.8199139691,392.65735553333525,155892.54586924528
