method,policy,cost,seconds,checks_pass
ManualWeekly,H0_fixed_SAA,216414.52940587958,0.13841498700003285,True
ManualWeekly,H1_fixedQ_causal,236249.69158612314,0.13841498700003285,True
ManualWeekly,H1_replan_SAA,228220.64959856207,0.1383694869998635,True
ManualWeekly,H2_point,332647.74984639836,0.02705817599985494,True
ManualWeekly,H3_quantile,242550.2402730052,0.02663034800002606,True
Ridge,H0_fixed_SAA,197314.4468137917,0.14014506400030768,True
Ridge,H1_fixedQ_causal,207314.84167697822,0.14014506400030768,True
Ridge,H1_replan_SAA,202575.99538326391,0.13884165200011012,True
Ridge,H2_point,318118.3698401494,0.027301579999857495,True
Ridge,H3_quantile,206761.19287070667,0.02611556999977438,True
TeamA,H0_fixed_SAA,218646.66423778253,0.1354684279999674,True
TeamA,H1_fixedQ_causal,233880.94567081015,0.1354684279999674,True
TeamA,H1_replan_SAA,227546.09207789053,0.13709580300019297,True
TeamA,H2_point,308948.604616308,0.027442973999995957,True
TeamA,H3_quantile,240982.59453282307,0.027305497999805084,True
