method,policy,month,origin,history_start,history_end,score,alpha,rho,window,smooth,features,k
ManualWeekly,H2_point,6,2025-06-01,2025-04-06,2025-05-31,1957590.4602922474,0.8,1.0,28,3,level,21
ManualWeekly,H2_point,7,2025-07-01,2025-05-06,2025-06-30,2669451.462835384,0.8,1.0,28,3,level,21
ManualWeekly,H2_point,8,2025-08-01,2025-06-06,2025-07-31,3096095.818004253,0.8,1.0,28,3,level,21
ManualWeekly,H2_point,9,2025-09-01,2025-07-07,2025-08-31,2729162.702599749,0.8,1.0,28,3,level,21
ManualWeekly,H2_point,10,2025-10-01,2025-08-06,2025-09-30,2270377.9200929804,0.8,0.75,28,3,level,21
ManualWeekly,H3_quantile,6,2025-06-01,2025-04-06,2025-05-31,1797548.419822475,0.8,0.5,14,0,level,21
ManualWeekly,H3_quantile,7,2025-07-01,2025-05-06,2025-06-30,2270635.3908577287,0.8,0.75,14,0,level,21
ManualWeekly,H3_quantile,8,2025-08-01,2025-06-06,2025-07-31,2632184.3222995405,0.8,0.25,42,0,level,21
ManualWeekly,H3_quantile,9,2025-09-01,2025-07-07,2025-08-31,2461413.8532183976,0.76,0.0,14,3,level,21
ManualWeekly,H3_quantile,10,2025-10-01,2025-08-06,2025-09-30,2219499.3635066263,0.81,0.25,14,0,level,21
Ridge,H2_point,6,2025-06-01,2025-04-06,2025-05-31,2151019.280738018,0.8,1.0,28,3,level,21
Ridge,H2_point,7,2025-07-01,2025-05-06,2025-06-30,2892281.9369999915,0.8,1.0,28,3,level,21
Ridge,H2_point,8,2025-08-01,2025-06-06,2025-07-31,2980708.9747298677,0.8,1.0,28,3,level,21
Ridge,H2_point,9,2025-09-01,2025-07-07,2025-08-31,2481884.1531157126,0.8,0.0,28,3,level,21
Ridge,H2_point,10,2025-10-01,2025-08-06,2025-09-30,2319943.6680868594,0.8,0.75,28,3,level,21
Ridge,H3_quantile,6,2025-06-01,2025-04-06,2025-05-31,1788780.1914659527,0.8,0.5,14,0,level,21
Ridge,H3_quantile,7,2025-07-01,2025-05-06,2025-06-30,2217047.0921465554,0.8,0.5,14,0,level,21
Ridge,H3_quantile,8,2025-08-01,2025-06-06,2025-07-31,2554769.9471509806,0.74,0.0,14,0,level,21
Ridge,H3_quantile,9,2025-09-01,2025-07-07,2025-08-31,2451234.6935651796,0.76,0.25,14,3,level,21
Ridge,H3_quantile,10,2025-10-01,2025-08-06,2025-09-30,2201608.7800117144,0.83,0.25,14,5,level,21
TeamA,H2_point,6,2025-06-01,2025-04-06,2025-05-31,1920823.0203049392,0.8,0.75,28,3,level,21
TeamA,H2_point,7,2025-07-01,2025-05-06,2025-06-30,2433445.5885762526,0.8,1.0,28,3,level,21
TeamA,H2_point,8,2025-08-01,2025-06-06,2025-07-31,2763099.7802970335,0.8,0.75,28,3,level,21
TeamA,H2_point,9,2025-09-01,2025-07-07,2025-08-31,2609210.945983246,0.8,0.75,28,3,level,21
TeamA,H2_point,10,2025-10-01,2025-08-06,2025-09-30,2569680.7933609113,0.8,1.0,28,3,level,21
TeamA,H3_quantile,6,2025-06-01,2025-04-06,2025-05-31,1791959.4222506145,0.76,0.5,28,0,level,21
TeamA,H3_quantile,7,2025-07-01,2025-05-06,2025-06-30,2229166.173994233,0.8,0.75,42,0,level,21
TeamA,H3_quantile,8,2025-08-01,2025-06-06,2025-07-31,2601582.2826283737,0.77,0.0,42,0,level,21
TeamA,H3_quantile,9,2025-09-01,2025-07-07,2025-08-31,2479465.7692629355,0.75,0.25,28,0,level,21
TeamA,H3_quantile,10,2025-10-01,2025-08-06,2025-09-30,2253407.9524920536,0.82,0.75,28,0,level,21
Ridge,H4_conditional,6,2025-06-01,2025-04-06,2025-05-31,1788780.1914659527,0.8,0.5,28,0,season,14
Ridge,H4_conditional,7,2025-07-01,2025-05-06,2025-06-30,2217047.0921465554,0.8,0.5,28,0,season,14
Ridge,H4_conditional,8,2025-08-01,2025-06-06,2025-07-31,2569029.937055806,0.8,0.0,28,0,season,14
Ridge,H4_conditional,9,2025-09-01,2025-07-07,2025-08-31,2464811.090115349,0.8,0.25,28,0,season,14
Ridge,H4_conditional,10,2025-10-01,2025-08-06,2025-09-30,2204748.4110539975,0.8,0.75,28,0,season,14
