method,policy,period,days,planned_cost,emergency_cost,total_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,events,solve_seconds,start_soc,end_soc,inventory_adjusted_cost,cvar90,cvar95,max_daily_cost,emergency_day_frequency,emergency_slot_frequency
ManualWeekly,H0_fixed_SAA,full334,334,13501328.228792125,1037912.3091393093,14539240.537931435,22151276.041777074,275365.94173729734,3158994.6169653614,6991883.534643926,5663425.66306158,9223.0,3748.0,15.736461651000354,6000.0,6000.0,14539240.537931435,66664.75447724955,69594.28786540515,83541.88629131438,0.9820359281437125,0.19176230871590152
ManualWeekly,H0_fixed_SAA,development153,153,6350942.131834952,563086.6086434502,6914028.740478402,10295996.943494748,148320.34627040612,1707575.7369630048,3127888.4450113224,2533589.6404591715,4181.0,1534.0,7.051311797000835,6000.0,6000.0,6914028.740478402,65247.1309343048,70853.37255768134,83541.88629131438,0.9607843137254902,0.18976942628903412
ManualWeekly,H0_fixed_SAA,later61,61,2924911.7652568566,143146.46731047487,3068058.232567332,4732522.258280267,38872.93625738094,348455.6990816932,1425948.1644173104,1155018.0131780212,1739.0,752.0,2.976753112998722,6000.0,6000.0,3068058.232567332,69405.07621003521,72491.17095462335,76262.08282815445,1.0,0.1979735883424408
ManualWeekly,H1_fixedQ_causal,full334,334,13501328.228792125,483368.76527864806,13984696.994070774,22151276.041777074,81199.83386582632,3081921.389954224,6374840.719607081,5163475.72888507,686.0,201.0,15.736461651000354,6000.0,6161.393329629632,13984630.410356006,66373.70047442682,70290.89805212652,86992.12675117566,0.3413173652694611,0.014263140385894877
ManualWeekly,H1_fixedQ_causal,development153,153,6350942.131834952,313529.0941766083,6664471.226011561,10295996.943494748,51864.505437234926,1675858.284516848,2792055.345798366,2262494.929633229,467.0,133.0,7.051311797000835,7317.27659184656,6283.83266234392,6664897.579046032,64650.67051210286,71500.24985700767,86992.12675117566,0.43790849673202614,0.021196441539578795
ManualWeekly,H1_fixedQ_causal,later61,61,2924911.7652568566,64679.66182336904,2989591.4270802257,4732522.258280267,12590.807531183336,340970.67994406744,1327595.9844745263,1075462.9428238093,86.0,27.0,2.976753112998722,6283.83266234392,6161.393329629632,2989641.9401071556,69595.80947584551,73686.91881518146,79796.4521860927,0.2459016393442623,0.009790528233151184
ManualWeekly,H1_replan_SAA,full334,334,13388222.529129138,475397.6343231421,13863620.163452283,21887476.511533625,79352.75355344062,2804735.5472375387,6435573.520453663,5212669.2975708,666.0,196.0,15.828101832005359,6000.0,6161.393329629632,13863553.579737514,66037.28822943203,70024.9358737579,90530.13089320743,0.3413173652694611,0.013847305389221557
ManualWeekly,H1_replan_SAA,development153,153,6279738.467585042,303749.9400769212,6583488.407661963,10129941.004106123,49770.1405880754,1499495.5537691955,2835278.643218713,2297505.80054371,451.0,129.0,7.116248631005419,7317.27659184656,6283.83266234392,6583914.760696434,63761.401577967255,70608.71750403763,90530.13089320743,0.43790849673202614,0.020470225127087873
ManualWeekly,H1_replan_SAA,later61,61,2911809.451401354,66819.35653162382,2978628.8079329785,4701867.176647815,12989.945668645247,310776.5355986676,1327270.7257924746,1075199.4832913475,87.0,27.0,2.968559037999057,6283.83266234392,6161.393329629632,2978679.3209599084,69814.83877211016,74264.393302885,80049.15438523615,0.2459016393442623,0.009904371584699454
ManualWeekly,H2_point,full334,334,12187746.785484508,3119471.492331804,15307218.277816312,20122740.810802557,609215.1511894984,1555224.519717026,6513979.087953417,5276437.14064505,7395.0,1478.0,3.0342016770032387,6000.0,5873.245108018521,15307270.571251193,83638.5913170639,93928.26804459988,119554.47421735461,0.8862275449101796,0.15375499001996007
