method,d,date,config,max_history_day,min_history_day,n,effective_n,native_residual_fraction,planned_cost,emergency_cost,total_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_day,events,initial_soc,terminal_soc,balance_residual,peak_price_emergency_kwh,solve_seconds,eq_residual,ineq_violation,bound_violation,soc_recursion,dual_gap,dual_gap_relative,stationarity,complementarity,simultaneous_kwh
ManualWeekly,151,2025-06-01,"{""half"": 14, ""kind"": ""time"", ""window"": 21}",150,130,21,19.2964999927831,1.0,38769.6715740507,44772.214717263676,83541.88629131438,64311.78113003528,11705.410067619045,986.7006697619042,20029.811725749558,16224.147497857142,115,1,6,6000.0,6000.0,1.1368683772161603e-13,2440.9737397619033,0.0642925939999941,2.2737367544323206e-13,1.1368683772161603e-13,0.0,3.637978807091713e-12,0.0,0.0,4.440892098500626e-16,1.8141275179285367e-14,0.0
ManualWeekly,151,2025-06-01,"{""half"": null, ""kind"": ""time"", ""window"": 56}",150,95,56,56.0,1.0,38560.843222553645,44976.15388473511,83536.99710728876,63785.426789679594,11883.167052142855,705.5490869047617,19674.83397325103,15936.615518333332,121,1,5,6000.0,6000.0,1.1368683772161603e-13,2396.293578095237,0.15983523399995647,2.2737367544323206e-13,1.1368683772161603e-13,0.0,1.8189894035458565e-12,0.0,0.0,5.551115123125783e-16,4.343446237596383e-15,0.0
ManualWeekly,151,2025-06-01,"{""features"": ""level"", ""k"": 21, ""kind"": ""conditional""}",150,116,21,21.000000000000007,1.0,39266.19365837693,41656.71770693594,80922.91136531287,65007.04548020576,10958.919210238091,931.487456666666,20050.794388300994,16241.143454523808,117,1,7,6000.0,6000.0,1.1368683772161603e-13,2204.830222619047,0.04930750699998043,1.8189894035458565e-12,1.1368683772161603e-13,0.0,1.8189894035458565e-12,0.0,0.0,2.220446049250313e-16,1.1582523300257023e-14,0.0
ManualWeekly,258,2025-09-16,"{""half"": 14, ""kind"": ""time"", ""window"": 21}",257,237,21,19.2964999927831,1.0,40776.25575028757,6984.3712585927315,47760.6270088803,65729.6333524221,2310.204686666665,4452.869362142859,21553.67733480306,17458.478641190475,60,1,19,6000.0,6000.0,1.1368683772161603e-13,296.5926654761903,0.04752737799992701,4.547473508864641e-13,1.1368683772161603e-13,0.0,3.637978807091713e-12,7.275957614183426e-12,1.6557911237244026e-16,2.220446049250313e-16,1.7831204215087797e-14,0.0
ManualWeekly,258,2025-09-16,"{""half"": null, ""kind"": ""time"", ""window"": 56}",257,202,56,56.0,1.0,43540.77751750729,2187.006879170477,45727.784396677765,69628.41198516167,899.2502466666668,6904.026059285717,21746.664153733094,17614.79796452381,18,1,6,6000.0,6000.0,0.0,0.0,0.15002221700001428,4.547473508864641e-13,1.1368683772161603e-13,0.0,3.637978807091713e-12,0.0,0.0,3.3306690738754696e-16,4.343446237596383e-15,0.0
ManualWeekly,258,2025-09-16,"{""features"": ""level"", ""k"": 21, ""kind"": ""conditional""}",257,223,21,21.000000000000007,1.0,43061.85038724938,3045.1395053894116,46106.98989263879,68880.16965258378,1186.1088219047642,6422.481573571429,21852.77325044091,17700.746332857143,31,1,13,6000.0,6000.0,1.1368683772161603e-13,57.243623809524024,0.04694267399997898,4.547473508864641e-13,3.730349362740526e-14,0.0,3.637978807091713e-12,0.0,0.0,2.220446049250313e-16,1.1582523300257023e-14,0.0
Ridge,151,2025-06-01,"{""half"": 14, ""kind"": ""time"", ""window"": 21}",150,130,21,19.2964999927831,1.0,40436.49985197177,36452.26218444199,76888.76203641377,66678.5477373148,9643.0526255,1228.115428833333,20361.36123148148,16492.7025975,109,1,6,6000.0,6000.0,1.1368683772161603e-13,1869.2030603333328,0.047791608000011365,2.2737367544323206e-13,1.1368683772161603e-13,0.0,2.7284841053187847e-12,7.275957614183426e-12,1.7077685770266839e-16,4.440892098500626e-16,1.7269006027882624e-14,0.0
Ridge,151,2025-06-01,"{""half"": null, ""kind"": ""time"", ""window"": 56}",150,95,56,56.0,1.0,40601.54549330536,35293.44347632633,75894.9889696317,66952.59627595267,9354.118007333333,1251.353805833333,20160.70619711934,16330.172019666663,109,1,4,6000.0,6000.0,1.1368683772161603e-13,1813.6326208333342,0.15676063000000795,2.2737367544323206e-13,1.1368683772161603e-13,0.0,1.8189894035458565e-12,0.0,0.0,5.551115123125783e-16,1.3601818084550488e-14,0.0
Ridge,151,2025-06-01,"{""features"": ""level"", ""k"": 21, ""kind"": ""conditional""}",150,116,21,21.000000000000007,1.0,40840.4264692157,33305.91932515716,74146.34579437287,67250.9468193436,8985.059872666667,1130.2511620000005,20425.943315843622,16545.014085833333,110,1,5,6000.0,6000.0,1.1368683772161603e-13,1678.2681449999998,0.04883607600004325,2.2737367544323206e-13,1.1368683772161603e-13,0.0,1.8189894035458565e-12,7.275957614183426e-12,1.6762219867059257e-16,2.220446049250313e-16,1.1582523300257023e-14,0.0
Ridge,258,2025-09-16,"{""half"": 14, ""kind"": ""time"", ""window"": 21}",257,237,21,19.2964999927831,1.0,40736.743375553575,7286.575859618081,48023.31923517166,65929.06468163579,2331.5094106666666,4671.1118203333335,21566.8015191358,17469.1092305,59,1,19,6000.0,6000.0,1.1368683772161603e-13,331.73076433333256,0.04641126899991832,4.547473508864641e-13,1.1368683772161603e-13,0.0,2.7284841053187847e-12,0.0,0.0,2.220446049250313e-16,1.6330957519435812e-14,0.0
Ridge,258,2025-09-16,"{""half"": null, ""kind"": ""time"", ""window"": 56}",257,202,56,56.0,1.0,40081.698702509115,6523.00303066283,46604.70173317195,64833.88004477777,2174.9795778333328,3428.4708591666654,21519.046211111105,17430.427430999996,66,1,23,6000.0,6000.0,1.1368683772161603e-13,251.4237273333331,0.15783669100005682,2.2737367544323206e-13,1.1368683772161603e-13,0.0,5.4569682106375694e-12,7.275957614183426e-12,1.6939524198999587e-16,5.551115123125783e-16,4.343446237596383e-15,0.0
Ridge,258,2025-09-16,"{""features"": ""level"", ""k"": 21, ""kind"": ""conditional""}",257,223,21,21.000000000000007,1.0,40478.59697795602,7175.41797864834,47654.014956604355,65469.38340974896,2380.539153500002,4244.271656499999,21652.0048600823,17538.123936666663,65,1,22,6000.0,6000.0,1.1368683772161603e-13,336.4658313333336,0.04873897200002375,0.0,1.1368683772161603e-13,0.0,1.8189894035458565e-12,0.0,0.0,3.3306690738754696e-16,1.1582523300257023e-14,0.0
