origin,grid_size,iteration,weekday,support_violation,own_cut_error,dual_max,dual_min,history_min_day,history_max_day
2025-02-01,9,1,6,0.0,0.0,-0.384479991,-0.47900001111111107,11,25
2025-02-01,9,1,5,3.637978807091713e-12,3.637978807091713e-12,-0.384209991,-0.47900001111111107,10,24
2025-02-01,9,1,4,7.275957614183426e-12,3.637978807091713e-12,-0.38231999099999997,-0.47900001111111107,9,23
2025-02-01,9,1,3,7.275957614183426e-12,7.275957614183426e-12,-0.384479991,-0.47900001111111107,8,29
2025-02-01,9,1,2,7.275957614183426e-12,7.275957614183426e-12,-0.384209991,-0.47900001111111107,7,28
2025-02-01,9,1,1,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,13,27
2025-02-01,9,1,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,12,26
2025-02-01,9,2,6,1.4551915228366852e-11,0.0,-0.384479991,-0.47900001111111107,11,25
2025-02-01,9,2,5,3.637978807091713e-12,0.0,-0.384209991,-0.47900001111111107,10,24
2025-02-01,9,2,4,7.275957614183426e-12,3.637978807091713e-12,-0.38231999099999997,-0.47900001111111107,9,23
2025-02-01,9,2,3,7.275957614183426e-12,7.275957614183426e-12,-0.384479991,-0.47900001111111107,8,29
2025-02-01,9,2,2,7.275957614183426e-12,7.275957614183426e-12,-0.384209991,-0.47900001111111107,7,28
2025-02-01,9,2,1,7.275957614183426e-12,0.0,-0.384479991,-0.47900001111111107,13,27
2025-02-01,9,2,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,12,26
2025-03-01,9,1,6,0.0,0.0,-0.38231999099999997,-0.47900001111111107,11,53
2025-03-01,9,1,5,0.0,3.637978807091713e-12,-0.384479991,-0.47900001111111107,10,52
2025-03-01,9,1,4,0.0,3.637978807091713e-12,-0.38231999099999997,-0.47900001111111107,9,51
2025-03-01,9,1,3,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,8,57
2025-03-01,9,1,2,7.275957614183426e-12,0.0,-0.384209991,-0.47900001111111107,7,56
2025-03-01,9,1,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,13,55
2025-03-01,9,1,0,7.275957614183426e-12,0.0,-0.384209991,-0.47900001111111107,12,54
2025-03-01,9,2,6,0.0,0.0,-0.38231999099999997,-0.47900001111111107,11,53
2025-03-01,9,2,5,0.0,0.0,-0.384479991,-0.47900001111111107,10,52
2025-03-01,9,2,4,7.275957614183426e-12,3.637978807091713e-12,-0.38231999099999997,-0.47900001111111107,9,51
2025-03-01,9,2,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,8,57
2025-03-01,9,2,2,7.275957614183426e-12,0.0,-0.384209991,-0.47900001111111107,7,56
2025-03-01,9,2,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,13,55
