policy,month,planned_cost,emergency_cost,total_cost,emergency_kwh,spill_kwh
cyclic_initial,2,1210838.2804592075,1861.3235419760051,1212699.6040011835,392.6573555333367,164824.4285245399
cyclic_initial,3,1116668.3712668342,28206.887605076827,1144875.2588719109,4371.797719097614,238422.55376219575
cyclic_initial,4,925734.998741975,64307.728268984436,990042.7270109595,10189.461467798832,278425.1915625745
cyclic_initial,5,974155.1766680477,33536.755519609156,1007691.9321876569,5278.568823420832,364723.23058085394
cyclic_initial,6,1312971.3039037269,90223.10676175279,1403194.4106654795,14805.097165639992,285867.487123321
cyclic_initial,7,1475267.152616807,28869.756047742878,1504136.90866455,4560.224367376652,307458.07581068267
cyclic_initial,8,1284167.1041791297,17441.480308725626,1301608.5844878552,2769.571424048332,370283.466049179
cyclic_initial,9,1091009.7781881238,36035.785941860995,1127045.5641299847,5608.694953078341,291505.6590012527
cyclic_initial,10,1109243.6222238343,22417.981152722714,1131661.603376557,3547.1675564349757,255791.84842252347
cyclic_initial,11,1264389.6925546424,3574.956122998595,1267964.6486776408,745.5778113033315,158620.3067375967
cyclic_initial,12,1657674.1972666725,19635.85667335533,1677310.053940028,3961.6926528233294,162081.0817618395
dual_terminal_g17,2,1205230.1942293227,1861.3235419760051,1207091.5177712988,392.6573555333367,157791.3954155687
dual_terminal_g17,3,1108301.9640822848,28206.887605076827,1136508.8516873617,4371.797719097614,224926.7208097511
dual_terminal_g17,4,917749.1058518395,63759.75726102432,981508.8631128639,10096.528017816452,265462.9885712487
dual_terminal_g17,5,961523.2802381581,33536.755519609156,995060.0357577672,5278.568823420832,340648.32059683336
dual_terminal_g17,6,1296336.5576269159,90323.8104525692,1386660.3680794851,14825.145913919992,256622.04177668772
dual_terminal_g17,7,1455552.0465902109,28779.18812372949,1484331.2347139404,4555.47364844832,277513.2988450221
dual_terminal_g17,8,1269613.6772008762,17314.274997520628,1286927.952198397,2745.593043048332,344635.4921026708
dual_terminal_g17,9,1076878.4210361836,36202.312036174844,1113080.7330723584,5656.970382651861,270417.0336981855
dual_terminal_g17,10,1096520.275710772,22319.361902488607,1118839.6376132607,3526.5123694316453,239559.79254333492
dual_terminal_g17,11,1255429.9829850565,3419.756423144102,1258849.7394082006,712.6337018033329,140297.82567520574
dual_terminal_g17,12,1648653.3782981022,19462.388632441467,1668115.7669305436,3927.8591654466636,145393.02658644857
dual_terminal_g9,2,1205307.9416603164,1861.3235419760051,1207169.2652022925,392.6573555333367,157791.3954155687
