policy,period,days,planned_cost,emergency_cost,raw_total_cost,start_inventory_value,end_inventory_value,inventory_adjustment,adjusted_total_cost,planned_kwh,emergency_kwh,spill_kwh,emergency_slots,emergency_day_frequency,max_daily_cost,start_soc,end_soc
cyclic_initial,full334,334,13422119.678069001,346111.61794480536,13768231.296013806,-1.3642420526593924e-12,-2226.0314165144164,-2226.031416514415,13766005.264597291,22057180.969538808,56230.51129655557,2878003.329336559,527,0.36227544910179643,84773.35486385011,6000.0,10796.520945051849
cyclic_initial,development153,153,6272658.961111622,194988.11021280498,6467647.071324427,-2227.466720000016,-1899.2258578799929,328.24086212002294,6467975.312186547,10199449.730921363,31290.755466578295,1510906.536406959,328,0.47058823529411764,84773.35486385011,10800.0,10800.0
cyclic_initial,frozen61,61,2922063.889821315,23210.812796353926,2945274.7026176695,-1899.2258578799929,-2226.0314165144164,-326.8055586344235,2944947.897059035,4725551.197614584,4707.270464126661,320701.3884994362,49,0.26229508196721313,71590.73315623532,10800.0,10796.520945051849
dual_terminal_g17,full334,334,13291788.883849723,345185.81649575464,13636974.700345477,-1.3642420526593924e-12,-1207.5424626408253,-1207.542462640824,13635767.157882836,21776662.793159,56089.74014061839,2663267.936620957,527,0.36227544910179643,84176.10855496269,6000.0,8544.186439294588
dual_terminal_g17,development153,153,6194900.978164959,194938.9475124828,6389839.925677441,-1809.9513841807693,204.42783763850684,2014.3792218192762,6391854.30489926,10025533.248287596,31309.69535750015,1388747.658965901,328,0.47058823529411764,84176.10855496269,9820.81556549946,5504.037287492959
dual_terminal_g17,frozen61,61,2904083.3612831584,22882.145055585574,2926965.5063387444,204.42783763850684,-1207.5424626408253,-1411.9703002793322,2925553.536038465,4690795.350967239,4640.4928672499955,285690.85226165433,49,0.26229508196721313,71230.73847579268,5504.037287492959,8544.186439294588
dual_terminal_g9,full334,334,13292276.898886634,345199.4651711036,13637476.364057735,-1.3642420526593924e-12,-1251.8060286557848,-1251.8060286557834,13636224.558029078,21777745.92224529,56093.525187347266,2663705.7145506144,528,0.36227544910179643,84176.13980496103,6000.0,8637.936439291005
dual_terminal_g9,development153,153,6195146.760317089,194952.5961878317,6390099.35650492,-1854.1701352237724,148.36844002968292,2002.5385752534553,6392101.895080173,10025982.067149904,31313.480404229027,1389147.0541813404,329,0.47058823529411764,84176.13980496103,9914.565565502295,5639.9205530170875
dual_terminal_g9,frozen61,61,2904061.278333471,22882.145055585574,2926943.423389056,148.36844002968292,-1251.8060286557848,-1400.1744686854677,2925543.248920371,4690753.3511547595,4640.4928672499955,285692.6853257185,49,0.26229508196721313,71230.73847579003,5639.9205530170875,8637.936439291005
free_terminal,full334,334,13265093.614962522,353603.8005901132,13618697.415552638,-1.3642420526593924e-12,2190.322529505082,2190.3225295050834,13620887.738082144,21659446.196650073,60121.351444187974,2582939.5866960185,640,0.36826347305389223,85012.57504713544,6000.0,1413.0010886462942
free_terminal,development153,153,6186223.500029126,199893.75665573365,6386117.25668486,1419.4347360599268,2076.810613048496,657.3758769885694,6386774.6325618485,9982797.661251657,33872.85256050499,1346735.0590521365,401,0.477124183006536,85012.57504713544,3023.3583619537,1514.367254959263
free_terminal,frozen61,61,2902289.2802010714,23037.852949967833,2925327.133151039,2076.810613048496,2190.322529505082,113.51191645658582,2925440.6450674958,4675623.140534506,4671.296187953333,274000.52729975304,49,0.26229508196721313,71301.89550636863,1514.367254959263,1413.0010886462942
hard_6000,full334,334,13286619.412291251,344679.071716632,13631298.484007882,-1.3642420526593924e-12,-21.909595806082507,-21.909595806081143,13631276.574412076,21760868.985471174,55958.20534543987,2648002.8030585693,525,0.3592814371257485,83909.83923864056,6000.0,6046.08234579259
hard_6000,development153,153,6200729.882888529,194231.6414552977,6394961.524343828,-681.4721389404276,-86.37543452467389,595.0967044157537,6395556.621048244,10038848.557580873,31142.70423599996,1385039.69834047,326,0.46405228758169936,83909.83923864056,7435.284267603699,6216.203440390744
hard_6000,frozen61,61,2901437.709136204,22995.798508288113,2924433.5076444917,-86.37543452467389,-21.909595806082507,64.46583871859139,2924497.9734832104,4683819.397040121,4663.159302983333,282302.820986072,49,0.26229508196721313,71238.47021177279,6216.203440390744,6046.08234579259
