policy,day,date,initial_soc,terminal_soc,planned_cost,emergency_cost,total_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_day,events,reference_terminal_soc,terminal_value,lp_objective,solve_seconds,lp_eq_residual,lp_ineq_violation,balance_residual,soc_residual,history_min_day,history_max_day,window,half_life,reserve_ratio,warmup_scenario_days,warmup_mode
dual_terminal_g17,0,2025-01-01,6000.0,1200.0,32909.8652559563,173216.18382689226,206126.04908284856,54149.36566502058,34900.52509164609,0.0,7024.846,10010.125259999995,99,1,5,1200.0,1980.2666666666669,34890.13192262297,0.012681062999945425,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,8.810729923425242e-13,-1,-1,21,14,0.5,0,attachment1_typical_day
dual_terminal_g17,1,2025-01-02,1200.0,1365.1683916666664,61853.479049846166,7466.209534529004,69319.68858437517,96853.44019506172,1530.930611666667,463.5164333333332,25720.86081172839,20685.245705,20,1,5,1200.0,1980.2666666666669,63833.745716512836,0.011760248999962641,9.094947017729282e-13,1.1368683772161603e-13,5.684341886080802e-14,8.86846152070575e-13,0,0,21,14,0.5,1,causal_residual_cold_start
dual_terminal_g17,2,2025-01-03,1365.1683916666664,8937.108055000002,63648.43006770623,0.0,63648.43006770623,99186.48427716049,0.0,43479.44072325103,17828.192053909464,7626.089866666668,0,0,0,1200.0,1980.2666666666669,65628.69673437289,0.013607535000005555,2.2737367544323206e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,0,1,21,14,0.5,2,causal_residual_cold_start
dual_terminal_g17,3,2025-01-04,8937.108055000002,8523.444862777778,60042.180725354556,0.0,60042.180725354556,90773.21798456789,0.0,44721.13935411522,8730.384930452672,7443.908666666668,0,0,0,1200.0,1980.2666666666669,62022.447392021226,0.015342859000043063,0.0,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,0,2,21,14,0.5,3,causal_residual_cold_start
dual_terminal_g17,4,2025-01-05,8523.444862777778,1738.7175520370372,60237.491714070304,182.66038354166676,60420.15209761197,91232.8437537037,31.447083333333353,2966.738264197531,17726.82553950617,20464.983266666666,1,1,1,1200.0,1980.2666666666669,62217.758380736974,0.016194965000067896,0.0,1.1368683772161603e-13,5.684341886080802e-14,8.881784197001252e-13,0,3,21,14,0.5,4,causal_residual_cold_start
dual_terminal_g17,5,2025-01-06,1738.7175520370372,1369.1430803703709,62385.56864015706,2034.6674060833354,64420.23604624039,97205.20703683127,418.3957666666671,2611.198070370368,24802.845566460906,20422.921933333335,6,1,2,1200.0,1980.2666666666669,65815.08520237183,0.020429624000030344,4.547473508864641e-13,1.1368683772161603e-13,5.684341886080802e-14,9.094947017729282e-13,0,4,21,14,0.5,5,causal_residual_cold_start
dual_terminal_g17,6,2025-01-07,1369.1430803703709,1548.9512696296295,62831.227385726,2595.827442666706,65427.054828392706,97899.55534485597,372.10829166667224,689.6033207818901,25543.852607407403,20528.69324166666,1,1,1,1200.0,1980.2666666666669,66171.0818881658,0.022847549999937655,2.2737367544323206e-13,1.1368683772161603e-13,2.842170943040401e-14,9.094947017729282e-13,0,5,21,14,0.5,6,causal_residual_cold_start
dual_terminal_g17,7,2025-01-08,1548.9512696296295,2743.250180370371,92170.15407195216,0.0,92170.15407195216,134541.77716231626,0.0,40690.79876281598,17105.831911405057,12780.854828571428,0,0,0,1200.0,1980.2666666666669,95479.89305475036,0.0246614000000136,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,0,6,21,14,0.5,7,causal_residual_cold_start
dual_terminal_g17,8,2025-01-09,2743.250180370371,1260.4986000000001,59667.91582055709,12527.294408772577,72195.21022932968,92698.31328300998,1936.9471932142933,445.5857775720235,23329.44739115225,20231.32880916666,11,1,4,1200.0,1980.2666666666669,61648.18248722376,0.011998081999990973,0.0,1.1368683772161603e-13,5.684341886080802e-14,9.094947017729282e-13,7,7,21,14,0.5,1,deployed_saa
dual_terminal_g17,9,2025-01-10,1260.4986000000001,1399.573386111111,27132.171719743492,1057.2281469344225,28189.399866677915,51772.38454100529,293.4153338333341,2332.5819010875957,21670.441839917694,17427.89058283333,9,1,2,1200.0,1980.2666666666669,29112.43838641016,0.013745124000024589,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,7,8,21,14,0.5,2,deployed_saa
dual_terminal_g17,10,2025-01-11,1399.573386111111,1905.7539601851881,28433.221204259073,0.0,28433.221204259073,53556.034923456784,0.0,4152.144324985298,21486.53402704292,16948.530045238094,0,0,0,1200.0,1980.2666666666669,30413.48787092574,0.014861870999993698,4.547473508864641e-13,1.1368683772161603e-13,5.684341886080802e-14,9.094947017729282e-13,7,9,21,14,0.5,3,deployed_saa
dual_terminal_g17,11,2025-01-12,1905.7539601851881,2128.3799784127004,64734.460482880095,0.0,64734.460482880095,100190.86004503234,0.0,4527.428730452674,24195.68156934156,19398.138654761904,0,0,0,1200.0,1980.2666666666669,66714.72714954676,0.015945016000046053,1.8189894035458565e-12,1.1368683772161603e-13,5.684341886080802e-14,9.094947017729282e-13,7,10,21,14,0.5,4,deployed_saa
dual_terminal_g17,12,2025-01-13,2128.3799784127004,1676.1128869576726,63114.2396750946,0.0,63114.2396750946,97793.45006446206,0.0,5428.31734700176,23674.821753174605,19583.646002380956,0,0,0,1200.0,1980.2666666666669,66389.93927118226,0.02060160700000324,1.8189894035458565e-12,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,7,11,21,14,0.5,5,deployed_saa
dual_terminal_g17,13,2025-01-14,1676.1128869576726,1305.5177752380957,62304.99531797893,0.0,62304.99531797893,97259.48137633744,0.0,3528.7079719870676,25178.926692445617,20728.46622142857,0,0,0,1200.0,1980.2666666666669,66336.66702794455,0.02293565699994815,9.094947017729282e-13,1.1368683772161603e-13,5.684341886080802e-14,9.094947017729282e-13,7,12,21,14,0.5,6,deployed_saa
dual_terminal_g17,14,2025-01-15,1305.5177752380957,1749.313379153443,62587.55120331971,229.2954784785679,62816.84668179828,97735.20751740153,39.26948571428511,2349.7810314520952,26078.615762139914,20724.26272380952,2,1,1,1200.0,1980.2666666666669,66190.68966114706,0.025221676000001025,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,7,13,21,14,0.5,7,deployed_saa
dual_terminal_g17,15,2025-01-16,1749.313379153443,1988.9981131216948,63086.64709608615,1475.8622754279754,64562.50937151413,98185.30403592005,284.6542392857141,4473.713524191664,24770.405476014097,19848.312175,6,1,3,1200.0,1980.2666666666669,66536.7053402159,0.026983954000002086,2.2737367544323206e-13,1.1368683772161603e-13,5.684341886080802e-14,8.384404281969182e-13,7,14,21,14,0.5,8,deployed_saa
dual_terminal_g17,16,2025-01-17,1988.9981131216948,1941.6108616137574,27469.104583367764,0.0,27469.104583367764,51707.069373015875,0.0,5397.382727954155,19280.114235537912,15659.541057142857,0,0,0,1200.0,1980.2666666666669,30671.21867727507,0.03049322200001825,4.547473508864641e-13,1.1368683772161603e-13,5.684341886080802e-14,9.094947017729282e-13,7,15,21,14,0.5,9,deployed_saa
dual_terminal_g17,17,2025-01-18,1941.6108616137574,2126.6679276455043,27048.949557097618,0.0,27048.949557097618,50928.56831796002,0.0,3771.417319135795,19726.79275120518,15812.15076904762,0,0,0,1200.0,1980.2666666666669,30457.541801200907,0.03439698700003646,2.2737367544323206e-13,1.1368683772161603e-13,1.1368683772161603e-13,9.094947017729282e-13,7,16,21,14,0.5,10,deployed_saa
