month,planned_cost,emergency_cost,total_cost,emergency_kwh,spill_kwh
2,1205230.1942293227,1861.3235419760051,1207091.5177712988,392.6573555333367,157791.3954155687
3,1108301.9640822848,28206.88760507683,1136508.8516873617,4371.797719097614,224926.7208097511
4,917749.1058518395,63759.75726102432,981508.8631128639,10096.528017816452,265462.9885712487
5,961523.2802381581,33536.755519609156,995060.0357577672,5278.568823420832,340648.32059683336
6,1296336.5576269159,90323.8104525692,1386660.3680794851,14825.145913919992,256622.04177668772
7,1455552.0465902109,28779.188123729487,1484331.2347139404,4555.47364844832,277513.2988450221
8,1269613.6772008762,17314.274997520628,1286927.952198397,2745.593043048332,344635.4921026708
9,1076878.4210361836,36202.312036174844,1113080.7330723586,5656.970382651861,270417.0336981855
10,1096520.275710772,22319.361902488607,1118839.6376132607,3526.5123694316453,239559.79254333492
11,1255429.9829850565,3419.756423144102,1258849.7394082006,712.6337018033329,140297.82567520574
12,1648653.3782981022,19462.38863244147,1668115.7669305436,3927.8591654466636,145393.02658644857
