date,time_period,emergency_kwh,slot_from,slot_to
2025-02-06,7:50-8:10,17.51375547619034,47,48
2025-02-16,5:50-6:10,14.593175238094886,35,36
2025-02-18,5:50-6:00,6.394333333333407,35,35
2025-02-19,6:20-6:30,54.88824999999974,38,38
2025-02-20,6:00-6:10,17.5676685714285,36,36
2025-02-23,6:00-6:10,18.119240476190498,36,36
2025-02-24,6:00-6:20,42.377067619048034,36,37
2025-02-24,20:50-21:00,8.33850601190843,125,125
2025-02-25,5:50-6:00,29.510333333333165,35,35
2025-02-25,6:20-6:30,26.595630952381043,38,38
2025-02-27,9:40-10:10,156.7593945214287,58,60
2025-03-02,19:20-21:00,2581.8072395119007,116,125
2025-03-02,21:20-21:40,46.739307133333114,128,129
2025-03-03,9:40-10:30,532.7914822714307,58,62
2025-03-03,20:10-21:00,1007.397964759525,121,125
2025-03-03,21:10-21:30,25.014074783333218,127,128
2025-03-13,20:30-20:50,79.14805904761795,123,124
2025-03-16,5:50-6:00,1.6400000000001,35,35
2025-03-18,9:10-9:50,97.25959159047295,55,58
2025-04-01,19:30-20:50,2271.7162828852515,117,124
2025-04-02,8:00-10:20,2358.0133545347658,48,61
2025-04-03,8:40-9:20,314.98032776190615,52,55
2025-04-08,8:40-9:10,123.95061313094894,52,54
2025-04-08,9:20-9:40,19.07588809523838,56,57
2025-04-08,20:30-20:50,158.89182878571773,123,124
2025-04-08,21:10-21:30,14.545905113333173,127,128
2025-04-09,20:00-21:00,1146.5147720276213,120,125
2025-04-27,20:30-20:40,227.19028237833243,123,123
2025-04-28,19:00-21:00,3461.6487631033374,114,125
2025-05-01,20:10-21:50,1450.1928711666665,121,130
2025-05-02,20:00-21:20,1392.2758549999985,120,127
2025-05-02,21:30-21:50,100.0750353399998,129,130
2025-05-03,20:30-21:50,707.3052259999981,123,130
2025-05-04,20:30-21:50,410.3316403333324,123,130
2025-05-05,20:20-20:40,363.2698364866651,122,123
2025-05-06,20:40-21:00,34.93275700000159,124,125
2025-05-06,21:40-21:50,9.915381600000023,130,130
2025-05-07,20:20-20:40,643.0328204941699,122,123
2025-05-08,20:00-20:10,35.999250000000075,120,120
2025-05-11,19:10-19:30,41.18071666666674,115,116
2025-05-18,20:20-20:30,5.236666666666679,122,122
2025-05-19,20:20-20:30,67.00333333333344,122,122
2025-05-29,19:10-19:20,17.817433333333383,115,115
2025-06-01,9:50-11:00,872.0801353016684,59,65
2025-06-01,15:20-18:00,1112.0500395849997,92,107
2025-06-01,18:20-21:50,5425.926589694996,110,130
2025-06-02,9:00-9:20,146.14592905500035,54,55
2025-06-02,19:10-20:40,2905.746572948333,115,123
2025-06-02,21:00-21:30,128.63787493833348,126,128
2025-06-03,18:50-19:10,34.861048333333315,113,114
2025-06-03,19:30-19:50,123.51431483333317,117,118
2025-06-03,20:20-20:40,51.911663666664936,122,123
2025-06-03,21:40-21:50,20.71814565000036,130,130
2025-06-04,19:00-19:10,41.484285,114,114
2025-06-04,19:40-19:50,5.002418999999918,118,118
2025-06-04,20:30-20:40,25.9315068333334,123,123
2025-06-05,18:50-19:30,90.18383433333327,113,116
2025-06-05,19:40-20:10,94.47269483333378,118,120
2025-06-05,20:30-21:00,194.59683665499927,123,125
2025-06-06,19:50-20:40,1407.7845479999978,119,123
2025-06-09,19:40-20:00,11.777930166666579,118,119
2025-06-11,10:00-10:40,354.241155499998,60,63
2025-06-11,19:20-19:30,6.163941500000078,116,116
2025-06-17,19:20-19:30,11.497426333333237,116,116
2025-06-19,19:10-19:30,33.59114999999986,115,116
2025-06-24,9:20-10:50,1634.3281292583335,56,64
