month,weekday,soc,relative_future_cost
2,6,1200.0,2292.35005333335
2,6,1350.0,2220.5000516666832
2,6,1500.0,2148.6500500000166
2,6,1650.0,2076.80004833335
2,6,1800.0,2004.9500466666836
2,6,1950.0,1933.100045000017
2,6,2100.0,1861.2500433333503
2,6,2250.0,1789.4000416666836
2,6,2400.0,1717.550040000017
2,6,2550.0,1645.7000383333502
2,6,2700.0,1574.0000366666804
2,6,2850.0,1502.3000350000138
2,6,3000.0,1430.600033333347
2,6,3150.0,1358.9000316666804
2,6,3300.0,1287.2000300000138
2,6,3450.0,1215.5166950000048
2,6,3600.0,1143.8333600000049
2,6,3750.0,1072.150025000005
2,6,3900.0,1000.4666900000047
2,6,4050.0,928.7833550000278
2,6,4200.0,857.2333533333613
2,6,4350.0,785.6833516666943
2,6,4500.0,714.1333500000278
2,6,4650.0,642.5833483333613
2,6,4800.0,571.0333466666943
2,6,4950.0,499.61667833333604
2,6,5100.0,428.20001000000275
2,6,5250.0,356.78334166666946
2,6,5400.0,285.36667333333617
2,6,5550.0,213.95000500000288
2,6,5700.0,142.63333666666495
2,6,5850.0,71.31666833333156
2,6,6000.0,-1.3642420526593924e-12
2,6,6150.0,-71.31666833333475
2,6,6300.0,-142.63333666666267
2,6,6450.0,-213.83333833332927
2,6,6600.0,-285.03333999999586
2,6,6750.0,-356.23334166666245
2,6,6900.0,-427.43334333332905
2,6,7050.0,-498.63334499999564
2,6,7200.0,-569.8166800000026
2,6,7350.0,-641.0000150000023
2,6,7500.0,-712.1833500000025
2,6,7650.0,-783.3666850000027
2,6,7800.0,-854.5500200000024
2,6,7950.0,-925.7000216666729
2,6,8100.0,-996.8500233333398
2,6,8250.0,-1068.0000250000062
2,6,8400.0,-1139.150026666673
2,6,8550.0,-1210.3000283333395
2,6,8700.0,-1281.1000300000105
2,6,8850.0,-1351.900031666678
2,6,9000.0,-1422.7000333333444
2,6,9150.0,-1493.500035000011
2,6,9300.0,-1564.3000366666683
2,6,9450.0,-1635.0500383333356
2,6,9600.0,-1705.800040000002
2,6,9750.0,-1776.5500416666691
2,6,9900.0,-1847.3000433333355
2,6,10050.0,-1918.0500450000009
2,6,10200.0,-1979.9333800000013
2,6,10350.0,-2041.8167150000008
2,6,10500.0,-2103.7000500000013
2,6,10650.0,-2165.583385000001
2,6,10800.0,-2227.4667200000013
2,5,1200.0,2292.3500533333354
2,5,1350.0,2220.5000516666687
2,5,1500.0,2148.650050000002
2,5,1650.0,2076.8000483333353
2,5,1800.0,2004.950046666669
2,5,1950.0,1933.1000450000024
2,5,2100.0,1861.2500433333357
2,5,2250.0,1789.400041666669
2,5,2400.0,1717.5500400000024
2,5,2550.0,1645.7000383333361
2,5,2700.0,1574.0000366666695
2,5,2850.0,1502.300035000003
2,5,3000.0,1430.6000333333361
2,5,3150.0,1358.9000316666695
2,5,3300.0,1287.200030000003
2,5,3450.0,1215.5166949999975
2,5,3600.0,1143.8333599999976
2,5,3750.0,1072.1500249999976
2,5,3900.0,1000.4666899999975
2,5,4050.0,928.7833549999975
2,5,4200.0,857.2333533333285
2,5,4350.0,785.6833516666616
2,5,4500.0,714.1333499999951
2,5,4650.0,642.5833483333286
2,5,4800.0,571.0333466666657
2,5,4950.0,499.6166783333324
2,5,5100.0,428.2000099999991
2,5,5250.0,356.7833416666658
2,5,5400.0,285.3666733333325
2,5,5550.0,213.95000499999924
2,5,5700.0,142.63333666666495
2,5,5850.0,71.31666833333156
2,5,6000.0,-1.3642420526593924e-12
2,5,6150.0,-71.31666833333475
2,5,6300.0,-142.6333366666663
2,5,6450.0,-213.8333383333329
2,5,6600.0,-285.0333399999995
2,5,6750.0,-356.2333416666661
2,5,6900.0,-427.4333433333327
2,5,7050.0,-498.6333449999952
2,5,7200.0,-569.8166799999954
2,5,7350.0,-641.0000149999951
2,5,7500.0,-712.1833499999952
2,5,7650.0,-783.3666849999954
2,5,7800.0,-854.550019999992
2,5,7950.0,-925.7000216666584
2,5,8100.0,-996.8500233333252
2,5,8250.0,-1068.0000249999916
2,5,8400.0,-1139.1500266666585
2,5,8550.0,-1210.300028333325
2,5,8700.0,-1281.1000299999923
2,5,8850.0,-1351.9000316666597
2,5,9000.0,-1422.7000333333262
2,5,9150.0,-1493.5000349999927
2,5,9300.0,-1564.3000366666593
2,5,9450.0,-1635.0500383333283
2,5,9600.0,-1705.8000399999946
2,5,9750.0,-1776.5500416666619
2,5,9900.0,-1847.3000433333282
2,5,10050.0,-1918.0500449999945
2,5,10200.0,-1979.9333799999977
2,5,10350.0,-2041.8167149999972
2,5,10500.0,-2103.7000499999976
2,5,10650.0,-2165.583384999997
2,5,10800.0,-2227.4667199999967
2,4,1200.0,2292.3500533333245
2,4,1350.0,2220.500051666658
2,4,1500.0,2148.650049999991
2,4,1650.0,2076.8000483333244
2,4,1800.0,2004.9500466666582
2,4,1950.0,1933.1000449999915
2,4,2100.0,1861.2500433333248
2,4,2250.0,1789.4000416666581
2,4,2400.0,1717.5500399999914
2,4,2550.0,1645.7000383333288
2,4,2700.0,1574.0000366666623
2,4,2850.0,1502.3000349999957
2,4,3000.0,1430.6000333333288
2,4,3150.0,1358.9000316666622
