policy,month,planned_cost,emergency_cost,total_cost,emergency_kwh,spill_kwh
hard6000,2,1202944.496371993,1861.3235419760051,1204805.8199139691,392.6573555333367,155892.54586924528
hard6000,3,1106035.0585525557,28206.88760507683,1134241.9461576326,4371.797719097614,222897.59234785126
hard6000,4,915579.8287748267,63846.66508638421,979426.4938612109,10109.31790840479,263515.47486538347
hard6000,5,959892.4365671413,33536.755519609156,993429.1920867505,5278.568823420832,338354.67064954765
hard6000,6,1296824.945965242,90070.77222767864,1386895.7181929206,14774.62391612999,255736.61875731812
hard6000,7,1459183.1884886662,28491.446385748815,1487674.6348744151,4487.279954311655,276806.67938749125
hard6000,8,1268944.644276353,17314.274997520628,1286258.9192738738,2745.593043048332,344135.9239559428
hard6000,9,1077566.1291121703,36035.785941860995,1113601.9150540312,5608.694953078341,269487.32207421766
hard6000,10,1098210.9750460978,22319.361902488607,1120530.3369485864,3526.5123694316453,238873.1541655001
hard6000,11,1253455.7296549652,3419.756423144102,1256875.4860781094,712.6337018033329,138909.68251025924
hard6000,12,1647981.9794812386,19576.042085144007,1667558.0215663826,3950.52560118,143393.13847581277
ridge_fixed_saa_h1,2,1202944.496371993,1861.3235419760051,1204805.8199139691,392.6573555333367,155892.54586924528
ridge_fixed_saa_h1,3,1106035.0585525557,28206.88760507683,1134241.9461576326,4371.797719097614,222897.59234785126
ridge_fixed_saa_h1,4,915579.8287748267,63846.66508638421,979426.4938612109,10109.31790840479,263515.47486538347
ridge_fixed_saa_h1,5,959892.4365671413,33536.755519609156,993429.1920867505,5278.568823420832,338354.67064954765
ridge_fixed_saa_h1,6,1299661.3188919232,100330.5795706405,1399991.8984625635,16303.00358247583,259363.40530121297
ridge_fixed_saa_h1,7,1472506.4623440267,22062.18464802677,1494568.6469920534,3471.227573010825,294559.2878712412
ridge_fixed_saa_h1,8,1281115.9914552008,14875.970835864766,1295991.9622910656,2407.824803888325,362850.74221815716
ridge_fixed_saa_h1,9,1071885.2497892112,40718.67546929275,1112603.925258504,6306.939791006677,261962.07802051026
ridge_fixed_saa_h1,10,1092691.9872584352,28128.414430255107,1120820.4016886903,4555.281526927549,232766.06915930004
ridge_fixed_saa_h1,11,1255764.5330110996,1333.8416087627581,1257098.3746198623,278.8640362108312,141652.51047698967
ridge_fixed_saa_h1,12,1652679.5941788252,21782.956541659325,1674462.5507204845,4376.2131515616675,150268.36917760942
v3_dual_terminal,2,1205540.673469206,1861.3235419760051,1207401.997011182,392.6573555333367,158235.4988037051
v3_dual_terminal,3,1108645.7193326233,28206.88760507683,1136852.6069377002,4371.797719097614,225577.77259646973
v3_dual_terminal,4,918085.5498722082,63759.75726102432,981845.3071332325,10096.528017816452,266049.16379642516
v3_dual_terminal,5,961192.1838246414,33536.755519609156,994728.9393442505,5278.568823420832,340836.56919742725
v3_dual_terminal,6,1296183.6577138552,90323.8104525692,1386507.4681664242,14825.145913919992,256648.25929110084
v3_dual_terminal,7,1455308.5490629175,28779.1881237295,1484087.737186647,4555.473648448321,278007.82316434453
v3_dual_terminal,8,1269856.546999899,17314.274997520628,1287170.8219974197,2745.593043048332,344712.7111845768
v3_dual_terminal,9,1076920.5753703262,36467.46728643874,1113388.0426567649,5726.560394036674,270686.87447720737
v3_dual_terminal,10,1095785.9933902002,22319.361902488607,1118105.3552926888,3526.5123694316453,239823.0177819754
v3_dual_terminal,11,1256419.3102216765,3419.756423144102,1259839.0666448204,712.6337018033329,140664.2627343045
v3_dual_terminal,12,1648896.4601466858,19462.388632441467,1668358.8487791275,3927.8591654466636,145952.50639606995
