month,weekday,soc,relative_future_cost
2,6,1200.0,2292.3499999999913
2,6,2400.0,1717.5499999999956
2,6,3600.0,1143.8333333333285
2,6,4800.0,571.0333333333256
2,6,6000.0,0.0
2,6,7200.0,-569.816666666673
2,6,8400.0,-1139.1500000000087
2,6,9600.0,-1705.800000000003
2,6,10800.0,-2227.4666666666744
2,5,1200.0,2292.350000000002
2,5,2400.0,1717.5499999999993
2,5,3600.0,1143.8333333333358
2,5,4800.0,571.0333333333365
2,5,6000.0,0.0
2,5,7200.0,-569.8166666666693
2,5,8400.0,-1139.1500000000015
2,5,9600.0,-1705.7999999999993
2,5,10800.0,-2227.4666666666635
2,4,1200.0,2292.3499999999985
2,4,2400.0,1717.550000000003
2,4,3600.0,1143.8333333333358
2,4,4800.0,571.0333333333328
2,4,6000.0,0.0
2,4,7200.0,-569.8166666666657
2,4,8400.0,-1139.1499999999978
2,4,9600.0,-1705.7999999999993
2,4,10800.0,-2227.466666666667
2,3,1200.0,2292.3499999999985
2,3,2400.0,1717.5499999999956
2,3,3600.0,1143.8333333333358
2,3,4800.0,571.0333333333328
2,3,6000.0,0.0
2,3,7200.0,-569.8166666666657
2,3,8400.0,-1139.1500000000015
2,3,9600.0,-1705.800000000003
2,3,10800.0,-2227.466666666667
2,2,1200.0,2292.349999999984
2,2,2400.0,1717.5499999999956
2,2,3600.0,1143.8333333333212
2,2,4800.0,571.0333333333256
2,2,6000.0,0.0
2,2,7200.0,-569.816666666673
2,2,8400.0,-1139.1500000000015
2,2,9600.0,-1705.800000000003
2,2,10800.0,-2227.466666666667
2,1,1200.0,2292.350000000006
2,1,2400.0,1717.550000000003
2,1,3600.0,1143.8333333333285
2,1,4800.0,571.0333333333328
2,1,6000.0,0.0
2,1,7200.0,-569.8166666666657
2,1,8400.0,-1139.1499999999942
2,1,9600.0,-1705.7999999999956
2,1,10800.0,-2227.466666666667
2,0,1200.0,2292.3499999999985
2,0,2400.0,1717.5499999999956
2,0,3600.0,1143.8333333333358
2,0,4800.0,571.0333333333328
2,0,6000.0,0.0
2,0,7200.0,-569.8166666666657
2,0,8400.0,-1139.1500000000015
2,0,9600.0,-1705.7999999999956
2,0,10800.0,-2227.466666666667
3,6,1200.0,2292.3499999999985
3,6,2400.0,1717.5499999999956
3,6,3600.0,1143.8333333333358
3,6,4800.0,571.0333333333328
3,6,6000.0,0.0
3,6,7200.0,-569.8166666666657
3,6,8400.0,-1139.1500000000015
3,6,9600.0,-1705.800000000003
3,6,10800.0,-2227.4666666666744
3,5,1200.0,2292.350000000006
3,5,2400.0,1717.550000000003
3,5,3600.0,1143.8333333333358
3,5,4800.0,571.0333333333328
3,5,6000.0,0.0
3,5,7200.0,-569.8166666666657
3,5,8400.0,-1139.1500000000015
3,5,9600.0,-1705.7999999999956
3,5,10800.0,-2227.4666666666526
3,4,1200.0,2292.350000000002
3,4,2400.0,1717.550000000003
3,4,3600.0,1143.8333333333358
3,4,4800.0,571.0333333333328
3,4,6000.0,0.0
