origin,iteration,max_value_change,converged
2025-02-01,1,2292.350000000006,False
2025-02-01,2,1.4551915228366852e-11,True
2025-03-01,1,2292.350000000006,False
2025-03-01,2,7.275957614183426e-12,True
2025-04-01,1,2292.350000000013,False
2025-04-01,2,1.4551915228366852e-11,True
2025-05-01,1,2292.3500000000204,False
2025-05-01,2,7.275957614183426e-12,True
2025-06-01,1,2292.350000000006,False
2025-06-01,2,2.1827872842550278e-11,True
2025-07-01,1,2292.350000000006,False
2025-07-01,2,7.275957614183426e-12,True
2025-08-01,1,2292.350000000013,False
2025-08-01,2,7.275957614183426e-12,True
2025-09-01,1,2292.350000000013,False
2025-09-01,2,7.275957614183426e-12,True
2025-10-01,1,2292.350000000013,False
2025-10-01,2,2.1827872842550278e-11,True
2025-11-01,1,2292.3500000000204,False
2025-11-01,2,1.4551915228366852e-11,True
2025-12-01,1,2292.3500000000204,False
2025-12-01,2,2.9103830456733704e-11,True
