month,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,emergency_kwh
2,1093781.9946452584,111396.68928085112,-2765.2487223278977,7842.516458682601,1210255.951662464,1739.802378914279
3,987988.3404848786,143963.46594970452,-2820.458929937519,12099.900822708583,1141231.2483273542,2553.59718945952
4,812032.8951121676,128217.80894791757,-1255.7710382139153,33235.48037037156,972230.4133922429,6733.337069375021
5,829749.4690132057,131402.6730666384,-2023.094927373329,44511.93949152223,1003640.9866439931,9006.23600154999
6,1108549.191696318,216775.07524352902,-5325.090108022505,57719.06603832218,1377718.2428701466,12286.344899004207
7,1285688.2354734861,180027.72029409092,-3291.0748076706845,44179.896697952056,1506604.7776578583,10516.82339144535
8,1126459.5698684605,155389.61900124495,-2748.090181387841,26438.27507059792,1305539.3737589156,5148.559117031456
9,933913.1020846779,176547.49083388905,-1890.5689086605585,38038.8242359214,1146608.8482458277,7538.579107140002
10,985406.4854235738,138452.02706063617,-2516.54600085757,25590.06108801698,1146932.0275713694,5121.224793804981
11,1148984.7504847813,117604.06000507098,-1790.4068309075433,9030.705120508645,1273829.1087794534,1804.9125709758277
12,1519727.4102364206,136912.41285934113,-1440.8908887441096,17048.664080851697,1672247.5962878694,3434.5246007266724
