strategy,block_days,annual_saving,ci_low,ci_high,fraction_positive,daily_win_rate
18,7,1069873.0794070296,760269.5521541114,1446881.6475996773,1.0000000000,0.7155688623
18,14,1069873.0794070296,757398.4484070297,1451422.0849493523,1.0000000000,0.7155688623
18,28,1069873.0794070296,756855.7510679270,1431519.7224426279,1.0000000000,0.7155688623
12,7,852183.0352759855,587457.5901074692,1155168.2585175079,1.0000000000,0.6946107784
12,14,852183.0352759855,596004.7201249754,1170819.4564613751,1.0000000000,0.6946107784
12,28,852183.0352759855,599456.6096830078,1155450.6074551453,1.0000000000,0.6946107784
12+18,7,1221830.9056146333,902875.1900412628,1595857.5229067372,1.0000000000,0.7904191617
12+18,14,1221830.9056146333,891682.7869360659,1635785.3332375507,1.0000000000,0.7904191617
12+18,28,1221830.9056146333,892195.8004924959,1594761.0679601643,1.0000000000,0.7904191617
6,7,563132.4577163657,235979.1126704878,918910.7146220870,1.0000000000,0.6047904192
6,14,563132.4577163657,241650.3282654446,947400.8224647677,1.0000000000,0.6047904192
6,28,563132.4577163657,242884.0281485507,931769.4804313058,1.0000000000,0.6047904192
6+18,7,1265850.5940962702,855848.3624340014,1767476.9538135021,1.0000000000,0.7005988024
6+18,14,1265850.5940962702,834851.0719216629,1809977.0912551936,1.0000000000,0.7005988024
6+18,28,1265850.5940962702,854902.9997993106,1730137.0182899279,1.0000000000,0.7005988024
6+12,7,1100990.3239401560,767841.9122245675,1533241.9392548848,1.0000000000,0.7095808383
6+12,14,1100990.3239401560,740162.6105207636,1547636.1355315452,1.0000000000,0.7095808383
6+12,28,1100990.3239401560,736400.4576735864,1517493.4521865428,1.0000000000,0.7095808383
6+12+18,7,1479164.9587494214,1080156.9556086375,1958331.0334030117,1.0000000000,0.7844311377
6+12+18,14,1479164.9587494214,1056635.4632342558,1966845.7815973184,1.0000000000,0.7844311377
6+12+18,28,1479164.9587494214,1070727.3452621868,1931552.8384398189,1.0000000000,0.7844311377
