date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-969.5330197292,0.0000000000,22797.0071482285,22630.9804146493,44945.8823612059,42109.8812089361,0.0000000000,0.0000000000,2836.0011522698,3584.0494164539,1520.6548179639,1923.0896690849,0.0000000000,0.0000000000,1497.5907099780,10800.0000000000
2025-02-02,57163.3092803492,0.0000000000,-1373.4227282608,0.0000000000,55789.8865520884,55791.4693864283,90461.9963592189,86504.4382734610,0.0000000000,0.0000000000,3957.5580857578,3882.7434471706,1923.0896690849,1919.2530116492,0.0000000000,0.0000000000,1327.7006183698,10800.0000000000
2025-02-03,58014.1528969593,0.0000000000,-1719.0943887639,297.1954266904,56592.2539348858,56690.2380544454,91882.8567962365,87039.2329730397,42.6025554315,0.0000000000,4843.6238231968,2771.5229456003,1919.2530116492,1681.7477393529,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,60098.2028313277,0.0000000000,-2091.6351440071,0.0000000000,58006.5676873206,57974.1670621372,94457.1210161951,88822.2898683289,0.0000000000,0.0000000000,5634.8311478662,3005.4337738134,1681.7477393529,1760.2841322025,0.0000000000,0.0000000000,1457.2070111825,10800.0000000000
2025-02-05,55877.9958524668,0.0000000000,-928.1799630181,1520.0489210913,56469.8648105400,56532.2929824407,88568.2843420867,86343.3722104714,218.9072551170,0.0000000000,2224.9121316153,1425.2419901654,1760.2841322025,1608.9634892975,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60161.8081712901,0.0000000000,-2785.6051661226,22.4047067224,57398.6077118899,57462.2481248300,94681.7820889480,87075.2334553617,3.8354372545,0.0000000000,7606.5486335863,2549.7578062342,1608.9634892975,1454.7044759765,0.0000000000,0.0000000000,1202.3066223213,10800.0000000000
2025-02-07,23021.0158493199,0.0000000000,-966.4397871390,77.5932647785,22132.1693269593,22116.5126071378,44276.7585215388,40946.9242230430,17.0396572880,0.0000000000,3329.8342984958,5377.0656891409,1454.7044759765,1492.6550492041,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19177.7741296618,312.5751247918,-6.1298674640,1367.1011857279,20851.3205727175,20787.3751133066,37193.5049467064,37449.1674959958,223.6383421770,268.6641531921,13.0016039027,2330.7251800389,1492.6550492041,1647.6534695375,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,55539.4668530666,614.6683918874,-436.2196511270,0.0000000000,55717.9155938271,55742.8614673245,88183.4271165558,86938.1447625181,0.0000000000,478.3249014011,1723.6072554388,3222.3837252014,1647.6534695375,1587.1867683587,0.0000000000,0.0000000000,1362.5759309837,10800.0000000000
2025-02-10,52422.0228825190,0.0000000000,-1119.2332859342,66.0799677284,51368.8695643132,51497.1163585150,83889.8277233259,80002.4182516713,14.5246659476,0.0000000000,3887.4094716546,1918.8250227001,1587.1867683587,1276.3273156746,0.0000000000,0.0000000000,1206.0731729944,10800.0000000000
