date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-1064.8155323060,0.0000000000,22701.7246356516,22535.6979020725,44945.8823612059,41679.9059716761,0.0000000000,0.0000000000,3265.9763895298,3154.0741791939,1520.6548179639,1923.0896690849,0.0000000000,0.0000000000,1497.5907099780,10800.0000000000
2025-02-02,57163.3092803492,0.0000000000,-1733.4931922609,1.8893352280,55431.7054233163,55433.2882576561,90461.9963592189,85449.9147305406,0.4033593570,0.0000000000,5012.0816286783,2759.2992305219,1923.0896690849,1919.2530116492,0.0000000000,0.0000000000,1327.7006183698,10800.0000000000
2025-02-03,58014.1528969593,0.0000000000,-2024.1450169750,313.6572406903,56303.6651206747,56401.6492402342,91882.8567962365,86237.3666239067,46.1170332283,0.0000000000,5645.4901723299,1764.0573503553,1919.2530116492,1681.7477393529,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,60098.2028313277,0.0000000000,-2294.9421174174,0.0000000000,57803.2607139103,57770.8600887269,94457.1210161951,88404.9177460514,0.0000000000,0.0000000000,6052.2032701437,2494.5812851908,1681.7477393529,1760.2841322025,0.0000000000,0.0000000000,1457.2070111825,10800.0000000000
2025-02-05,55877.9958524668,231.3998047104,-1009.9551657657,1484.9835384123,56584.4240298238,56646.8522017246,88568.2843420867,86326.4115808787,212.8703466761,183.7082638447,2425.5810250527,1410.9060609904,1760.2841322025,1608.9634892975,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60161.8081712901,0.0000000000,-3119.2989780639,285.7538500510,57328.2630432772,57391.9034562173,94681.7820889480,86144.4630037218,52.4471734363,0.0000000000,8537.3190852262,1608.6541170531,1608.9634892975,1454.7044759765,0.0000000000,0.0000000000,1202.3066223213,10800.0000000000
2025-02-07,23021.0158493199,0.0000000000,-1068.1245136906,77.5932647785,22030.4846004077,22014.8278805862,44276.7585215388,40488.0581284961,17.0396572880,0.0000000000,3788.7003930426,4918.1995945940,1454.7044759765,1492.6550492041,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19177.7741296618,312.5751247918,-6.1298674640,1367.1011857279,20851.3205727175,20787.3751133066,37193.5049467064,37449.1674959958,223.6383421770,268.6641531921,13.0016039027,2330.7251800389,1492.6550492041,1647.6534695375,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,55539.4668530666,614.6683918874,-788.7217179553,0.0000000000,55365.4135269987,55390.3594004962,88183.4271165558,86513.5808073541,0.0000000000,478.3249014011,2148.1712106028,2658.9438714828,1647.6534695375,1587.1867683587,0.0000000000,0.0000000000,1362.5759309837,10800.0000000000
2025-02-10,52422.0228825190,7.7737075814,-1470.4235723943,66.0799677284,51025.4529854345,51153.6997796363,83889.8277233259,79672.0073067652,14.5246659476,5.5321004707,4223.3525170314,1211.9992426831,1587.1867683587,1276.3273156746,0.0000000000,0.0000000000,1206.0731729944,10800.0000000000
2025-02-11,53552.6170846626,0.0000000000,-2187.1679054883,4996.3259091064,56361.7750882808,56294.8010616645,85300.7662325098,79727.9573893313,939.1252441395,0.0000000000,5572.8088431785,766.1899511048,1276.3273156746,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9639034264,10.6172050034,-1871.8454574261,3917.0392688136,55373.7749198173,55413.6696231450,85172.4740136200,79972.8939851656,655.3668024084,6.3144703882,5205.8944988426,890.0633394391,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49308.0092234154,89.8855199161,-1002.7492326064,243.7908840286,48638.9363947537,48612.5474470345,79870.0350400066,76976.7258373073,53.7239066519,79.3713399091,2972.6805426084,1217.3788672414,1341.9653198752,1405.9299117075,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18609.6110332078,955.4525223547,0.0000000000,284.6597426049,19849.7232981674,19864.9142996621,36245.8823922755,36994.5230633749,46.5662919360,748.6406710993,0.0000000000,3744.3831314832,1405.9299117075,1369.1082005704,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
