parameter,value,alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
emergency,3.0000000000,0.5167000000,0.3500000000,863981.7471132139,864231.4460620604,31590.7952016009,10005.3249152792,25942.8209458798,22714.4700868101,804913.4212390657,34892.9219478686,-7415.3912753213,1313086.3228660740,1316314.6737251438,64643.8714605349,65017.3048597106,1410.4969502293
emergency,3.0000000000,0.5167000000,0.4000000000,856184.2809845862,856433.3491213125,21956.8831407876,7123.3226698393,27775.3232856132,20034.7438752981,804848.4438394617,35851.5457042455,-6472.5916999087,1312935.5982091408,1320676.1776194558,64171.5908656398,64252.7235423482,1412.0259858025
emergency,3.0000000000,0.5167000000,0.4500000000,851267.7293861994,851515.9513037058,14759.1217009992,4923.2055822878,30517.0445564627,18029.6471989538,804682.1803051673,37612.6567876083,-5786.2294075756,1312549.9254318404,1325037.3227893491,63613.5929591004,63731.7062177510,1414.0771500846
emergency,3.0000000000,0.5167000000,0.5000000000,848901.1250279108,849148.8496396689,9282.7422181889,3198.8135346816,34016.0669482930,16328.6148183266,804375.7986757805,40427.4161949372,-5184.8320609957,1311839.2280776603,1329526.6802076269,63240.7200198820,63617.4502212704,1415.2825774307
emergency,3.0000000000,0.5167000000,0.5500000000,848837.6108853735,849081.4633451152,5287.1191407430,1812.7230450255,38017.4265102613,15152.4944473466,803943.3004720813,44341.2623909405,-4734.0711183913,1310835.9847380659,1333700.9168009807,63091.6335249041,63725.4113175472,1424.6683485450
emergency,3.0000000000,0.5167000000,0.6000000000,851583.2940164910,851772.3261669922,2540.6357061053,882.9691838614,43696.4971119283,14527.2083463260,803091.3259615568,50424.8957799871,-4473.5634311581,1308859.7042682802,1338028.9930338827,63242.8983633496,64053.8951888917,1557.5481716435
emergency,3.0000000000,0.5167000000,0.6500000000,857138.5296860277,857244.5053821810,1491.3776169949,497.7088368400,50678.0688717963,14513.9544090870,801964.8763798561,58103.4456359180,-4421.1699467415,1306246.7384095455,1342410.8528722548,63625.0509754284,64526.1901879688,1758.8700378243
emergency,3.0000000000,0.5667000000,0.3500000000,863917.6384142224,864145.4549723556,30465.5677502745,9479.8688889546,18694.0777956722,29648.5024884200,816258.1697436415,27173.5450697192,-9979.6441494128,1329204.2362871554,1318249.8115944078,64292.7833314573,64655.3748735576,1463.5380265615
emergency,3.0000000000,0.5667000000,0.4000000000,855997.3015422804,856224.4872882933,21009.3663461246,6672.1057642640,20449.6713886405,26611.2066662563,816186.9105406122,27715.8510880953,-8914.8264325517,1329038.9400611538,1322877.4047835381,63840.2796956555,63840.4279696316,1465.0670621347
emergency,3.0000000000,0.5667000000,0.4500000000,850465.2132784498,850691.5528052427,13940.7741189012,4498.0310782993,22240.1719128959,24040.5924163464,816029.3539896485,28511.5922103043,-8016.5070404042,1328673.4644152164,1326873.0439117658,63442.5547514667,63515.1114562710,1467.1182264169
emergency,3.0000000000,0.5667000000,0.5000000000,847670.3424533320,847896.1846743766,8699.7703250169,2881.5679933864,24963.8590041211,21722.9520728769,815764.2373905384,30393.3782706281,-7187.0435328514,1328058.4873817898,1331299.3943130339,63121.6949076490,63293.7012227421,1468.3236537629
emergency,3.0000000000,0.5667000000,0.5500000000,847377.7409810537,847599.7110500818,5057.8699604158,1677.7496595576,28447.5384215656,19945.0784286137,815310.4746568988,33468.7512224220,-6459.3548586829,1327005.9178303177,1335508.3778232697,62929.2076538222,63367.8084179997,1477.7094248772
emergency,3.0000000000,0.5667000000,0.6000000000,849310.2790463651,849492.0682331458,2435.3647303364,826.4767667131,32711.5741959121,18398.9276961023,814582.1492523554,38113.5187643353,-5820.7537006621,1325316.4596894148,1339629.1061892246,63090.3251346257,63688.4206144995,1575.1045070821
emergency,3.0000000000,0.5667000000,0.6500000000,854187.8515671928,854292.3303375309,1444.0021822920,480.8177263384,38498.3741038709,17739.6790173283,813542.2057304585,44740.8394614681,-5539.1958070257,1322904.1573885635,1343662.8524751060,63484.6711352093,64155.7065215060,1762.4984602154
emergency,3.0000000000,0.6167000000,0.3500000000,865173.0333539798,865381.3265647023,29899.8263770761,9198.3633899511,13430.0175514145,37972.4871053939,827806.1632627139,20605.6495800298,-13138.6058658402,1345826.3564546490,1321283.8869006694,64103.9273854674,64513.5151008893,1510.8609801557
emergency,3.0000000000,0.6167000000,0.4000000000,857483.3610122160,857691.0234108184,20604.0677327756,6452.2018112082,14459.4434673813,34302.3522568464,827723.0765169874,20964.3121738523,-11808.0954113994,1345633.6244998206,1325790.7157103557,63661.9991822255,63773.9410883760,1512.3900157289
emergency,3.0000000000,0.6167000000,0.4500000000,851803.9953995859,852010.8115789682,13631.1019828592,4332.3458079046,15547.7677411712,31241.7411346646,827581.4442470404,21297.9047729954,-10706.4556033093,1345305.0875711569,1329611.1141776633,63252.4469435438,63370.2022496837,1514.4411800111
emergency,3.0000000000,0.6167000000,0.5000000000,848017.4598896325,848212.2805943119,8131.5160761117,2640.8393581592,17370.1870700955,28348.4250615016,827281.0650595285,22167.2434168995,-9562.3646629071,1344608.3137657472,1333630.0757743411,63003.5046989234,63163.4137013994,1543.5172027221
emergency,3.0000000000,0.6167000000,0.5500000000,847238.4645614671,847424.9182981758,4747.9103290436,1542.7397544829,19901.0497524870,25615.1378101425,826850.2459302990,24160.1884590899,-8519.8801569654,1343608.9652869040,1337894.8772292484,62830.1274227079,63153.9211980890,1563.7980300145
emergency,3.0000000000,0.6167000000,0.6000000000,849032.6795091649,849195.7913852806,2408.9661135478,820.2337733241,24021.9528350830,23796.1269669678,826190.5295635384,28160.0360924223,-7726.8522603436,1342078.6559230422,1342304.4817911573,62837.1304053552,63373.6325968110,1620.3767386969
emergency,3.0000000000,0.6167000000,0.6500000000,853314.6709081128,853416.0287900678,1432.9460270116,475.6822961995,28928.7585617562,22479.6369411584,825303.0616630708,33692.0994031982,-7113.4361851678,1340020.0433030759,1346469.1649236737,63259.4663781701,63837.4675392730,1770.0632314107
emergency,3.0000000000,0.6667000000,0.3500000000,867881.1090632768,868071.4198404934,29673.6224326642,9057.1654338724,9424.4842436265,47526.7538707617,839883.5570815643,15148.6490423891,-16824.7194933407,1362894.5231504296,1324792.2535232943,64043.7058947488,64600.7288087590,1554.4488879273
emergency,3.0000000000,0.6667000000,0.4000000000,859752.4444866963,859942.1244517924,20658.2318056036,6400.4567135448,9574.2533225634,43403.8784393693,839793.2013656563,14661.3618618076,-15360.3505463712,1362684.9297477207,1328855.3046309147,63540.1519067097,63684.1645280224,1555.9779235004
emergency,3.0000000000,0.6667000000,0.4500000000,854105.9849535214,854294.8186993976,13707.5548260977,4295.1745249079,10206.2891516787,39774.3516849801,839648.6916218741,14812.2072659946,-14062.4687604451,1362349.7180943172,1332781.6555610157,63107.9919776191,63254.3300793443,1558.0290877826
emergency,3.0000000000,0.6667000000,0.5000000000,849762.1715807517,849950.5080208795,8263.8223106084,2628.8688031053,10906.4067861957,36191.4944536290,839382.3247001898,14774.7626822112,-12658.7381122578,1361731.8407533655,1336446.7530859320,62825.3508817362,63055.9501379179,1559.2345151286
emergency,3.0000000000,0.6667000000,0.5500000000,848308.3008269976,848487.8398540951,4672.6317689125,1491.8737051861,12607.0298375650,33004.6169430407,839004.4047845639,15995.3684878008,-11364.1042142795,1360855.1997985383,1340457.6126930625,62684.0589773044,63049.4380133358,1580.5587050756
emergency,3.0000000000,0.6667000000,0.6000000000,849610.5124879294,849727.7452699345,2357.3901663549,775.3994114947,15456.2649430065,30088.7306974945,838353.9473732178,19024.0915475927,-10124.9165992360,1359346.3679466567,1344713.9021921686,62623.6350801822,63193.8868245478,1731.5838076423
emergency,3.0000000000,0.6667000000,0.6500000000,853170.9812673716,853255.2625252836,1392.3066005849,456.4840388690,19687.8627351058,28064.6587659472,837479.2399174038,23487.9184282154,-9188.4836788323,1357317.3550591273,1348940.5590282856,62986.1999762123,63551.0268190101,1811.4555331577
emergency,3.0000000000,0.7167000000,0.3500000000,872201.1825915317,872368.4470618556,29518.9264411960,8961.1130151484,6679.4774051854,59775.3775785108,852802.4573772565,11314.7139841366,-21434.9152110574,1380806.8639109451,1327710.9637376198,64355.4829817749,65104.3011303472,1610.3111992747
emergency,3.0000000000,0.7167000000,0.4000000000,863624.0605230691,863790.6941812725,20678.7677010613,6351.3337710184,6258.4050295545,55017.6828927155,852710.9881329867,9944.9869807695,-19710.6822917484,1380594.6875150516,1331835.4096518904,63576.2996514558,64054.9420975758,1611.8402348478
emergency,3.0000000000,0.7167000000,0.4500000000,857653.5060249899,857819.2934639734,13794.8965423648,4271.1993298565,6401.4981882214,50817.0925491662,852565.0464207624,9507.1830534871,-18213.6199916246,1380256.1541997555,1335840.5598388109,63174.1236653288,63243.8333849207,1613.8913991300
emergency,3.0000000000,0.7167000000,0.5000000000,853621.7883948479,853787.0785280830,8461.3427092493,2663.1990947354,7040.2615564744,47169.6565463079,852334.0752216683,9694.8303408623,-16868.4598769322,1379720.3824551625,1339590.9874653285,62602.7894011928,62889.4912255361,1615.0968264760
emergency,3.0000000000,0.7167000000,0.5500000000,851852.9217627011,852014.3397439200,4653.4442716111,1462.6512898688,8141.1126309683,43724.3480784541,851948.4617884421,10710.3196001196,-15459.3038974716,1378825.8952521319,1343242.6598046464,62482.2133656210,62878.8062118030,1624.4825975904
emergency,3.0000000000,0.7167000000,0.6000000000,852633.0825199541,852743.7647742931,2295.1317984595,734.9237740438,10203.2179749246,40112.0710169450,851307.0181381233,12939.5838666285,-13908.6512832573,1377337.9721477046,1347429.1191056839,62504.8024784604,63056.1578040194,1747.4617362706
emergency,3.0000000000,0.7167000000,0.6500000000,855200.2317097358,855244.5747950326,1337.2818545940,424.3810872220,12850.6100389318,36913.1560589570,850512.1966771522,15842.8419325940,-12492.0887546044,1375494.2666014943,1351431.7205814691,62816.9160572558,63339.5281141254,1908.2623076090
emergency,3.0000000000,0.7667000000,0.3500000000,877818.6803801142,877957.3753026581,29543.0564240767,8909.9864698942,4196.5842707159,74898.6001197191,867652.9534052549,7774.3642060688,-27151.6936552862,1401552.8794282509,1330850.8635792478,64751.9426012503,65640.1818538267,1679.5613824208
emergency,3.0000000000,0.7667000000,0.4000000000,869068.5248171927,869206.5889276161,20616.3047289318,6276.4069155848,3423.1188201181,69807.1807323659,867558.4941373274,6171.2471250108,-25277.5211740774,1401333.7672317133,1334949.7053194656,63795.4512559946,64607.9545156475,1681.0904179939
emergency,3.0000000000,0.7667000000,0.4500000000,862772.7067335756,862909.9246247791,13810.1373207333,4224.8051933808,2989.5717743707,65100.9412194799,867402.9265609318,5094.6907181642,-23535.0478662537,1400972.9053054880,1338861.5358603790,63208.3300219805,63674.7654915558,1683.1415822761
emergency,3.0000000000,0.7667000000,0.5000000000,858744.5240376333,858881.2446230883,8528.9326276198,2644.9603252082,3334.2673234938,60768.0115593435,867176.5150577022,5030.5562778915,-21991.4799255800,1400447.7104476136,1343013.9662117639,62969.0746374913,63008.1763504397,1684.3470096221
emergency,3.0000000000,0.7667000000,0.5500000000,856746.5535672819,856879.4020007206,4599.7419539571,1422.4444608046,4096.9225205233,56926.8753249526,866818.4864162226,5795.4628201598,-20467.1376230576,1399617.2102354132,1346787.2574309842,62842.1978303832,62886.4310349177,1693.7327807365
emergency,3.0000000000,0.7667000000,0.6000000000,856957.5807743793,857051.0943623161,2236.0789189420,692.8703545864,5495.6068511690,53181.0390517222,866177.9717697599,7399.0678245399,-18855.5377388625,1398131.4420923777,1350446.0098918243,62842.9318026005,62905.7410746234,1789.0771409620
emergency,3.0000000000,0.7667000000,0.6500000000,859090.2311856272,859123.2435530068,1335.0357505903,425.0325510177,7492.6542412136,49339.7320070793,865371.6125354040,9532.7935412228,-17149.2106415901,1396260.9729799770,1354413.8952141113,63028.5415732567,63111.8334047673,1935.7270157298
emergency,3.0000000000,0.8167000000,0.3500000000,885919.9491441273,886031.2060663194,29767.0692829706,8970.5768074958,2721.9983801663,93727.3506968006,885347.2021524339,5100.5253511199,-34294.8476423971,1426186.1837884153,1335180.8314717812,65195.2450097966,66213.6111475824,1746.0687896834
emergency,3.0000000000,0.8167000000,0.4000000000,877502.7007211494,877613.3268312210,20669.0399850041,6270.0050056039,2186.2308264936,88452.1558560250,885252.5452356305,3953.5964240586,-32372.4809235438,1425966.6131161740,1339700.6880866427,64251.1948725255,65178.8562674013,1747.5978252566
emergency,3.0000000000,0.8167000000,0.4500000000,871334.2221355708,871444.0020264226,13827.9597929944,4221.3867243827,1741.1222767403,83568.5181025489,885081.7788109255,3016.3670856186,-30591.8835539677,1425570.4952207785,1343743.0993949699,63770.5717056760,64272.3029927611,1749.6489895388
emergency,3.0000000000,0.8167000000,0.5000000000,866930.8756607958,867040.1582458992,8505.5997121593,2627.1282511650,1513.0712469737,78921.5843388609,884858.3064648712,2504.9866347841,-28938.0171510186,1425052.1181712437,1347643.6050793563,63571.3383855450,63612.1476283427,1750.8544168848
emergency,3.0000000000,0.8167000000,0.5500000000,864400.8690534073,864506.2794864944,4573.3032214395,1404.8511178304,1591.1730378628,74434.0427235122,884529.8899384721,2550.8549831671,-27253.1790896713,1424290.3076252011,1351447.4379395517,63411.2532265496,63461.9927178313,1760.2401879991
emergency,3.0000000000,0.8167000000,0.6000000000,863734.3819743515,863800.4575619362,2184.6362337519,674.2755248920,1846.6455924218,69533.8161589429,883902.4486900814,2845.6892671100,-25198.3922165919,1422834.8651561895,1355147.6945896684,63284.6109952970,63323.4099410158,1855.5845482247
emergency,3.0000000000,0.8167000000,0.6500000000,865096.2845966142,865101.8589636422,1306.7312370618,417.6522600040,2630.8729623382,64809.4692954361,883081.3004191591,3828.6464754622,-23120.3935350689,1420930.0906933683,1358751.4943602707,63396.7542538090,63493.6116963386,2002.2344229924
emergency,7.0000000000,0.7071000000,0.6357000000,855953.0451599774,856015.7182905073,3785.4249653872,528.9567523742,13021.8640153050,35744.2464293163,848142.6515982497,16134.8150024106,-12109.8464060701,1372423.9675822950,1349701.5851682837,62981.2020662272,63282.4179570669,1863.8318182203
emergency,7.0000000000,0.7071000000,0.6857000000,859333.6196650865,859368.7513248876,2469.1993581847,330.5968584455,16961.4345136493,33006.1828504287,847277.4209173432,20441.8675337849,-10854.8681442262,1370416.9374711688,1354372.1891343894,63163.0444094833,63699.2895836645,1930.5900289827
