date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23768.3449108929,0.0000000000,-1081.3971179961,0.0000000000,22686.9477928969,22541.7217299803,44931.1545493864,41648.2373030049,0.0000000000,0.0000000000,3282.9172463814,3169.8570251534,1520.6548179639,1872.6705912603,0.0000000000,0.0000000000,1451.1751181605,10800.0000000000
2025-02-02,57212.4548342769,0.0000000000,-1987.9854102721,1174.5514751397,56399.0208991445,56461.1821898797,90564.9320861304,85114.9674111556,168.3703376060,0.0000000000,5449.9646749748,2730.3720685614,1872.6705912603,1721.9968458747,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58308.0113245865,262.1054060039,-2035.4629442084,24.7684670442,56559.4222534261,56467.4306302747,92376.2502074932,86761.3991738201,5.2878879257,139.8298968665,5754.6809305396,1793.7099820894,1721.9968458747,1944.9768104216,0.0000000000,0.0000000000,1319.9933726698,10800.0000000000
2025-02-04,59980.9973081202,0.0000000000,-2456.6511241337,0.0000000000,57524.3461839865,57699.2333826411,94171.6348031158,87851.9484734069,0.0000000000,0.0000000000,6319.6863297089,2462.1664326351,1944.9768104216,1521.0649364946,0.0000000000,0.0000000000,1223.7895290354,10800.0000000000
2025-02-05,56090.1567430932,188.0282736956,-869.4214820981,16.4793753041,55425.2429099948,55369.9877603945,88946.6383433684,86900.7225677781,2.8371137650,147.1667174028,2193.0824929931,1460.7789785192,1521.0649364946,1654.9987760859,0.0000000000,0.0000000000,1240.6543673976,10800.0000000000
2025-02-06,60158.8708635996,523.6229636554,-3053.8599788803,276.7311967897,57905.3650451644,57808.7795629474,94674.1110450945,86506.0618899908,50.8838968876,282.8520602594,8450.9012153631,1614.7430926323,1654.9987760859,1889.1138689900,0.0000000000,0.0000000000,1566.5805167846,10800.0000000000
2025-02-07,22793.4646957762,0.0000000000,-1102.1486672349,256.5918666895,21947.9078952308,22122.6081813058,43764.2613617335,39905.3401193524,55.6933800848,0.0000000000,3858.9212423811,4884.8825849050,1889.1138689900,1465.6550554497,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19344.2883664474,722.8453721949,-3.4642203475,0.0000000000,20063.6695182949,19951.9122198528,37492.8440798309,37954.2775209792,0.0000000000,468.8179172897,7.3844761414,2496.5198758644,1465.6550554497,1736.5453560097,0.0000000000,0.0000000000,1250.8572204044,10800.0000000000
2025-02-09,55765.6851873512,337.0621316782,-894.4345864079,0.0000000000,55208.3127326215,55325.5330462545,88470.8410393521,86388.5325950304,0.0000000000,289.2125530072,2371.5209973289,2763.8270825944,1736.5453560097,1452.4131656793,0.0000000000,0.0000000000,1237.5411554401,10800.0000000000
2025-02-10,52840.2973634170,0.0000000000,-1615.5707131146,71.2722169612,51295.9988672635,51359.9142778544,84558.1139756357,79977.5772234558,22.2316224113,0.0000000000,4580.5367521799,1351.0254430547,1452.4131656793,1297.4875811606,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
