date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5400655846,0.0000000000,-1084.9831979913,0.0000000000,22681.5568675933,22534.2073144796,44945.8821817910,41637.0745142366,0.0000000000,0.0000000000,3308.8076675544,3154.0741282305,1520.6548179639,1877.8177530633,0.0000000000,0.0000000000,1459.0442752197,10800.0000000000
2025-02-02,57184.9944046580,0.0000000000,-1956.0151640303,1013.6919417776,56242.6711824052,56308.8458152361,90512.2983434283,85130.8748181665,145.4438706178,0.0000000000,5381.4235252619,2732.3020199594,1877.8177530633,1717.4160036753,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58110.8333237202,348.1467551042,-1958.8821620363,16.4618099303,56516.5597267184,56421.7531987672,92107.1208323333,86755.6938273305,3.5144769279,187.7524387063,5539.1794437091,1764.0575278454,1717.4160036753,1947.2190609230,0.0000000000,0.0000000000,1279.8919631843,10800.0000000000
2025-02-04,59971.0419399766,0.0000000000,-2472.2098905033,55.0010172116,57553.8330666849,57737.8410421291,94162.1527112931,87817.0144201725,26.2034384048,0.0000000000,6345.1382911206,2474.4170942726,1947.2190609230,1501.1991904685,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56002.0974072157,231.3997687988,-870.4299257091,89.3151992583,55452.3824495636,55400.4080726296,88856.1563390066,86837.8737847158,12.8032109028,183.7082396604,2201.9907939512,1410.9060016892,1501.1991904685,1627.1807127971,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60153.0820293069,418.5866681339,-3039.1775896588,285.7538509239,57818.2449587060,57733.8644418520,94661.5406134177,86473.1536424372,52.4471736202,217.3480466494,8405.7350176298,1608.6540809925,1627.1807127971,1831.7119952332,0.0000000000,0.0000000000,1550.2127440990,10800.0000000000
2025-02-07,22840.4291670708,0.0000000000,-1105.4970460586,277.8956128459,22012.8277338581,22166.1182519063,43857.8611573125,39989.6907377151,60.3915118171,0.0000000000,3868.1704195974,4918.1995007916,1831.7119952332,1460.1486603465,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19193.3085172892,835.4640088927,0.0000000000,0.0000000000,20028.7725261819,19918.1389115535,37229.6230735369,37784.5900147682,0.0000000000,554.9669412313,0.0000000000,2330.7251350341,1460.1486603465,1728.3152457641,0.0000000000,0.0000000000,1264.0583631385,10800.0000000000
2025-02-09,55500.8297849232,425.2655567647,-805.9297732100,0.0000000000,55120.1655684779,55229.8713751107,88093.8028281822,86275.2477232954,0.0000000000,357.7486574491,2176.3037623359,2628.1391519089,1728.3152457641,1462.3975889649,0.0000000000,0.0000000000,1274.2649483199,10800.0000000000
2025-02-10,52481.7974310415,7.7737012045,-1499.9718156477,187.6353059288,51177.2346225271,51256.5044567665,84028.4831139505,79759.8808697334,49.4148009093,5.5320959326,4274.1343401497,1203.0176551449,1462.3975889649,1270.2541717405,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53555.5260478794,0.0000000000,-2204.7946112844,5174.5517575512,56525.2831941463,56455.8036634128,85307.5140800787,79700.9352863292,972.2035871336,0.0000000000,5606.5787937495,766.1899314048,1270.2541717405,1438.6667159369,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9638444556,671.0657893357,-1869.5357984694,1511.4989095880,53630.9927449099,53670.8874454740,85172.4739430060,80317.9092355074,311.2636665884,347.7303776371,5202.2950851357,890.0633104394,1438.6667159369,1341.9653140847,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49308.0091521770,89.8855338627,-1109.7682519446,1087.5108737868,49375.6373078819,49349.2483595957,79870.0349507863,76803.5768891849,180.5224897128,79.3713518824,3145.8294134837,1171.1039739486,1341.9653140847,1405.9299072912,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18609.6109921793,2162.3003229194,0.0000000000,0.0000000000,20771.9113150987,20474.0035560307,36245.8823278458,37774.0932142038,0.0000000000,1528.2108863580,0.0000000000,3744.3830849127,1405.9299072912,2128.0332823550,0.0000000000,0.0000000000,1405.9299072912,10800.0000000000
2025-02-15,18235.4721429380,715.9323862542,-148.7891314787,0.0000000000,18802.6153977135,19135.6140613937,34684.5617818292,34844.6746181350,0.0000000000,550.7709954123,390.6581591064,3021.7211371930,2128.0332823550,1320.8725031677,0.0000000000,0.0000000000,1287.9140510598,10800.0000000000
2025-02-16,52635.1515738067,2977.1807037836,-2297.0536978923,1838.8862380215,55154.1648177195,55102.5965469500,84373.6518862448,79626.6352363740,386.9426306160,1592.6597845739,6339.6764344448,165.9682877875,1320.8725031677,1445.8696582783,0.0000000000,0.0000000000,1200.0000000000,10777.7207096227
