date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,24025.5214913867,0.0000000000,-1273.4123667247,0.0000000000,22752.1091246620,22765.5577979996,45263.3459443027,41336.2535468607,0.0000000000,0.0000000000,3927.0923974420,3280.5039889283,1904.7128492138,1872.1143951231,0.0000000000,0.0000000000,1419.1262970360,10800.0000000000
2025-02-02,55991.4018742270,0.0000000000,-1607.5766126876,980.6578203118,55364.4830818513,55475.5509603223,88904.2026900696,84375.8534069157,143.8181604777,0.0000000000,4528.3492831539,2026.1283734408,1872.1143951231,1602.8951906418,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,54864.1927482188,1891.8863085931,-1487.9143068276,3533.1784292458,58801.3431792301,58714.6585188088,87878.4081963623,84713.6452657739,745.4306412919,1118.8511166313,4283.6140472197,448.4458702384,1602.8951906418,1813.0115234703,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,58799.2715159951,0.0000000000,-2120.2671314114,572.6647702025,57251.6691547862,57408.4721827487,92530.1456502405,87006.4278316726,178.1123181041,0.0000000000,5523.7178185680,1706.8024935926,1813.0115234703,1432.9341597045,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,54460.5983806063,685.5955170544,-570.3529729691,528.6901284788,55104.5310531704,55114.4058438795,86646.8674301830,85734.9232757092,83.0056261741,500.6279476737,1412.5721021475,451.0734399172,1432.9341597045,1408.9984967953,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,58548.3949969618,1169.7590282601,-2636.6794271796,282.7996331819,57364.2742312243,57301.9918981036,92465.5146891527,85700.2779664240,49.6980759561,605.9388237971,7371.1755465257,875.4264371580,1408.9984967953,1559.9656387521,0.0000000000,0.0000000000,1408.9984967953,10800.0000000000
2025-02-07,22457.5097658943,0.0000000000,-1011.8871991532,579.4503544186,22025.0729211597,22108.7954675291,42975.7392864878,39566.3885571264,124.2399709355,0.0000000000,3409.3507293614,4318.6695504186,1559.9656387521,1357.0292214817,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,18805.2528250318,595.0706668362,-11.6835505093,146.4686008530,19535.1085422117,19485.3334253794,36318.5784409293,36717.4448367198,23.9601833556,423.7609258452,24.8945300547,1380.6233919511,1357.0292214817,1477.6799221257,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,53395.7626757532,980.8581200916,-268.3185973675,386.1510422868,54494.4532407640,54608.7894355263,85188.0419047641,85171.0748186628,94.9028233513,766.1789760604,783.1460621617,1545.1571695476,1477.6799221257,1200.5385935881,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-10,48834.8705381628,2449.5123587722,-635.0097313236,735.5821877106,51384.9553533219,51385.1775530989,79103.5100559884,78775.6493995383,216.0261099150,1788.1962965875,2116.0569530375,100.6820004044,1200.5385935881,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,52031.9800598423,685.4813131927,-1838.7253808359,6464.0574595167,57342.7934517158,57305.2497177702,83073.2834710002,78693.8283790021,1240.4718830811,356.9666963717,4736.4217883698,157.6455600592,1200.0000000000,1291.0028563184,0.0000000000,0.0000000000,1200.0000000000,10736.6058256564
2025-02-12,51971.1284877524,1333.4050331307,-1581.1320638490,2537.0671563555,54260.4686133897,54291.5262019787,83121.2167038025,79418.4444295003,536.9584641726,692.1434831280,4394.9157574302,211.4889192424,1291.0028563184,1215.7218713196,0.0000000000,0.0000000000,1200.0000000000,10742.9523739987
2025-02-13,48052.5191057765,195.4394550923,-607.2743388146,943.5568264885,48584.2410485427,48559.6326052240,78030.6538412826,76200.4626713151,157.4303094974,158.8331826957,1989.0243526632,545.2680722260,1215.7218713196,1275.3706700992,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18686.6061827933,1643.0393596750,0.0000000000,0.0000000000,20329.6455424683,20026.8206784636,36024.8841332414,37182.8064025980,0.0000000000,1157.9222693565,0.0000000000,3129.5708926633,1275.3706700992,2009.3926943496,0.0000000000,0.0000000000,1275.3706700992,10800.0000000000
2025-02-15,18290.3155381530,758.8980295913,-165.4314652813,102.7004016765,18986.4825041395,19319.4726108793,34498.6353240209,34761.0082165870,48.5665415386,677.9193288226,415.5464362565,3046.2783766430,2009.3926943496,1202.2526564669,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-16,51434.6535768559,3430.7714347778,-1966.0941858859,4428.2810228297,57327.6118485775,57278.7266192080,82621.7852084125,78911.5963433444,925.7597537311,1794.3481780593,5504.5370431274,75.5045642041,1202.2526564669,1320.7463446773,0.0000000000,0.0000000000,1200.0000000000,10382.7705387776
2025-02-17,48831.1831742523,3423.6549752401,-2074.1631063336,1078.6921903378,51259.3672334967,51309.1818088063,79838.5463827612,75188.9342502784,251.0563762211,1923.9731346161,6573.5852670989,156.7004486856,1320.7463446773,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10366.4890813834
2025-02-18,45581.5149396766,3615.8287427139,-8.2758480212,143.3160214064,49332.3838557757,49250.8688346369,73798.0856707580,76661.8732791607,31.9048001040,2879.1474958876,15.3598874849,257.7550128436,1200.0000000000,1397.5855616076,0.0000000000,0.0000000000,1200.0000000000,10742.9988596024
2025-02-19,46083.6392624712,2645.5070024845,-126.9158928260,5338.4178385896,53940.6482107194,54022.1632318581,74444.7588089594,76818.4075033278,1172.8772821652,2625.2215853488,251.5728909805,834.3831352455,1397.5855616076,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,48147.4979226160,528.3030996556,-801.8174570782,2486.0780785726,50360.0616437660,50248.3613877691,78436.3167658375,76300.5547715859,522.4101714518,364.4604155066,2500.2224097583,1215.4740758524,1200.0000000000,1470.7520344660,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,18197.1157325172,107.0601869380,-97.1678741409,0.0000000000,18207.0080453144,18203.5752590063,34958.0371621263,34872.8499319609,0.0000000000,103.4547875905,188.6420177559,5902.4869762697,1470.7520344660,1479.0728200229,0.0000000000,0.0000000000,1465.8694333788,10800.0000000000
2025-02-22,18312.6112765164,1347.1021834739,-229.9875891996,289.1321545081,19718.8580252988,19448.7405654153,34791.9169560478,35122.7609222935,52.0012872521,874.7658009897,543.9218347441,3351.1966038594,1479.0728200229,2133.8148450571,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-23,46474.8666725008,2368.8776803845,-789.9166800892,1046.3695895696,49100.1972623657,49464.8150903603,75549.3511412313,75008.6084700014,241.0004568113,1691.0154569700,2231.7581281999,320.1427003147,2133.8148450571,1250.0118685014,0.0000000000,0.0000000000,1200.0000000000,10549.8244007105
2025-02-24,43744.1424693977,3361.3622966138,-19.0878817244,344.1321404649,47430.5490247520,47153.2884780844,70972.1106905288,73235.2925798140,75.1753275437,2321.0239551166,57.8420658314,262.5855218044,1250.0118685014,1922.0681356731,0.0000000000,0.0000000000,1250.0118685014,10777.8362627242
2025-02-25,47049.6626171271,180.6448441593,-2015.4201464345,1324.7496299902,46539.6369448421,46817.0339438982,76273.1704535349,70162.2323047168,260.8963121587,94.8415406626,6205.7796894807,1180.4604631558,1922.0681356731,1249.6811193778,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-26,42939.3887559731,3479.7963294006,-13.7628835560,909.2524438158,47314.6746456334,47163.7900629284,70188.9707707250,73932.6476564705,193.0403054473,3771.2578360079,27.5809502624,611.6408482998,1249.6811193778,1615.4126691611,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-27,43843.5150320584,1361.7150110292,-269.5724155414,2908.7804326525,47844.4380601987,47896.1019686049,71294.2505289558,71339.4217187247,553.2816036692,988.4276649792,943.2564752103,778.8881464119,1615.4126691611,1490.1836964554,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-28,18091.1594544451,0.0000000000,-130.2698379154,0.0000000000,17960.8896165296,17853.5055933618,34492.6563501225,34216.2684669613,0.0000000000,0.0000000000,276.3878831611,7399.9615064594,1490.1836964554,1750.4735452329,0.0000000000,0.0000000000,1490.1836964554,10800.0000000000
2025-03-01,19298.5451123563,0.0000000000,-591.2996878720,0.0000000000,18707.2454244843,18858.1270813351,36940.6026795921,35382.7549514499,0.0000000000,0.0000000000,1557.8477281422,8971.5341739720,1750.4735452329,1384.7490874744,0.0000000000,0.0000000000,1201.2508262046,10800.0000000000
2025-03-02,48861.1416842945,2124.2606030918,-800.7104271617,0.0000000000,50184.6918602246,49958.2970835234,79232.8853477254,78419.7869780498,0.0000000000,1366.9129617141,2180.0113313897,1064.8836169962,1384.7490874744,1933.5110024518,0.0000000000,0.0000000000,1384.7490874744,10800.0000000000
2025-03-03,47827.8542028145,3780.3074454966,-1511.5804970603,2772.8613790958,52869.4425303467,53121.8243849513,77899.5810009256,75670.7769348967,565.7268074079,2306.7882305919,4535.5922966208,436.3577163262,1933.5110024518,1321.7585943071,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-04,44753.7087432868,1619.4448838408,-131.2206284554,285.9446282778,46527.8776269500,46578.1098114680,72635.3081075782,73602.6875362536,59.4605446420,1242.0863704221,274.7069417467,393.0482339364,1321.7585943071,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-05,47023.0293508876,2630.0429659594,-2140.8827028248,31.4256398559,47543.6152538781,47429.1076759278,76684.6296667687,71410.4241247431,6.7602236582,1332.1076518841,6606.3131939098,995.5354974012,1200.0000000000,1477.5567469844,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-06,43327.0084993453,1406.0922679618,-176.1546327339,0.0000000000,44556.9461345731,44391.6470115898,70772.0525965707,71188.4005586726,0.0000000000,919.4820100529,503.1340479511,670.7260162808,1477.5567469844,1878.2279311617,0.0000000000,0.0000000000,1477.5567469844,10800.0000000000
