date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23655.0622409244,0.0000000000,-1155.0459805793,0.0000000000,22500.0162603451,22537.8279102069,44665.8999501667,41154.5568386890,0.0000000000,0.0000000000,3511.3431114778,3151.9654085462,1904.7128492138,1813.0605872273,0.0000000000,0.0000000000,1380.4863129293,10800.0000000000
2025-02-02,56342.5736170315,0.0000000000,-1750.9032768039,1261.8789550691,55853.5492952967,55930.7236659812,89397.8881620642,84542.7311747453,184.7850154622,0.0000000000,4855.1569873189,2162.7009994979,1813.0605872273,1625.9963975799,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,56105.3232451246,1100.7923278440,-1667.6267295751,2101.1550207745,57639.6438641679,57588.2904643898,89429.8777526426,85311.8413405444,443.9983351721,630.0634487655,4748.0998608637,838.4848617421,1625.9963975799,1750.4727234627,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,58938.1331458825,0.0000000000,-2180.4090113162,718.2175017811,57475.9416363474,57606.1249316181,92753.6236165123,87080.4773905669,202.6998764555,0.0000000000,5673.1462259454,1734.7179336619,1750.4727234627,1434.9193549100,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,54547.2272645243,655.8543278322,-610.9571794049,672.9365506561,55265.0609636077,55275.8495611387,86768.8894498022,85720.9220987833,102.6652217643,478.2413662639,1526.2087172829,470.9116923100,1434.9193549100,1408.7687010509,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,58621.8583775007,1184.0692510939,-2678.0080242494,296.3253081362,57424.2449124814,57368.0279568052,92566.0960663350,85688.4237349261,52.4984689297,613.5125804966,7491.1849119054,886.9356075350,1408.7687010509,1545.0338777506,0.0000000000,0.0000000000,1408.7687010509,10800.0000000000
2025-02-07,21966.4624274589,0.0000000000,-842.0335073482,624.2128067430,21748.6417268537,21842.8459544680,42189.0163713483,39340.8176694058,133.8304972449,0.0000000000,2848.1987019424,4124.5669892850,1545.0338777506,1316.6907459088,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,18519.3317204253,880.7411643688,0.0000000000,127.9378965490,19528.0107813432,19475.4677813757,35918.1200901695,36521.5169171596,20.9288232536,603.3968269901,0.0000000000,1172.7594553959,1316.6907459088,1444.0505626897,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,53641.1910826833,815.1510901134,-313.6184345744,399.9142648978,54542.6380031201,54639.4673630381,85532.6016642698,85270.4736439744,98.0916980891,650.3734587810,912.5014790764,1607.6428062511,1444.0505626897,1209.3443307311,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-10,49902.7595519444,1177.2907731495,-757.9408007959,739.2243856799,51061.3339099779,51065.1889655339,80486.6934631342,78886.4894589212,233.7760348988,837.3305514891,2437.5345557021,266.6655967664,1209.3443307311,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,51997.9257968291,696.8095638167,-1837.3802558522,6582.7118142143,57440.0669190078,57402.9636674238,83060.1447069564,78672.5579334505,1264.3689076557,362.4212128466,4750.0079863526,163.2995101306,1200.0000000000,1289.9351640874,0.0000000000,0.0000000000,1200.0000000000,10741.0800481664
2025-02-12,51922.3377382151,1353.2360854980,-1589.2569201653,2819.6221263996,54505.9390299473,54537.2756186244,83086.8412864291,79368.5347348784,593.4009174123,702.0850395330,4420.3915910836,218.0703222531,1289.9351640874,1213.9779063191,0.0000000000,0.0000000000,1200.0000000000,10751.5262920778
2025-02-13,48041.3016010075,180.4191076423,-599.5069186796,959.1077070117,48581.3214969820,48559.5431153462,78028.4189436033,76181.5181670399,161.5620048133,147.3357468783,1994.2365234417,535.0569980698,1213.9779063191,1266.7668733866,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18293.0909417222,2196.1577026398,0.0000000000,0.0000000000,20489.2486443619,20139.8225947576,35443.6172580787,36979.2230223085,0.0000000000,1535.6057642299,0.0000000000,2803.2719908046,1266.7668733866,2113.7462556755,0.0000000000,0.0000000000,1266.7668733866,10800.0000000000
