parameter,value,baseline,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc,ridge_rmse_kw
decay,7.0000000000,14.0000000000,13375230.1080586724,13375318.8826003000,304510.7124625092,63672.4460089660,605907.3954197860,707747.8856079371,12595883.1315636411,712085.7902649866,-237249.5262324655,20629376.7900779881,20527536.2998898327,61348.3285774123,63615.8144736869,1305.4727886994,
decay,28.0000000000,14.0000000000,13402530.5021367073,13402602.7607655115,317163.7347493571,66214.7880641690,614758.3748828367,719958.6297383048,12607747.6952203549,721966.3767597065,-244347.3045927121,20642386.7669857070,20537186.5121302381,61750.8132000247,63783.5167648253,1345.5059735636,
slope,0.2000000000,1000000.0000000000,13339254.7785770185,13339375.0506308898,284612.6197381527,57836.4333589768,572145.1235813042,718060.3103701690,12620958.9191913046,672650.0413567259,-238966.8017091654,20674847.5534295589,20528932.3666406944,61576.7828567185,63600.2626965079,1229.1254657310,172.9174298592
slope,3.2000000000,1000000.0000000000,13317408.9405492172,13317521.2591472939,279916.7191853411,56741.0630997018,564811.1779394272,709394.7604115146,12610683.3704339117,661925.1399159771,-235116.2889860152,20661736.2897806503,20517152.7073085643,61395.8397144192,63495.6701696123,1248.4039742507,162.7573873973
weekday,0.0125000000,0.0062500000,13384724.0179226510,13384803.1070584580,309591.4177621263,64843.9092153464,610659.2715529390,709794.9298391838,12597815.1248504855,716823.3238356465,-239505.8485256083,20630558.9865203798,20531423.3282341361,61603.1056654820,63701.2463990158,1328.9493985500,160.8407559832
weekday,0.1000000000,0.0062500000,13472607.5632778928,13472691.8473596498,348318.2743675644,71514.6541631196,686605.5977430232,684339.5393311924,12542557.2162818462,816792.6318250794,-235060.5591965968,20541817.3954205662,20544083.4538323991,61907.2649452300,64293.3700450072,1316.3572861007,209.3878384172
bias_window,3.0000000000,6.0000000000,13464414.1414701007,13464495.8518355582,372044.1269141075,75367.9077408375,627379.2428925578,725609.8984632986,12597292.1984879225,740704.3107158376,-245626.4946477665,20623193.9123645872,20524963.2567938417,62167.8056540525,64084.1669765183,1322.5957581405,
bias_window,12.0000000000,6.0000000000,13353956.4584251381,13354038.1687905937,287500.3030849060,60901.2049077958,597740.5125372184,712042.9570831140,12608161.3947884664,698185.1312210669,-239890.3706693038,20648575.3747418635,20534272.9301959686,61260.6228889963,63904.4808702583,1322.5957581405,
bias_decay,3.0000000000,6.0000000000,13402550.3620052263,13402631.3914524913,359849.4467100892,79425.9824482208,570869.4447127860,694709.8719517005,12605861.4213678520,667228.4991649806,-230389.0052376955,20643108.4411659129,20519268.0139269978,61559.6719191445,64127.0353112266,1324.2462466254,
bias_decay,12.0000000000,6.0000000000,13399403.3532117158,13399480.8922227845,296134.4749927252,59164.0713753068,639794.6706085682,731943.3664452969,12599494.0265495330,753277.9026544383,-249503.0509849799,20628509.7814093232,20536361.0855725929,61883.7111617034,63613.8143884177,1332.7067706648,
epsilon,0.0000010000,0.0000000100,13386086.2474460397,13386164.9986970369,311326.6178913764,65261.8835131451,606724.1810085038,715986.4928447298,12604467.0807643719,711786.7527262089,-241494.2039359165,20640023.6723745726,20530761.3605383448,61602.7167980331,63667.7679705968,1329.7684029444,
epsilon,0.0000000010,0.0000000100,13386086.2844586261,13386165.0358852427,311326.6862923023,65261.9025058065,606724.0348502838,715987.0230760201,12604467.4549536873,711786.5113809968,-241494.3681683605,20640024.2198617272,20530761.2316359952,61602.7206993168,63667.7639394768,1329.7679772520,
