date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error
2025-02-01,23766.540168,0.000000,-1084.983225,0.000000,22681.556943,22534.207380,44945.882361,0.000000,0.000000,3308.807774,19912.514789,15807.690315,3154.074179,1520.654818,1877.817779,0.000000,0.000000
2025-02-02,57184.994516,0.000000,-1956.015180,1013.691957,56242.671293,56308.845935,90512.298460,145.443873,0.000000,5381.423547,22800.527818,18612.789126,2732.302143,1877.817779,1717.416008,0.000000,0.000000
2025-02-03,58110.832822,348.146929,-1958.882025,16.461814,56516.559539,56421.753032,92107.120133,3.514478,187.752535,5539.179069,24060.060628,19281.826402,1764.057350,1717.416008,1947.219016,0.000000,0.000000
2025-02-04,59971.042090,0.000000,-2472.209927,55.000996,57553.833159,57737.841113,94162.152931,26.203428,0.000000,6345.138367,24080.814205,19906.877342,2474.417180,1947.219016,1501.199198,0.000000,0.000000
2025-02-05,56002.097536,231.399805,-870.429990,89.315198,55452.382549,55400.408170,88856.156491,12.803211,183.708264,2201.990924,24094.529591,19403.185595,1410.906061,1501.199198,1627.180725,0.000000,0.000000
2025-02-06,60153.082115,418.586566,-3039.177592,285.753850,57818.244939,57733.864421,94661.540716,52.447173,217.347993,8405.735023,23483.217735,18837.328210,1608.654117,1627.180725,1831.712009,0.000000,0.000000
2025-02-07,22840.429241,0.000000,-1105.497059,277.895613,22012.827795,22166.118313,43857.861262,60.391512,0.000000,3868.170441,19266.368803,15940.165731,4918.199595,1831.712009,1460.148675,0.000000,0.000000
2025-02-08,19193.308565,835.463964,0.000000,0.000000,20028.772529,19918.138915,37229.623141,0.000000,554.966915,0.000000,19133.432809,15256.730650,2330.725180,1460.148675,1728.315258,0.000000,0.000000
2025-02-09,55500.829856,425.265541,-805.929791,0.000000,55120.165607,55229.871418,88093.802907,0.000000,357.748647,2176.303805,22794.834132,18703.141548,2628.139198,1728.315258,1462.397590,0.000000,0.000000
2025-02-10,52481.796899,7.773708,-1499.971615,187.635373,51177.234364,51256.504211,84028.482366,49.414818,5.532100,4274.133836,23434.576454,19154.936030,1203.017442,1462.397590,1270.254143,0.000000,0.000000
2025-02-11,53555.526135,0.000000,-2204.794637,5174.551696,56525.283193,56455.803645,85307.514203,972.203575,0.000000,5606.578835,23867.265948,19180.914091,766.189951,1270.254143,1438.666728,0.000000,0.000000
2025-02-12,53317.963903,671.065754,-1869.535807,1511.498838,53630.992688,53670.887391,85172.474014,311.263652,347.730357,5202.295099,23996.866939,19524.493488,890.063339,1438.666728,1341.965320,0.000000,0.000000
2025-02-13,49308.009223,89.885520,-1109.768269,1087.510810,49375.637284,49349.248337,79870.035040,180.522475,79.371340,3145.829441,23294.464486,18810.948101,1171.104012,1341.965320,1405.929912,0.000000,0.000000
2025-02-14,18609.611033,2162.300291,0.000000,0.000000,20771.911324,20474.003567,36245.882392,0.000000,1528.210864,0.000000,18831.659337,14603.751029,3744.383131,1405.929912,2128.033283,0.000000,0.000000
2025-02-15,18235.472203,715.932324,-148.789139,0.000000,18802.615387,19135.614050,34684.561878,0.000000,550.770944,390.658188,17206.879395,14664.017010,3021.721150,2128.033283,1320.872505,0.000000,0.000000
2025-02-16,52635.151642,2977.180654,-2297.053713,1838.886156,55154.164739,55102.596468,84373.651981,386.942613,1592.659753,6339.676474,22935.437071,18465.206587,165.968290,1320.872505,1445.869661,0.000000,0.000000
2025-02-17,51377.597021,1078.023200,-2832.714010,1529.723123,51152.629335,51244.710584,83176.826601,279.480053,569.170043,8547.799147,22070.989368,18078.378879,301.203894,1445.869661,1222.672449,0.000000,0.000000
2025-02-18,45848.064828,3031.460929,-9.408844,186.917518,49057.034432,48981.965128,74284.453485,41.488600,2482.097348,33.118069,22094.950308,17733.144234,321.727507,1222.672449,1404.634133,0.000000,0.000000
2025-02-19,46181.489366,2662.082289,-48.899898,3951.693054,52746.364810,52830.787759,74707.326025,872.142988,2658.228640,122.304472,23487.996381,19209.447788,957.517205,1404.634133,1200.000000,0.000000,0.000000
2025-02-20,48040.175028,855.913839,-758.429338,1616.940496,49754.600025,49685.937285,78430.924055,340.183297,595.728860,2353.060553,22996.534477,18477.403485,1501.510934,1200.000000,1366.432713,0.000000,0.000000
2025-02-21,17333.611752,910.155318,0.000000,0.000000,18243.767070,18290.198031,33858.893975,0.000000,685.276121,0.000000,17751.100041,14479.681306,5712.489328,1366.432713,1253.887965,0.000000,0.000000
2025-02-22,17521.991759,2646.228474,-74.509152,0.000000,20093.711082,19671.505829,33803.067465,0.000000,1910.925509,206.668055,17831.731648,13522.651584,3353.481972,1253.887965,2277.278022,0.000000,0.000000
2025-02-23,46179.016345,3250.723382,-896.500127,246.385173,48779.624773,49220.111934,75051.326312,88.212738,2378.439502,2584.456689,21476.636195,18357.008797,282.040782,2277.278022,1209.574156,0.000000,0.000000
2025-02-24,44962.965780,1840.905846,-216.512663,321.006576,46908.365538,46679.112058,72625.341274,70.238187,1402.513116,521.462774,22436.175012,17673.179704,610.600878,1209.574156,1765.265330,0.000000,0.000000
2025-02-25,46019.246282,871.512667,-1603.453077,679.856635,45967.162507,46198.961839,74958.307456,224.857846,477.663453,5158.714440,21328.733396,17781.949943,1134.007629,1765.265330,1203.403227,0.000000,0.000000
2025-02-26,41715.681819,5703.300211,0.000000,589.769039,48008.751069,47834.751617,68466.471272,125.469761,5616.313030,0.000000,22992.472827,18244.318944,645.252146,1203.403227,1625.163278,0.000000,0.000000
2025-02-27,42518.212781,2680.672937,-84.586505,1865.210535,46979.509747,47062.277048,69368.635451,382.007285,2035.518533,361.032691,22602.294630,18488.417534,354.667281,1625.163278,1424.542296,0.000000,0.000000
2025-02-28,16757.806973,788.565540,-7.798911,116.072920,17654.646523,17742.609116,32428.660506,46.676616,676.495677,16.806012,16846.158905,13837.281255,6833.555587,1424.542296,1211.328361,0.000000,0.000000
2025-03-01,17667.550690,0.000000,-295.384462,956.139018,18328.305246,18320.224016,34158.960788,217.414456,0.000000,931.745246,16652.021630,13470.508120,6604.350554,1211.328361,1230.916583,0.000000,0.000000
2025-03-02,48173.271599,2991.677218,-770.803322,0.000000,50394.145495,50113.206649,78334.032381,0.000000,2042.151817,2129.292074,23757.378480,18630.601629,761.808206,1230.916583,1911.888739,0.000000,0.000000
2025-03-03,49022.959351,2582.644706,-1565.396221,95.405534,50135.613370,50403.111854,79406.014378,45.246102,1635.742134,4651.295054,23054.675158,19257.841340,621.727109,1911.888739,1263.494892,0.000000,0.000000
2025-03-04,44003.589656,2695.918137,-49.176532,229.873856,46880.205117,46906.400287,71680.004704,107.688449,1897.747487,103.764603,21917.236877,17810.107273,275.088500,1263.494892,1200.000000,0.000000,0.000000
2025-03-05,46476.081686,3713.604001,-2138.178545,20.042165,48071.549306,47948.360840,75963.421721,4.306860,1939.965963,6597.633691,21091.179656,16815.116880,903.526060,1200.000000,1498.598491,0.000000,0.000000
2025-03-06,42982.436739,2073.600396,-268.133639,0.000000,44787.903496,44645.831911,70361.396782,0.000000,1331.142680,777.423193,21945.440058,17465.873822,494.895898,1498.598491,1842.968075,0.000000,0.000000
2025-03-07,17105.703078,429.116783,-470.059990,0.000000,17064.759871,17240.721804,32499.148297,0.000000,244.581298,1126.098894,15360.800477,12826.113633,8160.658323,1842.968075,1416.451135,0.000000,0.000000
2025-03-08,16074.412145,149.240586,-21.376429,0.000000,16202.276302,16232.242757,30977.784610,0.000000,138.204717,45.771750,15999.696862,13025.127010,9032.508208,1416.451135,1343.814967,0.000000,0.000000
2025-03-09,44608.826192,5.703546,-1730.907023,1549.053814,44432.676529,44462.273812,73379.064898,276.341841,4.112206,5674.249429,22154.453687,18009.674681,506.965460,1343.814967,1272.073640,0.000000,0.000000
2025-03-10,41995.641128,3706.021007,0.000000,0.000000,45701.662136,45615.475146,69746.552461,0.000000,3259.427749,0.000000,22428.929734,17979.414067,514.393093,1272.073640,1480.983659,0.000000,0.000000
2025-03-11,37924.089149,6523.590499,0.000000,0.000000,44447.679648,44361.078354,61793.805701,0.000000,7575.472209,0.000000,21774.544881,17448.458519,1104.272748,1480.983659,1690.897920,0.000000,0.000000
2025-03-12,43571.976281,361.755862,-1445.862402,0.000000,42487.869741,42634.082913,71470.976054,0.000000,231.765929,4919.417171,21332.073170,17597.946867,613.663826,1690.897920,1336.489477,0.000000,0.000000
2025-03-13,43467.732309,1362.383976,-55.399215,678.738367,45453.455436,45478.224880,71618.672615,99.133323,1209.653925,207.176700,21679.599421,17614.510677,1109.576403,1336.489477,1276.450426,0.000000,0.000000
2025-03-14,15578.471148,870.811607,0.000000,0.000000,16449.282755,16262.710955,30408.786596,0.000000,640.109206,0.000000,16072.513483,12611.724991,11558.681326,1276.450426,1728.684793,0.000000,0.000000
