date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,charge_kwh,discharge_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,25232.627087,0.000000,0.000000,0.000000,25232.627087,23072.899359,48814.659750,48814.659750,0.000000,0.000000,0.000000,24928.909468,15480.917991,4988.492339,1520.654818,6755.653350,0.000000,0.000000,1520.654818,10800.000000
2025-02-02,57242.960972,0.000000,0.000000,0.000000,57242.960972,56295.371828,91431.512982,91431.512982,0.000000,0.000000,0.000000,24543.035855,17812.670230,6344.869407,6755.653350,9052.529808,0.000000,0.000000,1506.266632,10800.000000
2025-02-03,57112.267277,0.000000,0.000000,0.000000,57112.267277,57307.445084,90557.708334,90557.708334,0.000000,0.000000,0.000000,21730.578447,18027.553686,6637.767072,9052.529808,8579.435205,0.000000,0.000000,1276.148360,10800.000000
2025-02-04,59904.648409,0.000000,0.000000,0.000000,59904.648409,59756.635422,94090.269204,94090.269204,0.000000,0.000000,0.000000,22943.349685,18261.219306,8213.274876,8579.435205,8938.206247,0.000000,0.000000,1648.537091,10800.000000
2025-02-05,54871.692810,0.000000,0.000000,33.788362,54905.481172,54987.466759,86933.389215,86933.389215,5.817055,0.000000,0.000000,23074.444986,18869.153995,1985.488296,8938.206247,8739.480073,0.000000,0.000000,1366.250444,10800.000000
2025-02-06,59262.638963,0.000000,0.000000,0.000000,59262.638963,59232.278671,93333.317641,93333.317641,0.000000,0.000000,0.000000,22382.324963,18063.451503,8743.386965,8739.480073,8813.070870,0.000000,0.000000,1577.557290,10800.000000
2025-02-07,22727.979889,0.000000,0.000000,0.000000,22727.979889,22872.960806,43751.391508,43751.391508,0.000000,0.000000,0.000000,18880.838393,15609.758502,8674.631951,8813.070870,8461.649310,0.000000,0.000000,1400.032622,10800.000000
2025-02-08,18884.857555,0.000000,0.000000,3084.911533,21969.769088,22048.899338,36769.531331,36769.531331,501.240606,0.000000,0.000000,18766.650109,15373.611157,2300.570269,8461.649310,8269.844233,0.000000,0.000000,1200.000000,10800.000000
2025-02-09,54969.643092,0.000000,0.000000,0.000000,54969.643092,54902.512105,87408.289880,87408.289880,0.000000,0.000000,0.000000,22525.852408,18099.492565,3426.514071,8269.844233,8432.564105,0.000000,0.000000,1285.407842,10800.000000
2025-02-10,52151.745965,0.000000,0.000000,0.000000,52151.745965,52187.109542,83472.929997,83472.929997,0.000000,0.000000,0.000000,21294.935023,17326.043873,5177.401264,8432.564105,8346.845767,0.000000,0.000000,1241.091105,10800.000000
2025-02-11,52934.936586,0.000000,0.000000,324.892006,53259.828592,53217.552926,84428.183718,84428.183718,69.064092,0.000000,0.000000,23447.439176,18900.200337,4729.411838,8346.845767,8449.318429,0.000000,0.000000,1200.000000,10800.000000
2025-02-12,52628.182595,0.000000,0.000000,261.625751,52889.808346,52946.740271,84083.697542,84083.697542,56.488365,0.000000,0.000000,21953.710920,17906.704228,4826.443083,8449.318429,8311.320225,0.000000,0.000000,1200.000000,10800.000000
2025-02-13,49092.079317,0.000000,0.000000,0.000000,49092.079317,49011.583888,79610.564383,79610.564383,0.000000,0.000000,0.000000,21254.927628,17040.888639,4067.046377,8311.320225,8506.434381,0.000000,0.000000,1261.328705,10800.000000
2025-02-14,18504.167775,0.000000,0.000000,2633.494669,21137.662444,21326.422928,36224.091327,36224.091327,430.914496,0.000000,0.000000,18135.690023,15101.694516,3819.208499,8506.434381,8048.894828,0.000000,0.000000,1200.000000,10800.000000
2025-02-15,18828.333538,0.000000,0.000000,747.882163,19576.215701,19632.591693,36178.567157,36178.567157,159.574370,0.000000,0.000000,18253.098907,14907.995717,3712.947237,8048.894828,7912.244159,0.000000,0.000000,1200.000000,10800.000000
2025-02-16,52280.294764,0.000000,0.000000,978.753275,53259.048039,53120.007924,84252.291937,84252.291937,172.149123,0.000000,0.000000,22883.861100,18232.608091,4395.808950,7912.244159,8249.265715,0.000000,0.000000,1200.000000,10800.000000
2025-02-17,51803.324289,0.000000,0.000000,2126.403648,53929.727937,53919.572401,84000.924252,84000.924252,316.574637,0.000000,0.000000,19673.939007,15913.736047,9373.432763,8249.265715,8273.881881,0.000000,0.000000,1200.000000,10800.000000
2025-02-18,46029.639407,0.000000,0.000000,12805.280066,58834.919473,58779.424510,74475.699528,74475.699528,1880.943381,0.000000,0.000000,20188.108622,16231.304371,308.450873,8273.881881,8408.397007,0.000000,0.000000,1200.000000,10800.000000
2025-02-19,46162.580097,0.000000,0.000000,14479.203277,60641.783374,60781.373276,74566.722673,74566.722673,2177.557750,0.000000,0.000000,20944.466721,17269.536819,190.023139,8408.397007,8070.042812,0.000000,0.000000,1200.000000,10800.000000
2025-02-20,47625.492769,0.000000,0.000000,1787.335021,49412.827790,49342.398669,77618.550726,77618.550726,288.913028,0.000000,0.000000,21567.854238,17316.319089,2662.794871,8070.042812,8240.757083,0.000000,0.000000,1200.000000,10800.000000
2025-02-21,17134.202697,0.000000,0.000000,2327.780686,19461.983383,19593.724230,33628.382530,33628.382530,404.094731,0.000000,0.000000,18496.256644,15269.363750,5245.322333,8240.757083,7921.428341,0.000000,0.000000,1200.000000,10800.000000
2025-02-22,17525.680699,0.000000,0.000000,2710.798979,20236.479678,20304.943381,33965.970681,33965.970681,467.987306,0.000000,0.000000,18350.046265,15012.892710,3252.041549,7921.428341,7755.478079,0.000000,0.000000,1200.000000,10800.000000
2025-02-23,46997.947755,0.000000,0.000000,3835.712395,50833.660150,50680.348775,76698.240899,76698.240899,714.140255,0.000000,0.000000,23267.766649,18512.438485,1125.199307,7755.478079,8127.091969,0.000000,0.000000,1200.000000,10800.000000
2025-02-24,45058.174347,0.000000,0.000000,2167.189392,47225.363738,47172.352540,72376.669794,72376.669794,358.467123,0.000000,0.000000,21462.509243,17268.987265,338.581323,8127.091969,8255.586659,0.000000,0.000000,1200.000000,10800.000000
2025-02-25,45727.341641,0.000000,0.000000,1491.361521,47218.703162,47283.664187,74327.791284,74327.791284,273.241219,0.000000,0.000000,19939.762610,16292.921773,5132.868433,8255.586659,8098.126593,0.000000,0.000000,1200.000000,10800.000000
2025-02-26,41640.065989,0.000000,0.000000,28407.596002,70047.661991,69976.866422,68163.047438,68163.047438,4366.983381,0.000000,0.000000,18706.447078,14997.779875,6.515583,8098.126593,8269.729103,0.000000,0.000000,1200.000000,10687.903115
2025-02-27,42418.206777,0.000000,0.000000,15230.868078,57649.074856,57603.266806,69032.574455,69032.574455,2321.499157,0.000000,0.000000,21378.489252,17216.644918,235.645078,8269.729103,8380.763965,0.000000,0.000000,1200.000000,10800.000000
2025-02-28,16740.828391,0.000000,0.000000,2289.919712,19030.748104,19220.414659,32469.602369,32469.602369,543.083983,0.000000,0.000000,18344.958649,15273.178718,6648.312872,8380.763965,7921.028173,0.000000,0.000000,1200.000000,10800.000000
2025-03-01,17575.784615,0.000000,0.000000,602.612383,18178.396997,18076.656607,34092.287064,34092.287064,126.269711,0.000000,0.000000,17201.661835,13711.396944,7069.525951,7921.028173,8167.638330,0.000000,0.000000,1200.000000,10800.000000
2025-03-02,47673.424283,0.000000,0.000000,1659.948857,49333.373140,49351.497994,77267.136422,77267.136422,302.250788,0.000000,0.000000,23629.768254,19179.652097,760.963986,8167.638330,8123.705207,0.000000,0.000000,1200.000000,10800.000000
2025-03-03,48882.675255,0.000000,0.000000,6784.849135,55667.524391,55627.978252,79354.316673,79354.316673,1048.164448,0.000000,0.000000,21824.904509,17591.901786,4152.331765,8123.705207,8219.561725,0.000000,0.000000,1200.000000,10800.000000
2025-03-04,44152.798200,0.000000,0.000000,11071.345107,55224.143306,55274.347865,71442.754828,71442.754828,1655.682042,0.000000,0.000000,20114.626540,16402.369965,186.722362,8219.561725,8097.870094,0.000000,0.000000,1200.000000,10800.000000
2025-03-05,46097.341278,0.000000,0.000000,840.153739,46937.495017,46879.398579,75284.204670,75284.204670,131.973672,0.000000,0.000000,20787.500108,16711.136292,5209.342509,8097.870094,8238.690978,0.000000,0.000000,1200.000000,10800.000000
2025-03-06,42711.794219,0.000000,0.000000,3947.433561,46659.227779,46717.091585,69648.583632,69648.583632,581.817793,0.000000,0.000000,20852.314865,17016.606342,454.038768,8238.690978,8098.433977,0.000000,0.000000,1200.000000,10800.000000
2025-03-07,17371.326719,0.000000,0.000000,0.000000,17371.326719,17282.398430,33450.220505,33450.220505,0.000000,0.000000,0.000000,17360.113633,13867.692814,9035.514153,8098.433977,8313.988675,0.000000,0.000000,1294.455303,10800.000000
2025-03-08,16281.591022,0.000000,0.000000,0.000000,16281.591022,16278.302322,31638.151253,31638.151253,0.000000,0.000000,0.000000,18363.626496,14867.363083,9078.748324,8313.988675,8321.960207,0.000000,0.000000,1340.280830,10800.000000
2025-03-09,44469.483754,0.000000,0.000000,156.192949,44625.676703,44635.137522,73066.727065,73066.727065,38.080712,0.000000,0.000000,21358.910513,17321.356524,5733.728738,8321.960207,8299.027976,0.000000,0.000000,1200.000000,10800.000000
2025-03-10,41477.694140,0.000000,0.000000,19857.777823,61335.471963,61345.090014,68615.656744,68615.656744,3083.163213,0.000000,0.000000,19266.153189,15626.566095,17.161413,8299.027976,8275.714629,0.000000,0.000000,1200.000000,10725.308863
2025-03-11,37987.721137,0.000000,0.000000,36731.395763,74719.116900,74697.583805,61907.263813,61907.263813,5532.043163,0.000000,0.000000,16171.979594,13052.328501,380.737082,8275.714629,8327.909040,0.000000,0.000000,1200.000000,10800.000000
