month,baseline,hybrid,saving,saving_percent
2,1204338.634594,1192974.840157,11363.794437,0.943571
3,1103509.331444,1102179.657662,1329.673782,0.120495
4,917042.053399,912200.362446,4841.690953,0.527968
5,960380.746784,971512.736382,-11131.989598,-1.159123
6,1290080.756598,1263436.207181,26644.549417,2.065340
7,1482184.526174,1498038.416434,-15853.890260,-1.069630
8,1265008.686560,1250768.361397,14240.325163,1.125710
9,1130037.267529,1116818.783772,13218.483757,1.169739
10,1120449.894382,1118783.779544,1666.114839,0.148701
11,1252299.090294,1241917.453911,10381.636384,0.829006
12,1660834.047793,1639264.748598,21569.299195,1.298703
