algorithm,generation,evaluations,best,mean,std
GA,0,16,407338.8613728219,415392.2239596075,6345.279454682108
GA,1,32,407338.8613728219,411874.8961443819,4312.857163701591
GA,2,48,407338.8613728219,410363.0099270983,3448.9403756570555
GA,3,64,407338.8613728219,408931.68050099985,2996.024868711098
GA,4,80,406509.26545367,407622.66434045497,665.4347936540315
GA,5,96,406407.4625534445,407695.2380603957,1286.407910879629
GA,6,112,406407.4625534445,407273.2792050739,657.2550654660705
GA,7,128,406290.01677678275,407025.94665839983,660.7402973947716
GA,8,144,406267.35311414767,407196.6831802343,960.7757389270997
GA,9,160,406042.4466292672,406792.53959032777,751.1615791450663
GA,10,176,406042.4466292672,406744.8371519443,564.054782074078
DE,0,16,407903.6278271309,413100.26400534227,3729.724194793231
DE,1,32,407889.79858533986,410713.38711419946,2835.9930045927326
DE,2,48,407528.3222224161,409834.6684655467,2308.0172809046894
DE,3,64,407077.63854655443,408372.781510224,926.826858210296
DE,4,80,406456.55908321793,407884.80264489737,885.8468768312594
DE,5,96,406456.55908321793,407719.437125772,755.2710701947734
DE,6,112,406445.41971290996,407279.83131722396,468.06461959937326
DE,7,128,406445.41971290996,407052.60004706157,378.66803819883495
DE,8,144,406374.6060341902,406970.6594067835,359.0530299643848
DE,9,160,406374.6060341902,406872.686838562,348.49843095214806
DE,10,176,406374.6060341902,406820.1902194421,313.3494287329668
SA,0,8,408320.3678900606,414668.2774792524,5382.5492614098575
SA,1,16,408200.15916657745,412436.3906284538,5057.298014133055
SA,2,24,408200.15916657745,411913.9276371666,5261.714752112567
SA,3,32,408200.15916657745,411226.8607306321,5189.30534565558
SA,4,40,408200.15916657745,410810.9649441411,4016.2126464017824
SA,5,48,408200.15916657745,410660.9145726578,3641.334868621508
SA,6,56,408029.4274550394,410308.6252630984,3505.5951882471622
SA,7,64,407483.5761136019,410058.08270622086,3591.9081064363
SA,8,72,407314.27981249854,409849.82603480626,3191.0908504826593
SA,9,80,407314.27981249854,409680.2744025493,2824.5075427156285
SA,10,88,406796.8527650515,409509.4627234156,2951.7116453049134
SA,11,96,406796.8527650515,409234.6362353118,2936.9982383204388
SA,12,104,406796.8527650515,409187.37553423,2859.5528504090007
NM,0,6,406042.4466292672,406203.65087430616,218.5851745467476
NM,1,8,406042.4466292672,406187.18631777127,184.82124068123787
NM,2,10,406042.4466292672,406163.6598553415,139.28552120450826
NM,3,12,406042.4466292672,406123.1557658764,83.4221010543398
NM,4,19,406042.4466292672,406102.2168134432,116.54565610140513
NM,5,21,406042.4466292672,406079.4999971872,66.02381389448044
NM,6,23,405922.03420043184,406028.885068587,48.64449753313607
NM,7,24,405922.03420043184,406013.035795412,48.3668163404304
NM,8,25,405922.03420043184,406001.6445071711,46.33239286218636
NM,9,26,405922.03420043184,405992.17177189124,41.653823773400966
NM,10,28,405922.03420043184,405985.0690861263,35.680649275000725
NM,11,30,405922.03420043184,405976.9279137713,25.889403879245773
NM,12,31,405922.03420043184,405973.37242757133,23.88742097595025
NM,13,33,405922.03420043184,405967.42673391267,22.513022063553954
NM,14,34,405922.03420043184,405959.18285270175,21.699448511983924
NM,15,35,405922.03420043184,405951.3382301929,20.651700219479533
NM,16,37,405922.03420043184,405951.0718283581,20.307066777148055
NM,17,38,405922.03420043184,405945.6094917571,16.715475457531838
NM,18,40,405916.5320578715,405935.9877618223,13.817153950336378
NM,19,41,405916.5320578715,405933.6088117699,10.71603990141615
NM,20,43,405898.8416110508,405926.06155246793,15.520947407590397
NM,21,44,405898.8416110508,405924.27681847825,13.929773860203255
NM,22,45,405898.8416110508,405920.12750875734,11.974062677238637
NM,23,47,405898.8416110508,405919.723726364,11.512701398024014
NM,24,49,405898.8416110508,405915.8320480092,10.265242968637217
NM,25,51,405898.8416110508,405914.02015559044,7.919695606403175
NM,26,58,405898.8416110508,405917.9203463188,11.455034267184532
NM,27,59,405898.8416110508,405914.4744489984,7.7424504638704175
NM,28,61,405898.8416110508,405913.92229977757,7.168666138728474
NM,29,62,405898.8416110508,405913.4150593516,6.798287622333176
NM,30,63,405898.8416110508,405912.1973815793,6.190730443791912
NM,31,64,405898.8416110508,405911.3413006775,5.774526952749265
NM,32,65,405898.8416110508,405909.1882736205,5.96617883068303
NM,33,72,405898.8416110508,405907.736854033,8.663296914999949
NM,34,73,405898.8416110508,405904.4447647973,4.613259154853532
