soc_kwh,future_cost
1200.0,49728.3082056162
1600.0,49536.708161171766
2000.0,49345.108116727315
2400.0,49153.508072282864
2800.0,48962.15802783842
3200.0,48770.957983393986
3600.0,48579.79127228287
4000.0,48388.63567228287
4400.0,48197.791183393994
4800.0,48006.99113894955
5200.0,47816.54665006065
5600.0,47626.135494505106
6000.0,47435.95767228288
6400.0,47245.857627838435
6800.0,47055.99091672732
7200.0,46866.14087228287
7600.0,46676.318605616216
8000.0,46486.54078339399
8400.0,46296.807405616215
8800.0,46107.65736117176
9200.0,45918.85731672732
9600.0,45730.15727228288
10000.0,45541.49056117176
10400.0,45373.51273894954
10800.0,45208.49047228289
